Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Направляющие для выдвижных ящиков», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;12 273;0,00015;
февраль 2018;12 518;0,00016;
март 2018;13 118;0,00015;
апрель 2018;10 140;0,00013;
май 2018;9 812;0,00013;
июнь 2018;9 835;0,00014;
июль 2018;10 894;0,00015;
август 2018;12 217;0,00017;
сентябрь 2018;13 336;0,00016;
октябрь 2018;15 292;0,00016;
ноябрь 2018;14 596;0,00017;
декабрь 2018;14 223;0,00016;
январь 2019;15 606;0,00017;
февраль 2019;15 514;0,00018;
март 2019;15 488;0,00017;
апрель 2019;13 414;0,00016;
май 2019;12 180;0,00015;
июнь 2019;10 319;0,00014;
июль 2019;11 850;0,00016;
август 2019;13 741;0,00018;
сентябрь 2019;14 292;0,00018;
октябрь 2019;14 953;0,00016;
ноябрь 2019;16 615;0,00018;
декабрь 2019;17 889;0,00019;
январь 2020;20 284;0,00020;
февраль 2020;18 895;0,00020;
март 2020;18 348;0,00018;
апрель 2020;15 885;0,00013;
май 2020;18 492;0,00017;
июнь 2020;17 841;0,00020;
июль 2020;18 449;0,00021;
август 2020;20 180;0,00024;
сентябрь 2020;20 079;0,00021;
октябрь 2020;23 257;0,00021;
ноябрь 2020;25 687;0,00022;
декабрь 2020;24 616;0,00022;
январь 2021;25 631;0,00024;
февраль 2021;23 529;0,00023;
март 2021;26 115;0,00023;
апрель 2021;22 250;0,00020;
май 2021;20 045;0,00019;
июнь 2021;21 813;0,00021;
июль 2021;22 623;0,00023;
август 2021;27 533;0,00027;
сентябрь 2021;25 088;0,00023;
октябрь 2021;27 395;0,00024;
ноябрь 2021;30 759;0,00026;
декабрь 2021;30 246;0,00025;
январь 2022;33 052;0,00027;
февраль 2022;29 018;0,00024;
март 2022;33 768;0,00026;
апрель 2022;29 188;0,00024;
май 2022;26 114;0,00021;
июнь 2022;23 809;0,00022;
июль 2022;25 489;0,00024;
август 2022;28 536;0,00026;
сентябрь 2022;27 698;0,00023;
октябрь 2022;29 591;0,00023;
ноябрь 2022;32 743;0,00025;
декабрь 2022;31 877;0,00025;
январь 2023;34 384;0,00027;
февраль 2023;33 221;0,00029;
март 2023;35 914;0,00028;
апрель 2023;28 917;0,00025;
май 2023;26 977;0,00023;
июнь 2023;26 652;0,00025;
июль 2023;29 297;0,00029;
август 2023;30 852;0,00030;
сентябрь 2023;30 906;0,00028;
октябрь 2023;35 471;0,00029;
ноябрь 2023;36 647;0,00031;
декабрь 2023;34 074;0,00028;
январь 2024;37 320;0,00030;
февраль 2024;36 312;0,00032;
март 2024;35 827;0,00031;
апрель 2024;30 083;0,00027;
май 2024;28 474;0,00026;
июнь 2024;25 070;0,00026;
июль 2024;27 061;0,00029;
август 2024;31 101;0,00033;
сентябрь 2024;31 614;0,00031;
октябрь 2024;36 254;0,00032;
ноябрь 2024;39 993;0,00034;
декабрь 2024;40 902;0,00034;
январь 2025;43 195;0,00036;
февраль 2025;39 612;0,00034;
март 2025;39 537;0,00032;
апрель 2025;32 246;0,00028;
май 2025;28 824;0,00027;
июнь 2025;29 779;0,00028;
