Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Углы внутренние», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;51 038;0,00065;
февраль 2018;66 458;0,00085;
март 2018;68 001;0,00080;
апрель 2018;56 965;0,00075;
май 2018;63 961;0,00085;
июнь 2018;32 532;0,00046;
июль 2018;29 347;0,00041;
август 2018;31 300;0,00044;
сентябрь 2018;53 731;0,00067;
октябрь 2018;62 070;0,00067;
ноябрь 2018;52 304;0,00061;
декабрь 2018;54 353;0,00063;
январь 2019;67 476;0,00076;
февраль 2019;88 866;0,00105;
март 2019;84 827;0,00096;
апрель 2019;71 096;0,00086;
май 2019;72 996;0,00092;
июнь 2019;39 194;0,00054;
июль 2019;36 196;0,00049;
август 2019;36 986;0,00050;
сентябрь 2019;57 540;0,00073;
октябрь 2019;64 940;0,00073;
ноябрь 2019;58 429;0,00065;
декабрь 2019;69 740;0,00075;
январь 2020;80 386;0,00082;
февраль 2020;104 743;0,00113;
март 2020;110 764;0,00112;
апрель 2020;247 689;0,00207;
май 2020;210 635;0,00196;
июнь 2020;66 090;0,00074;
июль 2020;49 735;0,00059;
август 2020;48 534;0,00057;
сентябрь 2020;99 132;0,00104;
октябрь 2020;105 590;0,00098;
ноябрь 2020;127 390;0,00111;
декабрь 2020;115 704;0,00104;
январь 2021;110 512;0,00105;
февраль 2021;137 303;0,00137;
март 2021;156 764;0,00143;
апрель 2021;137 321;0,00127;
май 2021;122 692;0,00118;
июнь 2021;62 994;0,00063;
июль 2021;51 267;0,00052;
август 2021;54 536;0,00054;
сентябрь 2021;101 351;0,00094;
октябрь 2021;102 291;0,00089;
ноябрь 2021;94 723;0,00081;
декабрь 2021;108 405;0,00091;
январь 2022;115 833;0,00097;
февраль 2022;168 897;0,00143;
март 2022;148 193;0,00116;
апрель 2022;131 428;0,00109;
май 2022;134 609;0,00112;
июнь 2022;62 663;0,00058;
июль 2022;55 923;0,00053;
август 2022;59 653;0,00055;
сентябрь 2022;97 477;0,00083;
октябрь 2022;129 951;0,00105;
ноябрь 2022;95 981;0,00076;
декабрь 2022;109 422;0,00086;
январь 2023;117 529;0,00095;
февраль 2023;143 108;0,00125;
март 2023;165 557;0,00133;
апрель 2023;144 144;0,00124;
май 2023;145 730;0,00128;
июнь 2023;69 604;0,00067;
июль 2023;59 483;0,00058;
август 2023;59 468;0,00059;
сентябрь 2023;94 909;0,00088;
октябрь 2023;107 684;0,00090;
ноябрь 2023;95 941;0,00081;
декабрь 2023;112 222;0,00094;
январь 2024;113 654;0,00094;
февраль 2024;162 435;0,00144;
март 2024;162 641;0,00141;
апрель 2024;159 474;0,00147;
май 2024;143 830;0,00135;
июнь 2024;64 935;0,00069;
июль 2024;58 110;0,00062;
август 2024;60 569;0,00064;
сентябрь 2024;97 054;0,00097;
октябрь 2024;116 048;0,00103;
ноябрь 2024;111 027;0,00095;
декабрь 2024;131 982;0,00109;
январь 2025;124 396;0,00104;
февраль 2025;169 265;0,00148;
март 2025;181 394;0,00151;
апрель 2025;187 064;0,00164;
май 2025;150 451;0,00140;
июнь 2025;80 499;0,00076;
