Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Канализационные трубы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;134 010;0,0017;
февраль 2018;141 284;0,0018;
март 2018;165 616;0,0019;
апрель 2018;163 934;0,0021;
май 2018;194 718;0,0025;
июнь 2018;193 450;0,0027;
июль 2018;200 946;0,0028;
август 2018;208 225;0,0029;
сентябрь 2018;194 714;0,0024;
октябрь 2018;220 200;0,0023;
ноябрь 2018;164 687;0,0019;
декабрь 2018;144 346;0,0016;
январь 2019;150 052;0,0017;
февраль 2019;161 814;0,0019;
март 2019;183 986;0,0020;
апрель 2019;197 775;0,0023;
май 2019;213 082;0,0026;
июнь 2019;211 845;0,0029;
июль 2019;225 778;0,0030;
август 2019;217 420;0,0029;
сентябрь 2019;200 584;0,0025;
октябрь 2019;203 080;0,0022;
ноябрь 2019;179 042;0,0020;
декабрь 2019;168 606;0,0018;
январь 2020;183 900;0,0018;
февраль 2020;182 811;0,0019;
март 2020;196 256;0,0019;
апрель 2020;229 265;0,0019;
май 2020;285 716;0,0026;
июнь 2020;275 168;0,0030;
июль 2020;267 846;0,0031;
август 2020;263 458;0,0031;
сентябрь 2020;256 239;0,0026;
октябрь 2020;261 785;0,0024;
ноябрь 2020;241 115;0,0021;
декабрь 2020;221 101;0,0020;
январь 2021;221 275;0,0021;
февраль 2021;228 561;0,0022;
март 2021;272 055;0,0024;
апрель 2021;300 520;0,0027;
май 2021;317 116;0,0030;
июнь 2021;329 814;0,0033;
июль 2021;337 582;0,0034;
август 2021;354 843;0,0035;
сентябрь 2021;341 770;0,0031;
октябрь 2021;305 717;0,0026;
ноябрь 2021;280 059;0,0024;
декабрь 2021;243 217;0,0020;
январь 2022;244 643;0,0020;
февраль 2022;239 046;0,0020;
март 2022;260 941;0,0020;
апрель 2022;313 570;0,0026;
май 2022;361 456;0,0030;
июнь 2022;352 605;0,0032;
июль 2022;349 329;0,0033;
август 2022;351 285;0,0032;
сентябрь 2022;303 893;0,0025;
октябрь 2022;290 746;0,0023;
ноябрь 2022;282 202;0,0022;
декабрь 2022;235 744;0,0018;
январь 2023;259 698;0,0021;
февраль 2023;246 820;0,0021;
март 2023;292 953;0,0023;
апрель 2023;303 218;0,0026;
май 2023;346 064;0,0030;
июнь 2023;342 691;0,0033;
июль 2023;349 965;0,0034;
август 2023;341 437;0,0033;
сентябрь 2023;334 849;0,0031;
октябрь 2023;340 341;0,0028;
ноябрь 2023;302 352;0,0025;
декабрь 2023;247 659;0,0020;
январь 2024;276 852;0,0022;
февраль 2024;275 496;0,0024;
март 2024;293 381;0,0025;
апрель 2024;330 637;0,0030;
май 2024;351 541;0,0033;
июнь 2024;333 739;0,0035;
июль 2024;351 292;0,0037;
август 2024;344 838;0,0036;
сентябрь 2024;329 568;0,0033;
октябрь 2024;341 119;0,0030;
ноябрь 2024;309 865;0,0026;
декабрь 2024;269 639;0,0022;
январь 2025;282 014;0,0023;
февраль 2025;283 352;0,0024;
март 2025;315 143;0,0026;
апрель 2025;329 726;0,0028;
май 2025;350 485;0,0032;
июнь 2025;383 646;0,0036;
