Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Морилки для дерева», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;7 555;0,000097;
февраль 2018;8 286;0,000106;
март 2018;10 198;0,000121;
апрель 2018;10 284;0,000135;
май 2018;12 365;0,000164;
июнь 2018;12 519;0,000180;
июль 2018;13 214;0,000189;
август 2018;12 704;0,000179;
сентябрь 2018;10 734;0,000135;
октябрь 2018;11 102;0,000120;
ноябрь 2018;9 617;0,000113;
декабрь 2018;8 807;0,000102;
январь 2019;9 128;0,000103;
февраль 2019;9 502;0,000113;
март 2019;11 110;0,000126;
апрель 2019;12 563;0,000152;
май 2019;14 102;0,000178;
июнь 2019;13 062;0,000180;
июль 2019;14 309;0,000194;
август 2019;13 170;0,000181;
сентябрь 2019;11 395;0,000144;
октябрь 2019;11 663;0,000131;
ноябрь 2019;12 195;0,000137;
декабрь 2019;11 619;0,000125;
январь 2020;13 276;0,000136;
февраль 2020;12 841;0,000139;
март 2020;12 981;0,000132;
апрель 2020;19 573;0,000163;
май 2020;27 607;0,000257;
июнь 2020;24 524;0,000274;
июль 2020;21 798;0,000258;
август 2020;18 716;0,000223;
сентябрь 2020;14 768;0,000155;
октябрь 2020;15 129;0,000140;
ноябрь 2020;14 499;0,000126;
декабрь 2020;12 693;0,000114;
январь 2021;12 337;0,000118;
февраль 2021;12 238;0,000122;
март 2021;14 947;0,000137;
апрель 2021;18 150;0,000168;
май 2021;20 586;0,000199;
июнь 2021;20 535;0,000206;
июль 2021;20 681;0,000213;
август 2021;21 275;0,000212;
сентябрь 2021;16 211;0,000151;
октябрь 2021;15 136;0,000133;
ноябрь 2021;15 658;0,000135;
декабрь 2021;13 232;0,000111;
январь 2022;13 807;0,000115;
февраль 2022;13 538;0,000114;
март 2022;16 336;0,000128;
апрель 2022;22 203;0,000185;
май 2022;27 198;0,000227;
июнь 2022;26 483;0,000247;
июль 2022;25 845;0,000247;
август 2022;25 059;0,000232;
сентябрь 2022;16 823;0,000143;
октябрь 2022;15 428;0,000124;
ноябрь 2022;15 981;0,000126;
декабрь 2022;13 196;0,000104;
январь 2023;13 476;0,000109;
февраль 2023;14 716;0,000128;
март 2023;17 863;0,000143;
апрель 2023;21 228;0,000183;
май 2023;24 926;0,000220;
июнь 2023;24 758;0,000241;
июль 2023;24 181;0,000239;
август 2023;21 570;0,000214;
сентябрь 2023;17 145;0,000159;
октябрь 2023;17 130;0,000143;
ноябрь 2023;14 683;0,000125;
декабрь 2023;11 996;0,000100;
январь 2024;11 963;0,000099;
февраль 2024;13 384;0,000119;
март 2024;14 770;0,000128;
апрель 2024;19 729;0,000181;
май 2024;21 303;0,000200;
июнь 2024;19 587;0,000209;
июль 2024;19 811;0,000212;
август 2024;18 288;0,000195;
сентябрь 2024;14 846;0,000149;
октябрь 2024;13 580;0,000120;
ноябрь 2024;11 739;0,000100;
декабрь 2024;10 583;0,000088;
январь 2025;11 542;0,000097;
февраль 2025;12 047;0,000105;
март 2025;13 913;0,000116;
апрель 2025;16 566;0,000145;
май 2025;19 290;0,000180;
июнь 2025;20 503;0,000194;
