Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Полы наливные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;221 405;0,0028;
февраль 2018;243 938;0,0031;
март 2018;253 906;0,0030;
апрель 2018;219 897;0,0029;
май 2018;221 391;0,0029;
июнь 2018;241 793;0,0034;
июль 2018;269 250;0,0038;
август 2018;291 210;0,0041;
сентябрь 2018;239 706;0,0030;
октябрь 2018;264 076;0,0028;
ноябрь 2018;224 140;0,0026;
декабрь 2018;191 118;0,0022;
январь 2019;196 618;0,0022;
февраль 2019;206 408;0,0024;
март 2019;260 852;0,0029;
апрель 2019;238 140;0,0028;
май 2019;226 227;0,0028;
июнь 2019;232 545;0,0032;
июль 2019;265 378;0,0036;
август 2019;251 076;0,0034;
сентябрь 2019;241 874;0,0030;
октябрь 2019;245 616;0,0027;
ноябрь 2019;233 113;0,0026;
декабрь 2019;264 587;0,0028;
январь 2020;312 807;0,0032;
февраль 2020;288 625;0,0031;
март 2020;266 407;0,0027;
апрель 2020;233 014;0,0019;
май 2020;276 900;0,0025;
июнь 2020;285 460;0,0032;
июль 2020;289 750;0,0034;
август 2020;270 684;0,0032;
сентябрь 2020;252 507;0,0026;
октябрь 2020;264 279;0,0024;
ноябрь 2020;261 143;0,0022;
декабрь 2020;231 337;0,0020;
январь 2021;229 566;0,0021;
февраль 2021;255 399;0,0025;
март 2021;256 056;0,0023;
апрель 2021;258 632;0,0023;
май 2021;251 448;0,0024;
июнь 2021;290 835;0,0029;
июль 2021;300 700;0,0030;
август 2021;323 187;0,0032;
сентябрь 2021;288 550;0,0026;
октябрь 2021;268 290;0,0023;
ноябрь 2021;268 359;0,0023;
декабрь 2021;241 956;0,0020;
январь 2022;241 145;0,0020;
февраль 2022;241 308;0,0020;
март 2022;269 001;0,0021;
апрель 2022;258 376;0,0021;
май 2022;257 078;0,0021;
июнь 2022;270 497;0,0025;
июль 2022;279 292;0,0026;
август 2022;316 398;0,0029;
сентябрь 2022;249 310;0,0021;
октябрь 2022;225 467;0,0018;
ноябрь 2022;224 636;0,0017;
декабрь 2022;189 459;0,0015;
январь 2023;191 377;0,0015;
февраль 2023;202 704;0,0017;
март 2023;238 191;0,0019;
апрель 2023;227 731;0,0019;
май 2023;236 645;0,0020;
июнь 2023;253 427;0,0024;
июль 2023;279 716;0,0027;
август 2023;276 300;0,0027;
сентябрь 2023;253 870;0,0023;
октябрь 2023;255 618;0,0021;
ноябрь 2023;242 148;0,0020;
декабрь 2023;194 430;0,0016;
январь 2024;199 458;0,0016;
февраль 2024;219 680;0,0019;
март 2024;238 702;0,0020;
апрель 2024;242 186;0,0022;
май 2024;251 639;0,0023;
июнь 2024;244 833;0,0026;
июль 2024;270 814;0,0029;
август 2024;269 757;0,0028;
сентябрь 2024;247 493;0,0024;
октябрь 2024;255 930;0,0022;
ноябрь 2024;255 206;0,0021;
декабрь 2024;228 572;0,0019;
январь 2025;243 025;0,0020;
февраль 2025;273 113;0,0023;
март 2025;280 786;0,0023;
апрель 2025;270 886;0,0023;
май 2025;270 046;0,0025;
июнь 2025;319 466;0,0030;
