Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Керамогранит технический», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 229;0,0000158;
февраль 2018;1 392;0,0000179;
март 2018;1 526;0,0000181;
апрель 2018;1 673;0,0000220;
май 2018;1 769;0,0000235;
июнь 2018;1 784;0,0000257;
июль 2018;1 894;0,0000270;
август 2018;2 037;0,0000288;
сентябрь 2018;1 850;0,0000233;
октябрь 2018;2 073;0,0000224;
ноябрь 2018;1 411;0,0000166;
декабрь 2018;1 215;0,0000142;
январь 2019;1 179;0,0000133;
февраль 2019;1 457;0,0000173;
март 2019;1 485;0,0000169;
апрель 2019;1 644;0,0000198;
май 2019;1 664;0,0000210;
июнь 2019;1 483;0,0000204;
июль 2019;1 969;0,0000267;
август 2019;1 496;0,0000205;
сентябрь 2019;1 505;0,0000191;
октябрь 2019;1 555;0,0000175;
ноябрь 2019;1 135;0,0000127;
декабрь 2019;890;0,0000095;
январь 2020;1 089;0,0000111;
февраль 2020;1 189;0,0000129;
март 2020;1 432;0,0000145;
апрель 2020;1 595;0,0000133;
май 2020;1 896;0,0000176;
июнь 2020;1 890;0,0000211;
июль 2020;1 681;0,0000199;
август 2020;1 581;0,0000188;
сентябрь 2020;1 527;0,0000160;
октябрь 2020;1 470;0,0000136;
ноябрь 2020;2 038;0,0000177;
декабрь 2020;1 907;0,0000172;
январь 2021;1 100;0,0000105;
февраль 2021;1 223;0,0000122;
март 2021;1 429;0,0000131;
апрель 2021;1 514;0,0000140;
май 2021;1 424;0,0000138;
июнь 2021;1 561;0,0000157;
июль 2021;1 570;0,0000161;
август 2021;1 779;0,0000177;
сентябрь 2021;1 821;0,0000169;
октябрь 2021;1 971;0,0000173;
ноябрь 2021;1 669;0,0000144;
декабрь 2021;1 273;0,0000107;
январь 2022;1 485;0,0000124;
февраль 2022;1 450;0,0000122;
март 2022;1 826;0,0000143;
апрель 2022;2 024;0,0000169;
май 2022;1 962;0,0000164;
июнь 2022;1 904;0,0000177;
июль 2022;1 777;0,0000170;
август 2022;1 732;0,0000160;
сентябрь 2022;1 462;0,0000125;
октябрь 2022;1 354;0,0000109;
ноябрь 2022;1 294;0,0000102;
декабрь 2022;1 029;0,0000081;
январь 2023;1 077;0,0000087;
февраль 2023;1 277;0,0000111;
март 2023;1 659;0,0000133;
апрель 2023;1 577;0,0000136;
май 2023;1 858;0,0000164;
июнь 2023;1 817;0,0000177;
июль 2023;1 714;0,0000169;
август 2023;1 674;0,0000166;
сентябрь 2023;1 600;0,0000148;
октябрь 2023;1 960;0,0000164;
ноябрь 2023;1 652;0,0000140;
декабрь 2023;1 020;0,0000085;
январь 2024;1 223;0,0000101;
февраль 2024;1 367;0,0000121;
март 2024;1 697;0,0000147;
апрель 2024;1 782;0,0000164;
май 2024;1 920;0,0000180;
июнь 2024;1 675;0,0000179;
июль 2024;1 869;0,0000200;
август 2024;1 546;0,0000165;
сентябрь 2024;1 445;0,0000145;
октябрь 2024;1 454;0,0000129;
ноябрь 2024;1 268;0,0000109;
декабрь 2024;1 242;0,0000103;
январь 2025;1 248;0,0000105;
февраль 2025;1 564;0,0000137;
март 2025;1 583;0,0000132;
апрель 2025;1 828;0,0000160;
май 2025;1 620;0,0000151;
июнь 2025;1 668;0,0000158;
