Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Станции водоснабжения», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;10 983;0,00014;
февраль 2018;10 552;0,00013;
март 2018;13 603;0,00016;
апрель 2018;16 255;0,00021;
май 2018;19 403;0,00025;
июнь 2018;18 648;0,00026;
июль 2018;16 200;0,00023;
август 2018;14 999;0,00021;
сентябрь 2018;13 822;0,00017;
октябрь 2018;15 354;0,00016;
ноябрь 2018;12 712;0,00014;
декабрь 2018;11 149;0,00013;
январь 2019;12 302;0,00013;
февраль 2019;12 737;0,00015;
март 2019;14 022;0,00015;
апрель 2019;18 135;0,00021;
май 2019;20 700;0,00026;
июнь 2019;20 615;0,00028;
июль 2019;15 938;0,00021;
август 2019;13 863;0,00019;
сентябрь 2019;13 201;0,00016;
октябрь 2019;13 538;0,00015;
ноябрь 2019;13 104;0,00014;
декабрь 2019;12 241;0,00013;
январь 2020;14 561;0,00014;
февраль 2020;13 067;0,00014;
март 2020;17 684;0,00017;
апрель 2020;20 832;0,00017;
май 2020;26 302;0,00024;
июнь 2020;24 163;0,00027;
июль 2020;20 696;0,00024;
август 2020;17 479;0,00020;
сентябрь 2020;15 563;0,00016;
октябрь 2020;17 253;0,00016;
ноябрь 2020;16 693;0,00014;
декабрь 2020;15 966;0,00014;
январь 2021;16 911;0,00016;
февраль 2021;17 129;0,00017;
март 2021;20 293;0,00018;
апрель 2021;24 050;0,00022;
май 2021;28 237;0,00027;
июнь 2021;29 305;0,00029;
июль 2021;26 491;0,00027;
август 2021;21 940;0,00021;
сентябрь 2021;19 465;0,00018;
октябрь 2021;19 132;0,00016;
ноябрь 2021;17 765;0,00015;
декабрь 2021;16 574;0,00013;
январь 2022;16 508;0,00013;
февраль 2022;16 048;0,00013;
март 2022;22 932;0,00017;
апрель 2022;27 779;0,00023;
май 2022;33 385;0,00027;
июнь 2022;29 478;0,00027;
июль 2022;26 132;0,00025;
август 2022;23 832;0,00022;
сентябрь 2022;18 243;0,00015;
октябрь 2022;17 948;0,00014;
ноябрь 2022;18 320;0,00014;
декабрь 2022;16 662;0,00013;
январь 2023;18 838;0,00015;
февраль 2023;15 554;0,00013;
март 2023;19 248;0,00015;
апрель 2023;24 061;0,00020;
май 2023;28 706;0,00025;
июнь 2023;26 144;0,00025;
июль 2023;22 906;0,00022;
август 2023;21 158;0,00021;
сентябрь 2023;18 460;0,00017;
октябрь 2023;20 398;0,00017;
ноябрь 2023;17 750;0,00015;
декабрь 2023;16 592;0,00013;
январь 2024;17 467;0,00014;
февраль 2024;15 690;0,00013;
март 2024;17 504;0,00015;
апрель 2024;24 229;0,00022;
май 2024;26 989;0,00025;
июнь 2024;24 475;0,00026;
июль 2024;23 731;0,00025;
август 2024;17 269;0,00018;
сентябрь 2024;16 530;0,00016;
октябрь 2024;18 439;0,00016;
ноябрь 2024;16 567;0,00014;
декабрь 2024;15 969;0,00013;
январь 2025;15 392;0,00012;
февраль 2025;16 025;0,00014;
март 2025;18 474;0,00015;
апрель 2025;21 658;0,00019;
май 2025;25 552;0,00023;
июнь 2025;23 559;0,00022;
