Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Планки для столешниц», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 578;0,000033;
февраль 2018;3 058;0,000039;
март 2018;3 173;0,000037;
апрель 2018;2 880;0,000038;
май 2018;2 735;0,000036;
июнь 2018;2 690;0,000038;
июль 2018;2 912;0,000041;
август 2018;3 466;0,000049;
сентябрь 2018;3 270;0,000041;
октябрь 2018;4 334;0,000047;
ноябрь 2018;3 826;0,000045;
декабрь 2018;4 076;0,000047;
январь 2019;3 458;0,000039;
февраль 2019;3 715;0,000044;
март 2019;3 720;0,000042;
апрель 2019;3 492;0,000042;
май 2019;3 091;0,000039;
июнь 2019;3 130;0,000043;
июль 2019;3 983;0,000054;
август 2019;3 797;0,000052;
сентябрь 2019;6 568;0,000083;
октябрь 2019;4 435;0,000050;
ноябрь 2019;4 389;0,000049;
декабрь 2019;5 160;0,000055;
январь 2020;4 564;0,000046;
февраль 2020;4 653;0,000050;
март 2020;4 509;0,000045;
апрель 2020;4 570;0,000038;
май 2020;5 240;0,000048;
июнь 2020;5 027;0,000056;
июль 2020;5 268;0,000062;
август 2020;5 946;0,000070;
сентябрь 2020;5 482;0,000057;
октябрь 2020;6 248;0,000058;
ноябрь 2020;6 796;0,000059;
декабрь 2020;6 892;0,000062;
январь 2021;6 468;0,000061;
февраль 2021;6 766;0,000067;
март 2021;6 910;0,000063;
апрель 2021;7 552;0,000070;
май 2021;6 819;0,000066;
июнь 2021;6 493;0,000065;
июль 2021;7 056;0,000072;
август 2021;8 681;0,000086;
сентябрь 2021;8 404;0,000078;
октябрь 2021;9 093;0,000079;
ноябрь 2021;9 112;0,000078;
декабрь 2021;9 398;0,000079;
январь 2022;8 485;0,000071;
февраль 2022;8 590;0,000072;
март 2022;10 294;0,000080;
апрель 2022;8 530;0,000071;
май 2022;7 723;0,000064;
июнь 2022;7 001;0,000065;
июль 2022;7 921;0,000075;
август 2022;8 388;0,000077;
сентябрь 2022;7 459;0,000063;
октябрь 2022;7 642;0,000061;
ноябрь 2022;9 205;0,000072;
декабрь 2022;8 648;0,000068;
январь 2023;8 168;0,000066;
февраль 2023;8 159;0,000071;
март 2023;9 267;0,000074;
апрель 2023;7 984;0,000069;
май 2023;8 187;0,000072;
июнь 2023;8 109;0,000079;
июль 2023;9 148;0,000090;
август 2023;9 436;0,000093;
сентябрь 2023;8 530;0,000079;
октябрь 2023;10 627;0,000089;
ноябрь 2023;10 862;0,000092;
декабрь 2023;10 714;0,000089;
январь 2024;9 858;0,000081;
февраль 2024;10 154;0,000090;
март 2024;10 675;0,000092;
апрель 2024;9 568;0,000088;
май 2024;9 489;0,000089;
июнь 2024;8 746;0,000093;
июль 2024;9 378;0,000100;
август 2024;10 024;0,000107;
сентябрь 2024;8 800;0,000088;
октябрь 2024;10 225;0,000091;
ноябрь 2024;11 705;0,000100;
декабрь 2024;12 505;0,000104;
январь 2025;10 986;0,000092;
февраль 2025;10 819;0,000094;
март 2025;10 546;0,000087;
апрель 2025;9 608;0,000084;
май 2025;9 298;0,000087;
июнь 2025;9 745;0,000092;
