Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Окна деревянные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;89 995;0,00115;
февраль 2018;81 336;0,00104;
март 2018;103 813;0,00123;
апрель 2018;112 754;0,00148;
май 2018;143 118;0,00190;
июнь 2018;150 514;0,00216;
июль 2018;160 183;0,00229;
август 2018;164 618;0,00233;
сентябрь 2018;155 696;0,00196;
октябрь 2018;153 876;0,00166;
ноябрь 2018;110 584;0,00130;
декабрь 2018;78 580;0,00091;
январь 2019;91 358;0,00103;
февраль 2019;84 205;0,00100;
март 2019;101 977;0,00116;
апрель 2019;125 649;0,00152;
май 2019;137 578;0,00174;
июнь 2019;154 016;0,00212;
июль 2019;162 112;0,00220;
август 2019;157 273;0,00216;
сентябрь 2019;164 353;0,00208;
октябрь 2019;136 615;0,00154;
ноябрь 2019;121 449;0,00136;
декабрь 2019;105 252;0,00113;
январь 2020;109 886;0,00113;
февраль 2020;100 002;0,00108;
март 2020;115 243;0,00117;
апрель 2020;150 852;0,00126;
май 2020;198 224;0,00184;
июнь 2020;195 475;0,00219;
июль 2020;187 298;0,00222;
август 2020;189 730;0,00226;
сентябрь 2020;183 377;0,00193;
октябрь 2020;165 709;0,00154;
ноябрь 2020;156 622;0,00136;
декабрь 2020;130 820;0,00118;
январь 2021;112 122;0,00107;
февраль 2021;109 579;0,00109;
март 2021;130 989;0,00120;
апрель 2021;158 661;0,00147;
май 2021;181 193;0,00175;
июнь 2021;186 188;0,00187;
июль 2021;193 749;0,00199;
август 2021;202 541;0,00202;
сентябрь 2021;202 631;0,00189;
октябрь 2021;162 453;0,00142;
ноябрь 2021;156 368;0,00134;
декабрь 2021;137 281;0,00115;
январь 2022;107 808;0,00090;
февраль 2022;114 760;0,00097;
март 2022;134 833;0,00105;
апрель 2022;144 151;0,00120;
май 2022;165 584;0,00138;
июнь 2022;170 157;0,00158;
июль 2022;180 390;0,00172;
август 2022;185 948;0,00172;
сентябрь 2022;156 415;0,00133;
октябрь 2022;125 020;0,00101;
ноябрь 2022;125 174;0,00099;
декабрь 2022;88 129;0,00070;
январь 2023;93 958;0,00076;
февраль 2023;88 100;0,00077;
март 2023;105 482;0,00084;
апрель 2023;119 204;0,00103;
май 2023;135 634;0,00119;
июнь 2023;143 087;0,00139;
июль 2023;155 582;0,00154;
август 2023;154 524;0,00153;
сентябрь 2023;143 311;0,00133;
октябрь 2023;142 942;0,00119;
ноябрь 2023;108 519;0,00092;
декабрь 2023;87 272;0,00073;
январь 2024;86 657;0,00071;
февраль 2024;82 999;0,00073;
март 2024;90 688;0,00078;
апрель 2024;115 296;0,00106;
май 2024;127 601;0,00119;
июнь 2024;131 440;0,00140;
июль 2024;149 187;0,00160;
август 2024;138 871;0,00148;
сентябрь 2024;142 427;0,00143;
октябрь 2024;132 959;0,00118;
ноябрь 2024;118 839;0,00102;
декабрь 2024;103 065;0,00085;
январь 2025;92 580;0,00078;
февраль 2025;101 583;0,00089;
март 2025;110 987;0,00092;
апрель 2025;120 822;0,00106;
май 2025;134 942;0,00126;
июнь 2025;149 794;0,00141;
