Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Цементная плитка», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;4 289;0,000055;
февраль 2018;4 246;0,000054;
март 2018;5 067;0,000060;
апрель 2018;6 107;0,000080;
май 2018;7 382;0,000098;
июнь 2018;7 240;0,000104;
июль 2018;7 825;0,000111;
август 2018;7 803;0,000110;
сентябрь 2018;6 720;0,000084;
октябрь 2018;6 934;0,000075;
ноябрь 2018;5 126;0,000060;
декабрь 2018;3 929;0,000045;
январь 2019;4 136;0,000046;
февраль 2019;4 393;0,000052;
март 2019;6 573;0,000074;
апрель 2019;6 376;0,000077;
май 2019;7 621;0,000096;
июнь 2019;8 121;0,000112;
июль 2019;8 387;0,000114;
август 2019;8 006;0,000110;
сентябрь 2019;7 072;0,000089;
октябрь 2019;6 512;0,000073;
ноябрь 2019;5 490;0,000061;
декабрь 2019;4 563;0,000049;
январь 2020;4 766;0,000049;
февраль 2020;5 106;0,000055;
март 2020;6 049;0,000061;
апрель 2020;7 971;0,000066;
май 2020;10 387;0,000096;
июнь 2020;10 868;0,000121;
июль 2020;9 818;0,000116;
август 2020;10 123;0,000120;
сентябрь 2020;8 728;0,000091;
октябрь 2020;8 034;0,000074;
ноябрь 2020;6 964;0,000060;
декабрь 2020;5 956;0,000053;
январь 2021;5 634;0,000053;
февраль 2021;5 929;0,000059;
март 2021;7 003;0,000064;
апрель 2021;8 997;0,000083;
май 2021;9 851;0,000095;
июнь 2021;11 625;0,000117;
июль 2021;11 596;0,000119;
август 2021;11 719;0,000116;
сентябрь 2021;9 476;0,000088;
октябрь 2021;8 209;0,000072;
ноябрь 2021;7 388;0,000063;
декабрь 2021;6 532;0,000055;
январь 2022;6 319;0,000053;
февраль 2022;6 732;0,000057;
март 2022;7 876;0,000061;
апрель 2022;9 880;0,000082;
май 2022;11 784;0,000098;
июнь 2022;12 622;0,000117;
июль 2022;12 423;0,000119;
август 2022;12 178;0,000113;
сентябрь 2022;9 360;0,000080;
октябрь 2022;8 238;0,000066;
ноябрь 2022;7 370;0,000058;
декабрь 2022;6 026;0,000047;
январь 2023;6 120;0,000049;
февраль 2023;6 587;0,000057;
март 2023;8 423;0,000067;
апрель 2023;9 829;0,000085;
май 2023;11 482;0,000101;
июнь 2023;12 139;0,000118;
июль 2023;12 107;0,000120;
август 2023;11 500;0,000114;
сентябрь 2023;10 287;0,000095;
октябрь 2023;8 996;0,000075;
ноябрь 2023;7 867;0,000067;
декабрь 2023;6 115;0,000051;
январь 2024;6 179;0,000051;
февраль 2024;7 011;0,000062;
март 2024;8 051;0,000069;
апрель 2024;10 545;0,000097;
май 2024;11 680;0,000109;
июнь 2024;11 456;0,000122;
июль 2024;12 160;0,000130;
август 2024;11 359;0,000121;
сентябрь 2024;10 630;0,000107;
октябрь 2024;9 195;0,000081;
ноябрь 2024;8 414;0,000072;
декабрь 2024;7 659;0,000063;
январь 2025;7 803;0,000065;
февраль 2025;8 487;0,000074;
март 2025;10 069;0,000084;
апрель 2025;11 488;0,000100;
май 2025;12 566;0,000117;
июнь 2025;14 545;0,000137;
