Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Виброплиты», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;29 355;0,00037;
февраль 2018;31 987;0,00041;
март 2018;42 708;0,00050;
апрель 2018;61 902;0,00081;
май 2018;94 853;0,00126;
июнь 2018;91 115;0,00131;
июль 2018;83 226;0,00119;
август 2018;83 813;0,00118;
сентябрь 2018;74 574;0,00094;
октябрь 2018;74 535;0,00080;
ноябрь 2018;39 894;0,00046;
декабрь 2018;26 345;0,00030;
январь 2019;26 702;0,00030;
февраль 2019;33 947;0,00040;
март 2019;47 995;0,00054;
апрель 2019;71 983;0,00087;
май 2019;81 875;0,00103;
июнь 2019;76 708;0,00105;
июль 2019;80 514;0,00109;
август 2019;68 718;0,00094;
сентябрь 2019;59 651;0,00075;
октябрь 2019;54 627;0,00061;
ноябрь 2019;39 228;0,00044;
декабрь 2019;42 972;0,00046;
январь 2020;40 855;0,00042;
февраль 2020;45 266;0,00049;
март 2020;59 335;0,00060;
апрель 2020;73 956;0,00061;
май 2020;108 407;0,00101;
июнь 2020;108 380;0,00121;
июль 2020;105 266;0,00124;
август 2020;97 444;0,00116;
сентябрь 2020;84 635;0,00089;
октябрь 2020;74 270;0,00069;
ноябрь 2020;53 035;0,00046;
декабрь 2020;35 938;0,00032;
январь 2021;32 183;0,00030;
февраль 2021;38 284;0,00038;
март 2021;59 747;0,00054;
апрель 2021;96 389;0,00089;
май 2021;119 487;0,00115;
июнь 2021;123 595;0,00124;
июль 2021;116 299;0,00119;
август 2021;114 068;0,00113;
сентябрь 2021;92 280;0,00086;
октябрь 2021;80 246;0,00070;
ноябрь 2021;58 838;0,00050;
декабрь 2021;40 391;0,00034;
январь 2022;38 786;0,00032;
февраль 2022;47 931;0,00040;
март 2022;62 246;0,00048;
апрель 2022;89 757;0,00075;
май 2022;126 841;0,00106;
июнь 2022;128 822;0,00120;
июль 2022;116 469;0,00111;
август 2022;111 866;0,00103;
сентябрь 2022;84 810;0,00072;
октябрь 2022;67 750;0,00054;
ноябрь 2022;51 249;0,00040;
декабрь 2022;34 667;0,00027;
январь 2023;37 726;0,00030;
февраль 2023;44 605;0,00039;
март 2023;69 708;0,00056;
апрель 2023;104 983;0,00090;
май 2023;136 538;0,00120;
июнь 2023;126 615;0,00123;
июль 2023;115 834;0,00114;
август 2023;106 311;0,00105;
сентябрь 2023;93 902;0,00087;
октябрь 2023;81 176;0,00068;
ноябрь 2023;55 144;0,00046;
декабрь 2023;34 844;0,00029;
январь 2024;37 981;0,00031;
февраль 2024;50 652;0,00045;
март 2024;71 565;0,00062;
апрель 2024;111 984;0,00103;
май 2024;133 515;0,00125;
июнь 2024;122 111;0,00130;
июль 2024;118 637;0,00127;
август 2024;107 984;0,00115;
сентябрь 2024;97 032;0,00097;
октябрь 2024;81 747;0,00072;
ноябрь 2024;59 526;0,00051;
декабрь 2024;47 387;0,00039;
январь 2025;51 972;0,00043;
февраль 2025;54 762;0,00047;
март 2025;80 538;0,00067;
апрель 2025;111 621;0,00097;
май 2025;127 618;0,00119;
июнь 2025;153 773;0,00145;
