Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мозаика», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;628 090;0,0080;
февраль 2018;606 796;0,0078;
март 2018;668 167;0,0079;
апрель 2018;545 582;0,0071;
май 2018;520 617;0,0069;
июнь 2018;456 351;0,0065;
июль 2018;446 404;0,0063;
август 2018;465 376;0,0065;
сентябрь 2018;550 346;0,0069;
октябрь 2018;718 857;0,0078;
ноябрь 2018;673 005;0,0079;
декабрь 2018;631 740;0,0073;
январь 2019;662 615;0,0075;
февраль 2019;714 289;0,0085;
март 2019;798 684;0,0090;
апрель 2019;714 048;0,0086;
май 2019;676 288;0,0085;
июнь 2019;607 142;0,0083;
июль 2019;632 341;0,0086;
август 2019;625 758;0,0086;
сентябрь 2019;689 660;0,0087;
октябрь 2019;884 687;0,0099;
ноябрь 2019;892 829;0,0100;
декабрь 2019;1 092 525;0,0117;
январь 2020;955 873;0,0098;
февраль 2020;864 873;0,0094;
март 2020;803 495;0,0081;
апрель 2020;1 023 441;0,0085;
май 2020;849 173;0,0079;
июнь 2020;563 677;0,0063;
июль 2020;545 858;0,0064;
август 2020;551 647;0,0065;
сентябрь 2020;608 273;0,0064;
октябрь 2020;780 970;0,0072;
ноябрь 2020;894 973;0,0078;
декабрь 2020;905 451;0,0081;
январь 2021;906 627;0,0086;
февраль 2021;822 099;0,0082;
март 2021;842 969;0,0077;
апрель 2021;740 716;0,0068;
май 2021;679 608;0,0065;
июнь 2021;589 132;0,0059;
июль 2021;571 408;0,0058;
август 2021;617 037;0,0061;
сентябрь 2021;681 890;0,0063;
октябрь 2021;804 252;0,0070;
ноябрь 2021;865 119;0,0074;
декабрь 2021;860 135;0,0072;
январь 2022;886 751;0,0074;
февраль 2022;849 585;0,0071;
март 2022;838 484;0,0065;
апрель 2022;724 021;0,0060;
май 2022;675 887;0,0056;
июнь 2022;563 569;0,0052;
июль 2022;551 308;0,0052;
август 2022;576 670;0,0053;
сентябрь 2022;609 835;0,0052;
октябрь 2022;742 728;0,0060;
ноябрь 2022;793 925;0,0062;
декабрь 2022;761 199;0,0060;
январь 2023;818 751;0,0066;
февраль 2023;733 686;0,0064;
март 2023;785 322;0,0063;
апрель 2023;635 092;0,0055;
май 2023;614 421;0,0054;
июнь 2023;547 415;0,0053;
июль 2023;538 225;0,0053;
август 2023;515 631;0,0051;
сентябрь 2023;600 124;0,0055;
октябрь 2023;746 639;0,0062;
ноябрь 2023;769 491;0,0065;
декабрь 2023;705 924;0,0059;
январь 2024;784 426;0,0065;
февраль 2024;720 194;0,0064;
март 2024;706 550;0,0061;
апрель 2024;622 114;0,0057;
май 2024;583 431;0,0054;
июнь 2024;468 074;0,0050;
июль 2024;463 045;0,0049;
август 2024;458 186;0,0049;
сентябрь 2024;510 647;0,0051;
октябрь 2024;651 045;0,0057;
ноябрь 2024;707 570;0,0060;
декабрь 2024;669 991;0,0055;
январь 2025;731 334;0,0061;
февраль 2025;669 384;0,0058;
март 2025;669 661;0,0055;
апрель 2025;569 265;0,0049;
май 2025;535 690;0,0050;
июнь 2025;537 193;0,0050;
