Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Экраны для радиаторов», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;6 622;0,000085;
февраль 2018;6 699;0,000086;
март 2018;7 184;0,000085;
апрель 2018;5 558;0,000073;
май 2018;5 690;0,000075;
июнь 2018;6 040;0,000087;
июль 2018;7 192;0,000102;
август 2018;8 676;0,000122;
сентябрь 2018;8 298;0,000104;
октябрь 2018;10 807;0,000117;
ноябрь 2018;9 352;0,000110;
декабрь 2018;8 041;0,000094;
январь 2019;7 605;0,000086;
февраль 2019;7 846;0,000093;
март 2019;7 668;0,000087;
апрель 2019;6 934;0,000083;
май 2019;5 845;0,000073;
июнь 2019;6 223;0,000085;
июль 2019;7 688;0,000104;
август 2019;8 710;0,000119;
сентябрь 2019;8 082;0,000102;
октябрь 2019;9 353;0,000105;
ноябрь 2019;9 868;0,000111;
декабрь 2019;9 103;0,000098;
январь 2020;9 110;0,000093;
февраль 2020;8 871;0,000096;
март 2020;7 706;0,000078;
апрель 2020;7 164;0,000059;
май 2020;8 497;0,000079;
июнь 2020;8 461;0,000094;
июль 2020;8 531;0,000101;
август 2020;9 255;0,000110;
сентябрь 2020;9 711;0,000102;
октябрь 2020;10 961;0,000101;
ноябрь 2020;12 122;0,000105;
декабрь 2020;11 395;0,000103;
январь 2021;11 713;0,000112;
февраль 2021;10 367;0,000103;
март 2021;10 972;0,000100;
апрель 2021;10 354;0,000096;
май 2021;8 764;0,000084;
июнь 2021;9 484;0,000095;
июль 2021;10 286;0,000106;
август 2021;13 376;0,000133;
сентябрь 2021;13 376;0,000124;
октябрь 2021;12 064;0,000106;
ноябрь 2021;12 782;0,000110;
декабрь 2021;12 813;0,000108;
январь 2022;13 039;0,000109;
февраль 2022;12 351;0,000104;
март 2022;11 737;0,000092;
апрель 2022;11 164;0,000093;
май 2022;9 721;0,000081;
июнь 2022;10 301;0,000096;
июль 2022;11 058;0,000106;
август 2022;13 121;0,000121;
сентябрь 2022;11 734;0,000100;
октябрь 2022;11 480;0,000092;
ноябрь 2022;13 929;0,000110;
декабрь 2022;11 814;0,000093;
январь 2023;11 584;0,000093;
февраль 2023;11 977;0,000104;
март 2023;12 860;0,000103;
апрель 2023;9 422;0,000081;
май 2023;9 357;0,000082;
июнь 2023;10 179;0,000099;
июль 2023;11 565;0,000114;
август 2023;13 283;0,000132;
сентябрь 2023;13 603;0,000126;
октябрь 2023;16 166;0,000135;
ноябрь 2023;15 304;0,000130;
декабрь 2023;13 163;0,000110;
январь 2024;12 662;0,000105;
февраль 2024;12 761;0,000113;
март 2024;11 497;0,000099;
апрель 2024;10 154;0,000093;
май 2024;9 976;0,000093;
июнь 2024;9 459;0,000101;
июль 2024;11 086;0,000119;
август 2024;11 355;0,000121;
сентябрь 2024;10 988;0,000110;
октябрь 2024;12 929;0,000115;
ноябрь 2024;12 660;0,000108;
декабрь 2024;12 402;0,000103;
январь 2025;11 509;0,000096;
февраль 2025;11 397;0,000099;
март 2025;10 692;0,000089;
апрель 2025;9 383;0,000082;
май 2025;8 813;0,000082;
июнь 2025;9 616;0,000091;
