Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Полотенцедержатели», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;7 877;0,000101;
февраль 2018;7 408;0,000095;
март 2018;7 827;0,000093;
апрель 2018;7 187;0,000094;
май 2018;7 019;0,000093;
июнь 2018;6 990;0,000100;
июль 2018;8 106;0,000115;
август 2018;8 411;0,000119;
сентябрь 2018;9 259;0,000116;
октябрь 2018;10 769;0,000116;
ноябрь 2018;10 666;0,000125;
декабрь 2018;7 688;0,000089;
январь 2019;8 792;0,000099;
февраль 2019;8 667;0,000103;
март 2019;8 962;0,000102;
апрель 2019;7 691;0,000093;
май 2019;6 789;0,000085;
июнь 2019;7 657;0,000105;
июль 2019;8 538;0,000116;
август 2019;9 661;0,000132;
сентябрь 2019;9 450;0,000120;
октябрь 2019;10 257;0,000115;
ноябрь 2019;10 088;0,000113;
декабрь 2019;9 589;0,000103;
январь 2020;9 978;0,000102;
февраль 2020;9 347;0,000101;
март 2020;9 121;0,000092;
апрель 2020;7 659;0,000064;
май 2020;8 651;0,000080;
июнь 2020;9 660;0,000108;
июль 2020;10 164;0,000120;
август 2020;10 338;0,000123;
сентябрь 2020;10 799;0,000113;
октябрь 2020;11 367;0,000105;
ноябрь 2020;11 994;0,000104;
декабрь 2020;11 158;0,000100;
январь 2021;11 649;0,000111;
февраль 2021;10 980;0,000109;
март 2021;10 794;0,000099;
апрель 2021;10 245;0,000095;
май 2021;10 031;0,000097;
июнь 2021;10 468;0,000105;
июль 2021;10 346;0,000106;
август 2021;12 441;0,000124;
сентябрь 2021;13 505;0,000126;
октябрь 2021;12 486;0,000109;
ноябрь 2021;12 468;0,000107;
декабрь 2021;12 361;0,000104;
январь 2022;11 626;0,000097;
февраль 2022;11 084;0,000093;
март 2022;12 095;0,000094;
апрель 2022;11 681;0,000097;
май 2022;10 442;0,000087;
июнь 2022;9 451;0,000088;
июль 2022;10 062;0,000096;
август 2022;11 797;0,000109;
сентябрь 2022;11 140;0,000095;
октябрь 2022;10 452;0,000084;
ноябрь 2022;11 128;0,000088;
декабрь 2022;9 777;0,000077;
январь 2023;10 252;0,000083;
февраль 2023;9 754;0,000085;
март 2023;10 505;0,000084;
апрель 2023;8 944;0,000077;
май 2023;8 679;0,000076;
июнь 2023;9 161;0,000089;
июль 2023;9 466;0,000093;
август 2023;9 974;0,000099;
сентябрь 2023;9 684;0,000090;
октябрь 2023;11 190;0,000093;
ноябрь 2023;11 288;0,000096;
декабрь 2023;10 478;0,000087;
январь 2024;9 790;0,000081;
февраль 2024;11 085;0,000098;
март 2024;11 109;0,000096;
апрель 2024;8 820;0,000081;
май 2024;8 060;0,000075;
июнь 2024;7 032;0,000075;
июль 2024;8 762;0,000094;
август 2024;7 974;0,000085;
сентябрь 2024;7 268;0,000073;
октябрь 2024;7 842;0,000069;
ноябрь 2024;7 966;0,000068;
декабрь 2024;7 503;0,000062;
январь 2025;7 224;0,000060;
февраль 2025;7 377;0,000064;
март 2025;6 858;0,000057;
апрель 2025;6 648;0,000058;
май 2025;6 106;0,000057;
июнь 2025;6 964;0,000065;
