Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Компактные электропечи», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;119;0,000001532;
февраль 2018;125;0,000001612;
март 2018;100;0,000001189;
апрель 2018;82;0,000001082;
май 2018;106;0,000001410;
июнь 2018;52;0,000000749;
июль 2018;105;0,000001502;
август 2018;89;0,000001260;
сентябрь 2018;84;0,000001060;
октябрь 2018;91;0,000000987;
ноябрь 2018;125;0,000001470;
декабрь 2018;134;0,000001566;
январь 2019;72;0,000000817;
февраль 2019;95;0,000001132;
март 2019;100;0,000001138;
апрель 2019;63;0,000000762;
май 2019;69;0,000000872;
июнь 2019;77;0,000001062;
июль 2019;85;0,000001156;
август 2019;102;0,000001403;
сентябрь 2019;146;0,000001855;
октябрь 2019;135;0,000001525;
ноябрь 2019;160;0,000001802;
декабрь 2019;176;0,000001897;
январь 2020;218;0,000002241;
февраль 2020;139;0,000001511;
март 2020;199;0,000002025;
апрель 2020;210;0,000001757;
май 2020;263;0,000002452;
июнь 2020;238;0,000002668;
июль 2020;193;0,000002291;
август 2020;167;0,000001991;
сентябрь 2020;111;0,000001169;
октябрь 2020;184;0,000001710;
ноябрь 2020;218;0,000001901;
декабрь 2020;215;0,000001945;
январь 2021;254;0,000002433;
февраль 2021;195;0,000001950;
март 2021;155;0,000001423;
апрель 2021;192;0,000001781;
май 2021;136;0,000001318;
июнь 2021;141;0,000001421;
июль 2021;169;0,000001742;
август 2021;154;0,000001536;
сентябрь 2021;180;0,000001680;
октябрь 2021;158;0,000001389;
ноябрь 2021;222;0,000001915;
декабрь 2021;237;0,000002000;
январь 2022;209;0,000001753;
февраль 2022;159;0,000001346;
март 2022;199;0,000001561;
апрель 2022;201;0,000001681;
май 2022;205;0,000001718;
июнь 2022;201;0,000001875;
июль 2022;204;0,000001956;
август 2022;155;0,000001438;
сентябрь 2022;160;0,000001368;
октябрь 2022;214;0,000001730;
ноябрь 2022;223;0,000001767;
декабрь 2022;55;0,000000437;
январь 2023;27;0,000000219;
февраль 2023;47;0,000000411;
март 2023;38;0,000000305;
апрель 2023;25;0,000000216;
май 2023;23;0,000000203;
июнь 2023;40;0,000000390;
июль 2023;31;0,000000307;
август 2023;22;0,000000219;
сентябрь 2023;29;0,000000269;
октябрь 2023;27;0,000000226;
ноябрь 2023;24;0,000000204;
декабрь 2023;18;0,000000150;
январь 2024;55;0,000000456;
февраль 2024;38;0,000000338;
март 2024;18;0,000000156;
апрель 2024;25;0,000000230;
май 2024;16;0,000000150;
июнь 2024;15;0,000000160;
июль 2024;22;0,000000236;
август 2024;25;0,000000267;
сентябрь 2024;9;0,000000090;
октябрь 2024;16;0,000000142;
ноябрь 2024;20;0,000000172;
декабрь 2024;18;0,000000150;
январь 2025;40;0,000000337;
февраль 2025;28;0,000000245;
март 2025;14;0,000000116;
апрель 2025;18;0,000000157;
май 2025;29;0,000000271;
июнь 2025;24;0,000000227;
