Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Затирки для плитки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;28 569;0,00036;
февраль 2018;29 025;0,00037;
март 2018;33 375;0,00039;
апрель 2018;28 571;0,00037;
май 2018;31 146;0,00041;
июнь 2018;32 514;0,00046;
июль 2018;38 506;0,00055;
август 2018;40 020;0,00056;
сентябрь 2018;36 573;0,00046;
октябрь 2018;39 814;0,00043;
ноябрь 2018;36 601;0,00043;
декабрь 2018;33 331;0,00038;
январь 2019;32 855;0,00037;
февраль 2019;35 177;0,00041;
март 2019;38 713;0,00044;
апрель 2019;35 195;0,00042;
май 2019;35 272;0,00044;
июнь 2019;37 194;0,00051;
июль 2019;42 715;0,00058;
август 2019;40 988;0,00056;
сентябрь 2019;38 879;0,00049;
октябрь 2019;39 230;0,00044;
ноябрь 2019;39 559;0,00044;
декабрь 2019;40 481;0,00043;
январь 2020;41 681;0,00042;
февраль 2020;41 279;0,00044;
март 2020;41 175;0,00041;
апрель 2020;47 624;0,00039;
май 2020;46 707;0,00043;
июнь 2020;46 729;0,00052;
июль 2020;50 760;0,00060;
август 2020;53 779;0,00064;
сентябрь 2020;50 427;0,00053;
октябрь 2020;53 385;0,00049;
ноябрь 2020;55 728;0,00048;
декабрь 2020;51 672;0,00046;
январь 2021;50 233;0,00048;
февраль 2021;50 179;0,00050;
март 2021;55 973;0,00051;
апрель 2021;55 166;0,00051;
май 2021;54 905;0,00053;
июнь 2021;59 031;0,00059;
июль 2021;64 442;0,00066;
август 2021;71 416;0,00071;
сентябрь 2021;65 424;0,00061;
октябрь 2021;65 538;0,00057;
ноябрь 2021;67 901;0,00058;
декабрь 2021;61 361;0,00051;
январь 2022;60 688;0,00050;
февраль 2022;60 169;0,00050;
март 2022;68 078;0,00053;
апрель 2022;68 344;0,00057;
май 2022;66 166;0,00055;
июнь 2022;66 064;0,00061;
июль 2022;71 095;0,00068;
август 2022;77 579;0,00072;
сентябрь 2022;61 815;0,00052;
октябрь 2022;59 195;0,00047;
ноябрь 2022;58 961;0,00046;
декабрь 2022;53 132;0,00042;
январь 2023;50 375;0,00040;
февраль 2023;52 979;0,00046;
март 2023;59 310;0,00047;
апрель 2023;54 042;0,00046;
май 2023;58 502;0,00051;
июнь 2023;62 389;0,00060;
июль 2023;70 635;0,00070;
август 2023;69 534;0,00069;
сентябрь 2023;67 217;0,00062;
октябрь 2023;72 927;0,00061;
ноябрь 2023;68 233;0,00058;
декабрь 2023;57 250;0,00047;
январь 2024;56 434;0,00046;
февраль 2024;59 700;0,00053;
март 2024;60 636;0,00052;
апрель 2024;60 318;0,00055;
май 2024;64 283;0,00060;
июнь 2024;60 054;0,00064;
июль 2024;66 905;0,00071;
август 2024;67 237;0,00071;
сентябрь 2024;62 278;0,00062;
октябрь 2024;63 711;0,00056;
ноябрь 2024;61 661;0,00053;
декабрь 2024;59 654;0,00049;
январь 2025;58 067;0,00048;
февраль 2025;59 944;0,00052;
март 2025;60 983;0,00050;
апрель 2025;59 399;0,00052;
май 2025;55 392;0,00051;
июнь 2025;62 853;0,00059;
