Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плитка строительная», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;2 923;0,000037;
февраль 2018;3 072;0,000039;
март 2018;3 562;0,000042;
апрель 2018;3 517;0,000046;
май 2018;3 759;0,000050;
июнь 2018;4 040;0,000058;
июль 2018;3 637;0,000052;
август 2018;3 768;0,000053;
сентябрь 2018;3 409;0,000043;
октябрь 2018;3 670;0,000039;
ноябрь 2018;3 425;0,000040;
декабрь 2018;2 944;0,000034;
январь 2019;3 098;0,000035;
февраль 2019;3 217;0,000038;
март 2019;6 319;0,000071;
апрель 2019;3 891;0,000047;
май 2019;3 836;0,000048;
июнь 2019;3 842;0,000053;
июль 2019;3 924;0,000053;
август 2019;3 590;0,000049;
сентябрь 2019;3 347;0,000042;
октябрь 2019;3 527;0,000039;
ноябрь 2019;3 538;0,000039;
декабрь 2019;3 769;0,000040;
январь 2020;3 437;0,000035;
февраль 2020;3 602;0,000039;
март 2020;4 047;0,000041;
апрель 2020;5 491;0,000045;
май 2020;6 950;0,000064;
июнь 2020;5 681;0,000063;
июль 2020;4 928;0,000058;
август 2020;4 731;0,000056;
сентябрь 2020;4 921;0,000051;
октябрь 2020;4 704;0,000043;
ноябрь 2020;4 894;0,000042;
декабрь 2020;4 015;0,000036;
январь 2021;4 050;0,000038;
февраль 2021;3 951;0,000039;
март 2021;4 753;0,000043;
апрель 2021;5 898;0,000054;
май 2021;5 530;0,000053;
июнь 2021;5 163;0,000052;
июль 2021;4 988;0,000051;
август 2021;5 093;0,000050;
сентябрь 2021;5 125;0,000047;
октябрь 2021;4 587;0,000040;
ноябрь 2021;4 587;0,000039;
декабрь 2021;4 127;0,000034;
январь 2022;4 368;0,000036;
февраль 2022;4 356;0,000036;
март 2022;5 514;0,000043;
апрель 2022;5 632;0,000047;
май 2022;6 384;0,000053;
июнь 2022;5 574;0,000052;
июль 2022;5 336;0,000051;
август 2022;5 240;0,000048;
сентябрь 2022;4 563;0,000039;
октябрь 2022;4 492;0,000036;
ноябрь 2022;4 488;0,000035;
декабрь 2022;4 537;0,000036;
январь 2023;5 980;0,000048;
февраль 2023;3 786;0,000033;
март 2023;4 664;0,000037;
апрель 2023;4 969;0,000043;
май 2023;6 016;0,000053;
июнь 2023;4 801;0,000046;
июль 2023;4 765;0,000047;
август 2023;4 599;0,000045;
сентябрь 2023;4 155;0,000038;
октябрь 2023;4 254;0,000035;
ноябрь 2023;3 950;0,000033;
декабрь 2023;3 380;0,000028;
январь 2024;3 151;0,000026;
февраль 2024;3 501;0,000031;
март 2024;3 889;0,000033;
апрель 2024;4 486;0,000041;
май 2024;5 446;0,000051;
июнь 2024;4 308;0,000046;
июль 2024;4 147;0,000044;
август 2024;4 238;0,000045;
сентябрь 2024;3 988;0,000040;
октябрь 2024;4 117;0,000036;
ноябрь 2024;4 043;0,000034;
декабрь 2024;3 768;0,000031;
январь 2025;3 677;0,000030;
февраль 2025;4 038;0,000035;
март 2025;4 485;0,000037;
апрель 2025;4 746;0,000041;
май 2025;5 294;0,000049;
июнь 2025;4 872;0,000046;
