Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Мойки накладные эмалированные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;66;0,00000084;
февраль 2018;77;0,00000099;
март 2018;82;0,00000097;
апрель 2018;90;0,00000118;
май 2018;87;0,00000115;
июнь 2018;80;0,00000115;
июль 2018;116;0,00000165;
август 2018;89;0,00000126;
сентябрь 2018;47;0,00000059;
октябрь 2018;77;0,00000083;
ноябрь 2018;53;0,00000062;
декабрь 2018;66;0,00000077;
январь 2019;78;0,00000088;
февраль 2019;77;0,00000091;
март 2019;63;0,00000071;
апрель 2019;85;0,00000102;
май 2019;64;0,00000080;
июнь 2019;30;0,00000041;
июль 2019;55;0,00000074;
август 2019;82;0,00000112;
сентябрь 2019;38;0,00000048;
октябрь 2019;69;0,00000077;
ноябрь 2019;56;0,00000063;
декабрь 2019;70;0,00000075;
январь 2020;52;0,00000053;
февраль 2020;65;0,00000070;
март 2020;56;0,00000056;
апрель 2020;44;0,00000036;
май 2020;85;0,00000079;
июнь 2020;171;0,00000191;
июль 2020;75;0,00000089;
август 2020;92;0,00000109;
сентябрь 2020;103;0,00000108;
октябрь 2020;93;0,00000086;
ноябрь 2020;131;0,00000114;
декабрь 2020;65;0,00000058;
январь 2021;99;0,00000094;
февраль 2021;76;0,00000076;
март 2021;123;0,00000112;
апрель 2021;109;0,00000101;
май 2021;56;0,00000054;
июнь 2021;73;0,00000073;
июль 2021;116;0,00000119;
август 2021;123;0,00000122;
сентябрь 2021;71;0,00000066;
октябрь 2021;109;0,00000095;
ноябрь 2021;97;0,00000083;
декабрь 2021;115;0,00000097;
январь 2022;92;0,00000077;
февраль 2022;103;0,00000087;
март 2022;119;0,00000093;
апрель 2022;94;0,00000078;
май 2022;77;0,00000064;
июнь 2022;91;0,00000084;
июль 2022;81;0,00000077;
август 2022;82;0,00000076;
сентябрь 2022;107;0,00000091;
октябрь 2022;78;0,00000063;
ноябрь 2022;86;0,00000068;
декабрь 2022;69;0,00000054;
январь 2023;64;0,00000051;
февраль 2023;100;0,00000087;
март 2023;112;0,00000090;
апрель 2023;68;0,00000058;
май 2023;59;0,00000052;
июнь 2023;109;0,00000106;
июль 2023;69;0,00000068;
август 2023;77;0,00000076;
сентябрь 2023;64;0,00000059;
октябрь 2023;89;0,00000074;
ноябрь 2023;123;0,00000104;
декабрь 2023;85;0,00000071;
январь 2024;70;0,00000058;
февраль 2024;115;0,00000102;
март 2024;101;0,00000087;
апрель 2024;65;0,00000059;
май 2024;116;0,00000108;
июнь 2024;106;0,00000113;
июль 2024;90;0,00000096;
август 2024;81;0,00000086;
сентябрь 2024;111;0,00000111;
октябрь 2024;107;0,00000095;
ноябрь 2024;102;0,00000087;
декабрь 2024;50;0,00000041;
январь 2025;123;0,00000103;
февраль 2025;74;0,00000064;
март 2025;85;0,00000070;
апрель 2025;88;0,00000077;
май 2025;70;0,00000065;
июнь 2025;87;0,00000082;
