Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пластиковые профили», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;16 426;0,00021;
февраль 2018;16 061;0,00020;
март 2018;19 181;0,00022;
апрель 2018;19 811;0,00026;
май 2018;20 396;0,00027;
июнь 2018;20 574;0,00029;
июль 2018;22 881;0,00032;
август 2018;24 140;0,00034;
сентябрь 2018;24 497;0,00030;
октябрь 2018;26 954;0,00029;
ноябрь 2018;21 932;0,00025;
декабрь 2018;16 782;0,00019;
январь 2019;17 903;0,00020;
февраль 2019;18 433;0,00021;
март 2019;20 054;0,00022;
апрель 2019;20 616;0,00024;
май 2019;19 926;0,00025;
июнь 2019;20 077;0,00027;
июль 2019;23 323;0,00031;
август 2019;23 759;0,00032;
сентябрь 2019;24 036;0,00030;
октябрь 2019;24 139;0,00027;
ноябрь 2019;21 333;0,00024;
декабрь 2019;18 319;0,00019;
январь 2020;19 295;0,00019;
февраль 2020;19 655;0,00021;
март 2020;19 884;0,00020;
апрель 2020;19 313;0,00016;
май 2020;26 013;0,00024;
июнь 2020;27 587;0,00030;
июль 2020;28 451;0,00033;
август 2020;28 570;0,00034;
сентябрь 2020;29 158;0,00030;
октябрь 2020;28 674;0,00026;
ноябрь 2020;26 988;0,00023;
декабрь 2020;22 260;0,00020;
январь 2021;22 624;0,00021;
февраль 2021;22 968;0,00022;
март 2021;27 855;0,00025;
апрель 2021;29 297;0,00027;
май 2021;29 393;0,00028;
июнь 2021;33 616;0,00033;
июль 2021;34 807;0,00035;
август 2021;37 316;0,00037;
сентябрь 2021;35 916;0,00033;
октябрь 2021;30 996;0,00027;
ноябрь 2021;30 562;0,00026;
декабрь 2021;26 219;0,00022;
январь 2022;24 476;0,00020;
февраль 2022;24 396;0,00020;
март 2022;30 130;0,00023;
апрель 2022;29 878;0,00024;
май 2022;30 296;0,00025;
июнь 2022;30 786;0,00028;
июль 2022;31 032;0,00029;
август 2022;33 675;0,00031;
сентябрь 2022;29 690;0,00025;
октябрь 2022;28 175;0,00022;
ноябрь 2022;29 410;0,00023;
декабрь 2022;22 708;0,00018;
январь 2023;23 734;0,00019;
февраль 2023;23 379;0,00020;
март 2023;29 519;0,00023;
апрель 2023;29 026;0,00025;
май 2023;29 955;0,00026;
июнь 2023;29 582;0,00028;
июль 2023;31 547;0,00031;
август 2023;32 562;0,00032;
сентябрь 2023;31 948;0,00029;
октябрь 2023;33 693;0,00028;
ноябрь 2023;30 504;0,00025;
декабрь 2023;24 390;0,00020;
январь 2024;25 123;0,00020;
февраль 2024;24 812;0,00022;
март 2024;28 148;0,00024;
апрель 2024;31 029;0,00028;
май 2024;30 942;0,00029;
июнь 2024;29 364;0,00031;
июль 2024;32 036;0,00034;
август 2024;32 392;0,00034;
сентябрь 2024;31 595;0,00031;
октябрь 2024;33 648;0,00029;
ноябрь 2024;30 844;0,00026;
декабрь 2024;26 243;0,00021;
январь 2025;25 079;0,00021;
февраль 2025;27 407;0,00024;
март 2025;31 077;0,00025;
апрель 2025;33 136;0,00029;
май 2025;30 326;0,00028;
июнь 2025;34 451;0,00032;
