Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кувалды», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;214 518;0,0027;
февраль 2018;166 367;0,0021;
март 2018;172 012;0,0020;
апрель 2018;169 654;0,0022;
май 2018;174 882;0,0023;
июнь 2018;156 079;0,0022;
июль 2018;152 241;0,0021;
август 2018;148 262;0,0021;
сентябрь 2018;165 476;0,0020;
октябрь 2018;197 956;0,0021;
ноябрь 2018;166 784;0,0019;
декабрь 2018;160 989;0,0018;
январь 2019;161 562;0,0018;
февраль 2019;157 501;0,0018;
март 2019;159 627;0,0018;
апрель 2019;169 068;0,0020;
май 2019;164 372;0,0020;
июнь 2019;151 082;0,0020;
июль 2019;147 138;0,0020;
август 2019;142 699;0,0019;
сентябрь 2019;139 450;0,0017;
октябрь 2019;154 966;0,0017;
ноябрь 2019;159 171;0,0017;
декабрь 2019;149 708;0,0016;
январь 2020;154 473;0,0015;
февраль 2020;159 532;0,0017;
март 2020;167 805;0,0017;
апрель 2020;177 644;0,0014;
май 2020;225 754;0,0021;
июнь 2020;205 338;0,0023;
июль 2020;180 417;0,0021;
август 2020;177 954;0,0021;
сентябрь 2020;178 012;0,0018;
октябрь 2020;194 370;0,0018;
ноябрь 2020;197 148;0,0017;
декабрь 2020;179 302;0,0016;
январь 2021;174 674;0,0016;
февраль 2021;178 511;0,0017;
март 2021;188 138;0,0017;
апрель 2021;198 143;0,0018;
май 2021;206 933;0,0020;
июнь 2021;202 783;0,0020;
июль 2021;194 241;0,0020;
август 2021;204 366;0,0020;
сентябрь 2021;218 837;0,0020;
октябрь 2021;219 538;0,0019;
ноябрь 2021;221 887;0,0019;
декабрь 2021;211 777;0,0017;
январь 2022;218 491;0,0018;
февраль 2022;227 497;0,0019;
март 2022;483 760;0,0037;
апрель 2022;263 945;0,0022;
май 2022;252 546;0,0021;
июнь 2022;232 705;0,0021;
июль 2022;207 711;0,0019;
август 2022;203 776;0,0018;
сентябрь 2022;205 563;0,0017;
октябрь 2022;210 298;0,0017;
ноябрь 2022;811 285;0,0064;
декабрь 2022;317 774;0,0025;
январь 2023;330 973;0,0026;
февраль 2023;382 635;0,0033;
март 2023;263 307;0,0021;
апрель 2023;237 200;0,0020;
май 2023;236 986;0,0020;
июнь 2023;223 470;0,0021;
июль 2023;199 749;0,0019;
август 2023;186 245;0,0018;
сентябрь 2023;166 075;0,0015;
октябрь 2023;172 764;0,0014;
ноябрь 2023;159 553;0,0013;
декабрь 2023;147 613;0,0012;
январь 2024;155 080;0,0012;
февраль 2024;157 556;0,0014;
март 2024;177 181;0,0015;
апрель 2024;182 355;0,0016;
май 2024;176 296;0,0016;
июнь 2024;150 784;0,0016;
июль 2024;148 449;0,0015;
август 2024;139 973;0,0014;
сентябрь 2024;130 889;0,0013;
октябрь 2024;156 207;0,0013;
ноябрь 2024;144 602;0,0012;
декабрь 2024;163 579;0,0013;
январь 2025;144 676;0,0012;
февраль 2025;148 622;0,0013;
март 2025;151 869;0,0012;
апрель 2025;152 809;0,0013;
май 2025;166 658;0,0015;
июнь 2025;187 684;0,0017;
