Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Бетономешалки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;92 720;0,00119;
февраль 2018;100 851;0,00130;
март 2018;137 058;0,00163;
апрель 2018;169 136;0,00223;
май 2018;216 386;0,00287;
июнь 2018;211 640;0,00305;
июль 2018;207 388;0,00296;
август 2018;198 542;0,00281;
сентябрь 2018;174 314;0,00219;
октябрь 2018;159 643;0,00173;
ноябрь 2018;104 259;0,00122;
декабрь 2018;85 815;0,00100;
январь 2019;97 919;0,00111;
февраль 2019;109 644;0,00130;
март 2019;147 850;0,00168;
апрель 2019;189 700;0,00229;
май 2019;220 877;0,00279;
июнь 2019;208 569;0,00287;
июль 2019;210 401;0,00286;
август 2019;190 668;0,00262;
сентябрь 2019;159 518;0,00202;
октябрь 2019;133 724;0,00151;
ноябрь 2019;100 029;0,00112;
декабрь 2019;108 541;0,00117;
январь 2020;117 689;0,00121;
февраль 2020;128 836;0,00140;
март 2020;173 371;0,00176;
апрель 2020;232 411;0,00194;
май 2020;340 383;0,00317;
июнь 2020;319 509;0,00358;
июль 2020;290 234;0,00344;
август 2020;260 699;0,00310;
сентябрь 2020;218 512;0,00230;
октябрь 2020;190 801;0,00177;
ноябрь 2020;144 775;0,00126;
декабрь 2020;115 272;0,00104;
январь 2021;117 793;0,00112;
февраль 2021;128 482;0,00128;
март 2021;179 238;0,00164;
апрель 2021;257 683;0,00239;
май 2021;299 378;0,00290;
июнь 2021;311 937;0,00314;
июль 2021;304 515;0,00313;
август 2021;300 218;0,00299;
сентябрь 2021;252 471;0,00235;
октябрь 2021;223 771;0,00196;
ноябрь 2021;154 646;0,00133;
декабрь 2021;127 035;0,00107;
январь 2022;135 294;0,00113;
февраль 2022;153 025;0,00129;
март 2022;205 025;0,00160;
апрель 2022;265 020;0,00221;
май 2022;343 615;0,00287;
июнь 2022;331 768;0,00309;
июль 2022;319 864;0,00306;
август 2022;299 978;0,00278;
сентябрь 2022;214 284;0,00183;
октябрь 2022;173 416;0,00140;
ноябрь 2022;146 979;0,00116;
декабрь 2022;115 833;0,00092;
январь 2023;134 312;0,00108;
февраль 2023;143 094;0,00125;
март 2023;213 140;0,00171;
апрель 2023;282 774;0,00244;
май 2023;328 823;0,00290;
июнь 2023;317 273;0,00309;
июль 2023;303 592;0,00300;
август 2023;285 048;0,00283;
сентябрь 2023;246 337;0,00229;
октябрь 2023;198 665;0,00166;
ноябрь 2023;138 018;0,00117;
декабрь 2023;101 542;0,00085;
январь 2024;117 503;0,00097;
февраль 2024;136 655;0,00121;
март 2024;178 617;0,00154;
апрель 2024;252 921;0,00233;
май 2024;294 590;0,00276;
июнь 2024;275 300;0,00294;
июль 2024;270 730;0,00290;
август 2024;253 066;0,00270;
сентябрь 2024;219 282;0,00220;
октябрь 2024;175 922;0,00156;
ноябрь 2024;121 487;0,00104;
декабрь 2024;102 878;0,00085;
январь 2025;126 826;0,00106;
февраль 2025;125 351;0,00109;
март 2025;182 392;0,00152;
апрель 2025;231 147;0,00202;
май 2025;264 283;0,00247;
июнь 2025;278 582;0,00263;
