Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Электрические накопительные водонагреватели», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;28 230;0,00036;
февраль 2018;26 908;0,00034;
март 2018;30 626;0,00036;
апрель 2018;34 915;0,00046;
май 2018;51 167;0,00068;
июнь 2018;44 489;0,00064;
июль 2018;37 788;0,00054;
август 2018;29 097;0,00041;
сентябрь 2018;24 729;0,00031;
октябрь 2018;26 876;0,00029;
ноябрь 2018;22 043;0,00025;
декабрь 2018;18 940;0,00022;
январь 2019;20 890;0,00023;
февраль 2019;22 775;0,00027;
март 2019;26 216;0,00029;
апрель 2019;31 174;0,00037;
май 2019;45 221;0,00057;
июнь 2019;38 152;0,00052;
июль 2019;33 325;0,00045;
август 2019;26 596;0,00036;
сентябрь 2019;26 697;0,00033;
октябрь 2019;27 102;0,00030;
ноябрь 2019;24 093;0,00027;
декабрь 2019;30 390;0,00032;
январь 2020;35 932;0,00036;
февраль 2020;30 206;0,00032;
март 2020;35 927;0,00036;
апрель 2020;31 796;0,00026;
май 2020;54 732;0,00051;
июнь 2020;47 379;0,00053;
июль 2020;44 152;0,00052;
август 2020;35 192;0,00041;
сентябрь 2020;30 434;0,00032;
октябрь 2020;31 461;0,00029;
ноябрь 2020;33 216;0,00028;
декабрь 2020;32 592;0,00029;
январь 2021;34 111;0,00032;
февраль 2021;32 983;0,00032;
март 2021;38 472;0,00035;
апрель 2021;44 875;0,00041;
май 2021;59 484;0,00057;
июнь 2021;56 650;0,00057;
июль 2021;44 049;0,00045;
август 2021;42 906;0,00042;
сентябрь 2021;39 789;0,00037;
октябрь 2021;33 369;0,00029;
ноябрь 2021;33 553;0,00028;
декабрь 2021;31 050;0,00026;
январь 2022;34 903;0,00029;
февраль 2022;36 565;0,00030;
март 2022;69 350;0,00054;
апрель 2022;47 492;0,00039;
май 2022;69 266;0,00058;
июнь 2022;57 883;0,00054;
июль 2022;45 394;0,00043;
август 2022;36 303;0,00033;
сентябрь 2022;31 076;0,00026;
октябрь 2022;27 190;0,00021;
ноябрь 2022;27 677;0,00021;
декабрь 2022;27 572;0,00021;
январь 2023;33 710;0,00027;
февраль 2023;28 559;0,00025;
март 2023;28 232;0,00022;
апрель 2023;31 352;0,00027;
май 2023;47 388;0,00041;
июнь 2023;47 018;0,00045;
июль 2023;38 307;0,00037;
август 2023;29 660;0,00029;
сентябрь 2023;25 523;0,00023;
октябрь 2023;32 309;0,00027;
ноябрь 2023;23 923;0,00020;
декабрь 2023;20 329;0,00017;
январь 2024;21 907;0,00018;
февраль 2024;22 194;0,00019;
март 2024;21 748;0,00018;
апрель 2024;25 606;0,00023;
май 2024;38 523;0,00036;
июнь 2024;34 264;0,00036;
июль 2024;31 334;0,00033;
август 2024;25 379;0,00027;
сентябрь 2024;20 150;0,00020;
октябрь 2024;22 166;0,00019;
ноябрь 2024;23 352;0,00020;
декабрь 2024;20 890;0,00017;
январь 2025;21 039;0,00017;
февраль 2025;20 956;0,00018;
март 2025;22 111;0,00018;
апрель 2025;25 468;0,00022;
май 2025;37 285;0,00034;
июнь 2025;37 258;0,00035;
