Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Аксессуары для компрессоров», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;284;0,0000036;
февраль 2018;306;0,0000039;
март 2018;341;0,0000040;
апрель 2018;346;0,0000045;
май 2018;351;0,0000046;
июнь 2018;350;0,0000050;
июль 2018;338;0,0000048;
август 2018;371;0,0000052;
сентябрь 2018;365;0,0000046;
октябрь 2018;516;0,0000055;
ноябрь 2018;337;0,0000039;
декабрь 2018;279;0,0000032;
январь 2019;318;0,0000036;
февраль 2019;346;0,0000041;
март 2019;383;0,0000043;
апрель 2019;433;0,0000052;
май 2019;375;0,0000047;
июнь 2019;334;0,0000046;
июль 2019;336;0,0000045;
август 2019;326;0,0000044;
сентябрь 2019;298;0,0000037;
октябрь 2019;362;0,0000040;
ноябрь 2019;363;0,0000040;
декабрь 2019;319;0,0000034;
январь 2020;374;0,0000038;
февраль 2020;419;0,0000045;
март 2020;411;0,0000041;
апрель 2020;506;0,0000042;
май 2020;540;0,0000050;
июнь 2020;492;0,0000055;
июль 2020;460;0,0000054;
август 2020;475;0,0000056;
сентябрь 2020;423;0,0000044;
октябрь 2020;469;0,0000043;
ноябрь 2020;537;0,0000046;
декабрь 2020;351;0,0000031;
январь 2021;425;0,0000040;
февраль 2021;470;0,0000047;
март 2021;552;0,0000050;
апрель 2021;499;0,0000046;
май 2021;431;0,0000041;
июнь 2021;401;0,0000040;
июль 2021;450;0,0000046;
август 2021;433;0,0000043;
сентябрь 2021;406;0,0000037;
октябрь 2021;483;0,0000042;
ноябрь 2021;643;0,0000055;
декабрь 2021;406;0,0000034;
январь 2022;387;0,0000032;
февраль 2022;440;0,0000037;
март 2022;627;0,0000049;
апрель 2022;468;0,0000039;
май 2022;568;0,0000047;
июнь 2022;478;0,0000044;
июль 2022;446;0,0000042;
август 2022;441;0,0000040;
сентябрь 2022;448;0,0000038;
октябрь 2022;409;0,0000033;
ноябрь 2022;567;0,0000044;
декабрь 2022;375;0,0000029;
январь 2023;382;0,0000030;
февраль 2023;365;0,0000031;
март 2023;403;0,0000032;
апрель 2023;410;0,0000035;
май 2023;402;0,0000035;
июнь 2023;341;0,0000033;
июль 2023;426;0,0000042;
август 2023;475;0,0000047;
сентябрь 2023;340;0,0000031;
октябрь 2023;385;0,0000032;
ноябрь 2023;379;0,0000032;
декабрь 2023;259;0,0000021;
январь 2024;313;0,0000025;
февраль 2024;387;0,0000034;
март 2024;379;0,0000032;
апрель 2024;359;0,0000033;
май 2024;358;0,0000033;
июнь 2024;300;0,0000032;
июль 2024;333;0,0000035;
август 2024;414;0,0000044;
сентябрь 2024;291;0,0000029;
октябрь 2024;394;0,0000035;
ноябрь 2024;394;0,0000033;
декабрь 2024;319;0,0000026;
январь 2025;333;0,0000028;
февраль 2025;282;0,0000024;
март 2025;319;0,0000026;
апрель 2025;316;0,0000027;
май 2025;288;0,0000026;
июнь 2025;318;0,0000030;
