Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Кухонные столы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;216 731;0,0027;
февраль 2018;200 099;0,0025;
март 2018;213 913;0,0025;
апрель 2018;171 357;0,0022;
май 2018;160 450;0,0021;
июнь 2018;167 890;0,0024;
июль 2018;184 014;0,0026;
август 2018;210 101;0,0029;
сентябрь 2018;202 575;0,0025;
октябрь 2018;243 491;0,0026;
ноябрь 2018;237 022;0,0027;
декабрь 2018;242 593;0,0028;
январь 2019;243 566;0,0027;
февраль 2019;222 344;0,0026;
март 2019;216 399;0,0024;
апрель 2019;182 601;0,0022;
май 2019;166 839;0,0021;
июнь 2019;165 863;0,0022;
июль 2019;204 978;0,0027;
август 2019;212 190;0,0029;
сентябрь 2019;220 848;0,0028;
октябрь 2019;273 085;0,0030;
ноябрь 2019;282 759;0,0031;
декабрь 2019;306 861;0,0033;
январь 2020;305 095;0,0031;
февраль 2020;262 907;0,0028;
март 2020;239 932;0,0024;
апрель 2020;217 247;0,0018;
май 2020;274 745;0,0025;
июнь 2020;269 875;0,0030;
июль 2020;285 507;0,0033;
август 2020;293 510;0,0034;
сентябрь 2020;293 454;0,0030;
октябрь 2020;362 351;0,0033;
ноябрь 2020;415 789;0,0036;
декабрь 2020;416 221;0,0037;
январь 2021;372 516;0,0035;
февраль 2021;324 578;0,0032;
март 2021;343 069;0,0031;
апрель 2021;303 336;0,0028;
май 2021;290 200;0,0028;
июнь 2021;277 483;0,0027;
июль 2021;321 546;0,0033;
август 2021;385 629;0,0038;
сентябрь 2021;382 232;0,0035;
октябрь 2021;381 899;0,0033;
ноябрь 2021;421 807;0,0036;
декабрь 2021;446 059;0,0037;
январь 2022;403 343;0,0033;
февраль 2022;358 409;0,0030;
март 2022;399 541;0,0031;
апрель 2022;333 733;0,0027;
май 2022;298 350;0,0025;
июнь 2022;269 636;0,0025;
июль 2022;289 225;0,0027;
август 2022;318 558;0,0029;
сентябрь 2022;285 130;0,0024;
октябрь 2022;310 032;0,0025;
ноябрь 2022;339 274;0,0026;
декабрь 2022;325 247;0,0025;
январь 2023;316 154;0,0025;
февраль 2023;275 540;0,0024;
март 2023;298 455;0,0023;
апрель 2023;241 608;0,0020;
май 2023;224 182;0,0019;
июнь 2023;223 672;0,0021;
июль 2023;249 016;0,0024;
август 2023;264 556;0,0026;
сентябрь 2023;256 025;0,0023;
октябрь 2023;322 585;0,0027;
ноябрь 2023;326 490;0,0027;
декабрь 2023;306 600;0,0025;
январь 2024;301 518;0,0025;
февраль 2024;269 419;0,0023;
март 2024;254 894;0,0022;
апрель 2024;221 220;0,0020;
май 2024;208 027;0,0019;
июнь 2024;190 587;0,0020;
июль 2024;208 075;0,0022;
август 2024;219 468;0,0023;
сентябрь 2024;206 482;0,0020;
октябрь 2024;246 231;0,0021;
ноябрь 2024;281 376;0,0024;
декабрь 2024;283 864;0,0023;
январь 2025;269 880;0,0022;
февраль 2025;226 032;0,0019;
март 2025;217 638;0,0018;
апрель 2025;195 467;0,0017;
май 2025;177 321;0,0016;
июнь 2025;198 379;0,0018;
