Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Профили для плитки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;6 150;0,000079;
февраль 2018;6 500;0,000083;
март 2018;7 559;0,000089;
апрель 2018;6 499;0,000085;
май 2018;6 391;0,000085;
июнь 2018;6 616;0,000095;
июль 2018;7 558;0,000108;
август 2018;8 072;0,000114;
сентябрь 2018;7 550;0,000095;
октябрь 2018;8 969;0,000097;
ноябрь 2018;8 187;0,000096;
декабрь 2018;7 395;0,000086;
январь 2019;8 263;0,000093;
февраль 2019;9 263;0,000110;
март 2019;10 188;0,000116;
апрель 2019;9 178;0,000111;
май 2019;8 978;0,000113;
июнь 2019;8 550;0,000117;
июль 2019;9 896;0,000134;
август 2019;9 971;0,000137;
сентябрь 2019;9 405;0,000119;
октябрь 2019;10 570;0,000119;
ноябрь 2019;10 725;0,000120;
декабрь 2019;10 553;0,000113;
январь 2020;10 656;0,000109;
февраль 2020;11 481;0,000124;
март 2020;10 628;0,000108;
апрель 2020;13 499;0,000113;
май 2020;12 950;0,000120;
июнь 2020;11 327;0,000127;
июль 2020;12 121;0,000143;
август 2020;11 831;0,000141;
сентябрь 2020;11 618;0,000122;
октябрь 2020;12 605;0,000117;
ноябрь 2020;14 278;0,000124;
декабрь 2020;13 726;0,000124;
январь 2021;13 170;0,000126;
февраль 2021;13 715;0,000137;
март 2021;14 848;0,000136;
апрель 2021;14 623;0,000135;
май 2021;12 786;0,000123;
июнь 2021;12 931;0,000130;
июль 2021;13 861;0,000142;
август 2021;16 853;0,000168;
сентябрь 2021;15 789;0,000147;
октябрь 2021;16 503;0,000145;
ноябрь 2021;18 498;0,000159;
декабрь 2021;16 423;0,000138;
январь 2022;15 605;0,000130;
февраль 2022;15 206;0,000128;
март 2022;15 329;0,000120;
апрель 2022;15 102;0,000126;
май 2022;14 028;0,000117;
июнь 2022;13 547;0,000126;
июль 2022;13 761;0,000131;
август 2022;14 981;0,000139;
сентябрь 2022;12 724;0,000108;
октябрь 2022;13 360;0,000108;
ноябрь 2022;14 941;0,000118;
декабрь 2022;13 517;0,000107;
январь 2023;13 541;0,000109;
февраль 2023;14 351;0,000125;
март 2023;15 844;0,000127;
апрель 2023;13 251;0,000114;
май 2023;13 104;0,000115;
июнь 2023;13 438;0,000131;
июль 2023;14 873;0,000147;
август 2023;14 341;0,000142;
сентябрь 2023;12 926;0,000120;
октябрь 2023;15 962;0,000133;
ноябрь 2023;16 651;0,000141;
декабрь 2023;15 350;0,000128;
январь 2024;16 073;0,000133;
февраль 2024;15 899;0,000141;
март 2024;16 553;0,000143;
апрель 2024;15 709;0,000144;
май 2024;14 557;0,000136;
июнь 2024;12 922;0,000138;
июль 2024;15 422;0,000165;
август 2024;14 269;0,000152;
сентябрь 2024;14 050;0,000141;
октябрь 2024;15 193;0,000135;
ноябрь 2024;15 575;0,000133;
декабрь 2024;16 848;0,000140;
январь 2025;17 765;0,000149;
февраль 2025;23 979;0,000210;
март 2025;21 989;0,000183;
апрель 2025;18 326;0,000160;
май 2025;16 222;0,000151;
июнь 2025;18 962;0,000179;
