Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Контроль параметров окружающей среды», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;68;0,00000087;
февраль 2018;63;0,00000081;
март 2018;69;0,00000082;
апрель 2018;57;0,00000075;
май 2018;117;0,00000155;
июнь 2018;72;0,00000103;
июль 2018;49;0,00000070;
август 2018;45;0,00000063;
сентябрь 2018;92;0,00000116;
октябрь 2018;92;0,00000099;
ноябрь 2018;81;0,00000095;
декабрь 2018;127;0,00000148;
январь 2019;82;0,00000093;
февраль 2019;52;0,00000062;
март 2019;88;0,00000100;
апрель 2019;128;0,00000154;
май 2019;104;0,00000131;
июнь 2019;73;0,00000100;
июль 2019;74;0,00000100;
август 2019;41;0,00000056;
сентябрь 2019;68;0,00000086;
октябрь 2019;90;0,00000101;
ноябрь 2019;106;0,00000119;
декабрь 2019;90;0,00000097;
январь 2020;68;0,00000069;
февраль 2020;98;0,00000106;
март 2020;85;0,00000086;
апрель 2020;153;0,00000128;
май 2020;169;0,00000157;
июнь 2020;152;0,00000170;
июль 2020;78;0,00000092;
август 2020;52;0,00000062;
сентябрь 2020;74;0,00000077;
октябрь 2020;117;0,00000108;
ноябрь 2020;132;0,00000115;
декабрь 2020;130;0,00000117;
январь 2021;105;0,00000100;
февраль 2021;131;0,00000131;
март 2021;107;0,00000098;
апрель 2021;143;0,00000132;
май 2021;167;0,00000161;
июнь 2021;185;0,00000186;
июль 2021;119;0,00000122;
август 2021;61;0,00000060;
сентябрь 2021;110;0,00000102;
октябрь 2021;106;0,00000093;
ноябрь 2021;101;0,00000087;
декабрь 2021;181;0,00000152;
январь 2022;109;0,00000091;
февраль 2022;116;0,00000098;
март 2022;103;0,00000080;
апрель 2022;117;0,00000097;
май 2022;148;0,00000124;
июнь 2022;155;0,00000144;
июль 2022;86;0,00000082;
август 2022;104;0,00000096;
сентябрь 2022;82;0,00000070;
октябрь 2022;168;0,00000135;
ноябрь 2022;168;0,00000133;
декабрь 2022;173;0,00000137;
январь 2023;148;0,00000120;
февраль 2023;136;0,00000119;
март 2023;117;0,00000094;
апрель 2023;172;0,00000149;
май 2023;181;0,00000160;
июнь 2023;126;0,00000122;
июль 2023;95;0,00000094;
август 2023;91;0,00000090;
сентябрь 2023;97;0,00000090;
октябрь 2023;166;0,00000139;
ноябрь 2023;123;0,00000104;
декабрь 2023;183;0,00000153;
январь 2024;131;0,00000108;
февраль 2024;169;0,00000150;
март 2024;219;0,00000189;
апрель 2024;224;0,00000206;
май 2024;173;0,00000162;
июнь 2024;112;0,00000119;
июль 2024;112;0,00000120;
август 2024;79;0,00000084;
сентябрь 2024;111;0,00000111;
октябрь 2024;200;0,00000178;
ноябрь 2024;206;0,00000177;
декабрь 2024;307;0,00000255;
январь 2025;175;0,00000147;
февраль 2025;186;0,00000162;
март 2025;246;0,00000205;
апрель 2025;284;0,00000249;
май 2025;243;0,00000227;
июнь 2025;194;0,00000183;
