Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Стеклоблоки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;21 838;0,00028;
февраль 2018;22 830;0,00029;
март 2018;32 798;0,00039;
апрель 2018;24 152;0,00031;
май 2018;25 084;0,00033;
июнь 2018;22 952;0,00033;
июль 2018;25 315;0,00036;
август 2018;25 672;0,00036;
сентябрь 2018;26 882;0,00033;
октябрь 2018;30 049;0,00032;
ноябрь 2018;24 449;0,00028;
декабрь 2018;17 881;0,00020;
январь 2019;22 591;0,00025;
февраль 2019;22 407;0,00026;
март 2019;29 077;0,00033;
апрель 2019;22 865;0,00027;
май 2019;22 899;0,00028;
июнь 2019;22 695;0,00031;
июль 2019;25 545;0,00034;
август 2019;23 383;0,00032;
сентябрь 2019;22 536;0,00028;
октябрь 2019;24 943;0,00028;
ноябрь 2019;22 715;0,00025;
декабрь 2019;21 319;0,00022;
январь 2020;25 654;0,00026;
февраль 2020;24 196;0,00026;
март 2020;22 526;0,00022;
апрель 2020;24 107;0,00020;
май 2020;27 936;0,00026;
июнь 2020;27 064;0,00030;
июль 2020;27 102;0,00032;
август 2020;25 583;0,00030;
сентябрь 2020;25 179;0,00026;
октябрь 2020;26 860;0,00024;
ноябрь 2020;27 244;0,00023;
декабрь 2020;21 517;0,00019;
январь 2021;23 582;0,00022;
февраль 2021;24 241;0,00024;
март 2021;26 223;0,00024;
апрель 2021;27 610;0,00025;
май 2021;25 636;0,00024;
июнь 2021;25 711;0,00025;
июль 2021;25 957;0,00026;
август 2021;28 665;0,00028;
сентябрь 2021;26 710;0,00024;
октябрь 2021;28 204;0,00024;
ноябрь 2021;28 231;0,00024;
декабрь 2021;24 535;0,00020;
январь 2022;27 147;0,00022;
февраль 2022;25 921;0,00021;
март 2022;27 920;0,00021;
апрель 2022;28 031;0,00023;
май 2022;29 127;0,00024;
июнь 2022;29 122;0,00027;
июль 2022;27 714;0,00026;
август 2022;28 463;0,00026;
сентябрь 2022;24 973;0,00021;
октябрь 2022;25 633;0,00020;
ноябрь 2022;28 531;0,00022;
декабрь 2022;23 309;0,00018;
январь 2023;27 212;0,00022;
февраль 2023;28 354;0,00024;
март 2023;33 346;0,00026;
апрель 2023;28 754;0,00024;
май 2023;28 198;0,00024;
июнь 2023;27 901;0,00027;
июль 2023;29 690;0,00029;
август 2023;27 165;0,00027;
сентябрь 2023;27 210;0,00025;
октябрь 2023;29 957;0,00025;
ноябрь 2023;29 756;0,00025;
декабрь 2023;24 618;0,00020;
январь 2024;30 053;0,00024;
февраль 2024;30 086;0,00026;
март 2024;31 327;0,00027;
апрель 2024;30 267;0,00027;
май 2024;30 075;0,00028;
июнь 2024;28 670;0,00030;
июль 2024;31 198;0,00033;
август 2024;28 897;0,00030;
сентябрь 2024;31 943;0,00032;
октябрь 2024;35 282;0,00031;
ноябрь 2024;34 396;0,00029;
декабрь 2024;30 415;0,00025;
январь 2025;36 543;0,00030;
февраль 2025;45 056;0,00039;
март 2025;42 799;0,00035;
апрель 2025;38 820;0,00034;
май 2025;37 044;0,00034;
июнь 2025;40 110;0,00037;
