Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Петли мебельные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;29 817;0,00038;
февраль 2018;29 642;0,00038;
март 2018;31 203;0,00037;
апрель 2018;26 056;0,00034;
май 2018;23 821;0,00031;
июнь 2018;23 274;0,00033;
июль 2018;23 905;0,00034;
август 2018;26 160;0,00037;
сентябрь 2018;27 940;0,00035;
октябрь 2018;33 481;0,00036;
ноябрь 2018;32 408;0,00038;
декабрь 2018;31 859;0,00037;
январь 2019;32 847;0,00037;
февраль 2019;33 855;0,00040;
март 2019;36 253;0,00041;
апрель 2019;29 285;0,00035;
май 2019;25 680;0,00032;
июнь 2019;23 327;0,00032;
июль 2019;27 633;0,00037;
август 2019;29 143;0,00040;
сентябрь 2019;29 458;0,00037;
октябрь 2019;33 842;0,00038;
ноябрь 2019;36 470;0,00041;
декабрь 2019;38 405;0,00041;
январь 2020;42 722;0,00043;
февраль 2020;42 108;0,00045;
март 2020;38 297;0,00038;
апрель 2020;35 428;0,00029;
май 2020;37 952;0,00035;
июнь 2020;36 747;0,00041;
июль 2020;37 030;0,00043;
август 2020;38 791;0,00046;
сентябрь 2020;40 508;0,00042;
октябрь 2020;46 935;0,00043;
ноябрь 2020;52 667;0,00045;
декабрь 2020;51 709;0,00046;
январь 2021;51 261;0,00049;
февраль 2021;48 524;0,00048;
март 2021;54 870;0,00050;
апрель 2021;48 498;0,00044;
май 2021;42 952;0,00041;
июнь 2021;40 736;0,00041;
июль 2021;40 967;0,00042;
август 2021;48 625;0,00048;
сентябрь 2021;53 141;0,00049;
октябрь 2021;54 660;0,00048;
ноябрь 2021;62 094;0,00053;
декабрь 2021;61 578;0,00051;
январь 2022;65 092;0,00054;
февраль 2022;57 653;0,00048;
март 2022;68 006;0,00053;
апрель 2022;63 016;0,00052;
май 2022;55 896;0,00046;
июнь 2022;50 356;0,00046;
июль 2022;52 516;0,00050;
август 2022;55 650;0,00051;
сентябрь 2022;54 009;0,00046;
октябрь 2022;57 919;0,00046;
ноябрь 2022;66 227;0,00052;
декабрь 2022;64 344;0,00051;
январь 2023;65 389;0,00053;
февраль 2023;63 079;0,00055;
март 2023;70 214;0,00056;
апрель 2023;56 269;0,00048;
май 2023;52 364;0,00046;
июнь 2023;50 548;0,00049;
июль 2023;54 127;0,00053;
август 2023;55 716;0,00055;
сентябрь 2023;56 403;0,00052;
октябрь 2023;66 284;0,00055;
ноябрь 2023;71 167;0,00060;
декабрь 2023;66 229;0,00055;
январь 2024;69 951;0,00058;
февраль 2024;72 382;0,00064;
март 2024;72 738;0,00063;
апрель 2024;62 336;0,00057;
май 2024;60 680;0,00056;
июнь 2024;49 685;0,00053;
июль 2024;51 547;0,00055;
август 2024;55 205;0,00059;
сентябрь 2024;54 868;0,00055;
октябрь 2024;65 751;0,00058;
ноябрь 2024;74 439;0,00064;
декабрь 2024;77 578;0,00064;
январь 2025;81 218;0,00068;
февраль 2025;77 644;0,00068;
март 2025;77 372;0,00064;
апрель 2025;65 650;0,00057;
май 2025;58 666;0,00054;
июнь 2025;61 490;0,00058;
