Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Центры управления умным домом», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;82;0,00000105;
февраль 2018;88;0,00000113;
март 2018;116;0,00000137;
апрель 2018;71;0,00000093;
май 2018;71;0,00000094;
июнь 2018;84;0,00000121;
июль 2018;53;0,00000075;
август 2018;106;0,00000150;
сентябрь 2018;136;0,00000171;
октябрь 2018;143;0,00000155;
ноябрь 2018;86;0,00000101;
декабрь 2018;122;0,00000142;
январь 2019;105;0,00000119;
февраль 2019;114;0,00000135;
март 2019;122;0,00000138;
апрель 2019;93;0,00000112;
май 2019;99;0,00000125;
июнь 2019;91;0,00000125;
июль 2019;113;0,00000153;
август 2019;88;0,00000121;
сентябрь 2019;99;0,00000125;
октябрь 2019;177;0,00000200;
ноябрь 2019;186;0,00000209;
декабрь 2019;158;0,00000170;
январь 2020;173;0,00000177;
февраль 2020;159;0,00000172;
март 2020;168;0,00000170;
апрель 2020;227;0,00000190;
май 2020;179;0,00000166;
июнь 2020;123;0,00000137;
июль 2020;108;0,00000128;
август 2020;146;0,00000174;
сентябрь 2020;210;0,00000221;
октябрь 2020;314;0,00000291;
ноябрь 2020;332;0,00000289;
декабрь 2020;433;0,00000391;
январь 2021;437;0,00000418;
февраль 2021;456;0,00000456;
март 2021;476;0,00000437;
апрель 2021;296;0,00000274;
май 2021;349;0,00000338;
июнь 2021;494;0,00000497;
июль 2021;356;0,00000366;
август 2021;457;0,00000455;
сентябрь 2021;608;0,00000567;
октябрь 2021;741;0,00000651;
ноябрь 2021;838;0,00000723;
декабрь 2021;958;0,00000808;
январь 2022;858;0,00000719;
февраль 2022;651;0,00000551;
март 2022;507;0,00000397;
апрель 2022;557;0,00000466;
май 2022;623;0,00000522;
июнь 2022;496;0,00000462;
июль 2022;580;0,00000556;
август 2022;584;0,00000542;
сентябрь 2022;687;0,00000587;
октябрь 2022;754;0,00000609;
ноябрь 2022;871;0,00000690;
декабрь 2022;1 096;0,00000871;
январь 2023;1 245;0,00001010;
февраль 2023;1 014;0,00000888;
март 2023;926;0,00000744;
апрель 2023;847;0,00000733;
май 2023;703;0,00000621;
июнь 2023;834;0,00000813;
июль 2023;883;0,00000875;
август 2023;1 073;0,00001068;
сентябрь 2023;1 192;0,00001108;
октябрь 2023;1 650;0,00001383;
ноябрь 2023;1 958;0,00001668;
декабрь 2023;1 836;0,00001538;
январь 2024;1 840;0,00001526;
февраль 2024;1 465;0,00001304;
март 2024;1 195;0,00001036;
апрель 2024;1 040;0,00000958;
май 2024;1 220;0,00001145;
июнь 2024;803;0,00000859;
июль 2024;837;0,00000899;
август 2024;665;0,00000711;
сентябрь 2024;819;0,00000824;
октябрь 2024;1 094;0,00000974;
ноябрь 2024;1 168;0,00001004;
декабрь 2024;1 511;0,00001259;
январь 2025;1 422;0,00001198;
февраль 2025;1 145;0,00001003;
март 2025;1 182;0,00000986;
апрель 2025;1 142;0,00001002;
май 2025;930;0,00000871;
июнь 2025;759;0,00000718;
