Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Краски для наружных работ», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;12 204;0,00015;
февраль 2018;13 690;0,00017;
март 2018;21 383;0,00025;
апрель 2018;43 859;0,00057;
май 2018;64 460;0,00085;
июнь 2018;63 198;0,00091;
июль 2018;63 572;0,00090;
август 2018;64 523;0,00091;
сентябрь 2018;44 343;0,00055;
октябрь 2018;31 467;0,00034;
ноябрь 2018;17 683;0,00020;
декабрь 2018;11 757;0,00013;
январь 2019;11 722;0,00013;
февраль 2019;15 348;0,00018;
март 2019;27 333;0,00031;
апрель 2019;58 190;0,00070;
май 2019;62 406;0,00078;
июнь 2019;60 833;0,00083;
июль 2019;58 626;0,00079;
август 2019;51 838;0,00071;
сентябрь 2019;40 991;0,00052;
октябрь 2019;27 371;0,00030;
ноябрь 2019;18 566;0,00020;
декабрь 2019;16 598;0,00017;
январь 2020;20 350;0,00020;
февраль 2020;21 926;0,00023;
март 2020;39 000;0,00039;
апрель 2020;61 901;0,00051;
май 2020;97 237;0,00090;
июнь 2020;94 817;0,00106;
июль 2020;87 266;0,00103;
август 2020;74 960;0,00089;
сентябрь 2020;55 681;0,00058;
октябрь 2020;40 907;0,00038;
ноябрь 2020;25 102;0,00021;
декабрь 2020;17 380;0,00015;
январь 2021;18 167;0,00017;
февраль 2021;21 215;0,00021;
март 2021;37 072;0,00034;
апрель 2021;79 518;0,00073;
май 2021;93 941;0,00091;
июнь 2021;101 545;0,00102;
июль 2021;96 965;0,00099;
август 2021;97 350;0,00097;
сентябрь 2021;61 153;0,00057;
октябрь 2021;44 501;0,00039;
ноябрь 2021;28 705;0,00024;
декабрь 2021;19 866;0,00016;
январь 2022;21 363;0,00017;
февраль 2022;27 920;0,00023;
март 2022;57 029;0,00044;
апрель 2022;89 198;0,00074;
май 2022;123 972;0,00103;
июнь 2022;134 120;0,00125;
июль 2022;130 663;0,00125;
август 2022;118 940;0,00110;
сентябрь 2022;62 773;0,00053;
октябрь 2022;40 950;0,00033;
ноябрь 2022;26 014;0,00020;
декабрь 2022;17 419;0,00013;
январь 2023;21 898;0,00017;
февраль 2023;27 196;0,00023;
март 2023;49 914;0,00040;
апрель 2023;99 567;0,00086;
май 2023;117 338;0,00103;
июнь 2023;118 905;0,00115;
июль 2023;111 774;0,00110;
август 2023;99 742;0,00099;
сентябрь 2023;82 511;0,00076;
октябрь 2023;51 163;0,00042;
ноябрь 2023;29 003;0,00024;
декабрь 2023;16 903;0,00014;
январь 2024;22 093;0,00018;
февраль 2024;30 063;0,00026;
март 2024;48 496;0,00042;
апрель 2024;101 272;0,00093;
май 2024;109 295;0,00102;
июнь 2024;107 334;0,00114;
июль 2024;109 541;0,00117;
август 2024;98 020;0,00104;
сентябрь 2024;80 550;0,00081;
октябрь 2024;46 893;0,00041;
ноябрь 2024;26 891;0,00023;
декабрь 2024;19 211;0,00016;
январь 2025;25 535;0,00021;
февраль 2025;29 478;0,00025;
март 2025;56 614;0,00047;
апрель 2025;85 814;0,00075;
май 2025;96 144;0,00090;
июнь 2025;102 614;0,00097;
