Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Шторки стеклянные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;15 599;0,000200;
февраль 2018;14 095;0,000181;
март 2018;15 405;0,000183;
апрель 2018;12 122;0,000159;
май 2018;14 214;0,000189;
июнь 2018;13 588;0,000195;
июль 2018;15 082;0,000215;
август 2018;14 883;0,000210;
сентябрь 2018;16 121;0,000203;
октябрь 2018;19 355;0,000210;
ноябрь 2018;16 960;0,000199;
декабрь 2018;13 070;0,000152;
январь 2019;15 787;0,000179;
февраль 2019;15 545;0,000185;
март 2019;17 541;0,000199;
апрель 2019;13 653;0,000165;
май 2019;13 415;0,000169;
июнь 2019;14 726;0,000203;
июль 2019;18 207;0,000247;
август 2019;17 562;0,000241;
сентябрь 2019;16 324;0,000207;
октябрь 2019;17 735;0,000200;
ноябрь 2019;16 404;0,000184;
декабрь 2019;14 833;0,000159;
январь 2020;17 532;0,000180;
февраль 2020;17 925;0,000194;
март 2020;16 212;0,000164;
апрель 2020;13 785;0,000115;
май 2020;17 523;0,000163;
июнь 2020;18 088;0,000202;
июль 2020;21 215;0,000251;
август 2020;20 975;0,000250;
сентябрь 2020;19 009;0,000200;
октябрь 2020;21 823;0,000202;
ноябрь 2020;22 774;0,000198;
декабрь 2020;18 480;0,000167;
январь 2021;20 915;0,000200;
февраль 2021;19 945;0,000199;
март 2021;20 339;0,000186;
апрель 2021;18 336;0,000170;
май 2021;17 995;0,000174;
июнь 2021;17 459;0,000175;
июль 2021;20 102;0,000207;
август 2021;22 081;0,000220;
сентябрь 2021;20 769;0,000193;
октябрь 2021;20 492;0,000180;
ноябрь 2021;23 467;0,000202;
декабрь 2021;20 381;0,000172;
январь 2022;21 375;0,000179;
февраль 2022;19 685;0,000166;
март 2022;20 510;0,000160;
апрель 2022;16 798;0,000140;
май 2022;15 613;0,000130;
июнь 2022;14 927;0,000139;
июль 2022;16 016;0,000153;
август 2022;16 980;0,000157;
сентябрь 2022;14 748;0,000126;
октябрь 2022;16 271;0,000131;
ноябрь 2022;17 117;0,000135;
декабрь 2022;13 581;0,000107;
январь 2023;15 395;0,000124;
февраль 2023;14 149;0,000123;
март 2023;14 542;0,000116;
апрель 2023;12 124;0,000105;
май 2023;12 011;0,000106;
июнь 2023;12 871;0,000125;
июль 2023;13 814;0,000136;
август 2023;14 139;0,000140;
сентябрь 2023;13 942;0,000129;
октябрь 2023;16 933;0,000141;
ноябрь 2023;17 837;0,000151;
декабрь 2023;14 879;0,000124;
январь 2024;15 395;0,000127;
февраль 2024;14 632;0,000130;
март 2024;13 798;0,000119;
апрель 2024;12 965;0,000119;
май 2024;13 332;0,000125;
июнь 2024;10 420;0,000111;
июль 2024;12 548;0,000134;
август 2024;11 566;0,000123;
сентябрь 2024;10 540;0,000106;
октябрь 2024;11 793;0,000105;
ноябрь 2024;12 634;0,000108;
декабрь 2024;11 917;0,000099;
январь 2025;13 308;0,000112;
февраль 2025;13 321;0,000116;
март 2025;11 055;0,000092;
апрель 2025;10 047;0,000088;
май 2025;11 330;0,000106;
июнь 2025;13 082;0,000123;
