Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Арматура», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;495 871;0,0063;
февраль 2018;555 686;0,0071;
март 2018;642 022;0,0076;
апрель 2018;716 955;0,0094;
май 2018;845 861;0,0112;
июнь 2018;867 670;0,0125;
июль 2018;942 499;0,0134;
август 2018;958 674;0,0135;
сентябрь 2018;817 552;0,0103;
октябрь 2018;843 898;0,0091;
ноябрь 2018;602 311;0,0070;
декабрь 2018;541 914;0,0063;
январь 2019;527 406;0,0059;
февраль 2019;600 813;0,0071;
март 2019;705 477;0,0080;
апрель 2019;790 175;0,0095;
май 2019;829 976;0,0104;
июнь 2019;846 605;0,0116;
июль 2019;785 829;0,0106;
август 2019;729 252;0,0100;
сентябрь 2019;718 639;0,0091;
октябрь 2019;717 307;0,0081;
ноябрь 2019;611 828;0,0068;
декабрь 2019;590 768;0,0063;
январь 2020;608 033;0,0062;
февраль 2020;636 724;0,0069;
март 2020;720 506;0,0073;
апрель 2020;805 104;0,0067;
май 2020;995 157;0,0092;
июнь 2020;992 842;0,0111;
июль 2020;890 410;0,0105;
август 2020;838 353;0,0099;
сентябрь 2020;851 490;0,0089;
октябрь 2020;831 604;0,0077;
ноябрь 2020;744 807;0,0064;
декабрь 2020;729 149;0,0065;
январь 2021;671 856;0,0064;
февраль 2021;740 987;0,0074;
март 2021;910 872;0,0083;
апрель 2021;1 114 431;0,0103;
май 2021;1 252 956;0,0121;
июнь 2021;1 372 293;0,0138;
июль 2021;1 191 583;0,0122;
август 2021;1 154 676;0,0115;
сентябрь 2021;1 062 339;0,0099;
октябрь 2021;970 419;0,0085;
ноябрь 2021;905 964;0,0078;
декабрь 2021;863 695;0,0072;
январь 2022;817 749;0,0068;
февраль 2022;871 048;0,0073;
март 2022;1 093 615;0,0085;
апрель 2022;1 130 423;0,0094;
май 2022;1 228 792;0,0102;
июнь 2022;1 220 555;0,0113;
июль 2022;1 067 929;0,0102;
август 2022;1 090 221;0,0101;
сентябрь 2022;927 565;0,0079;
октябрь 2022;845 042;0,0068;
ноябрь 2022;812 473;0,0064;
декабрь 2022;726 426;0,0057;
январь 2023;690 232;0,0055;
февраль 2023;753 689;0,0066;
март 2023;958 736;0,0077;
апрель 2023;1 028 568;0,0089;
май 2023;1 162 136;0,0102;
июнь 2023;1 120 767;0,0109;
июль 2023;1 011 897;0,0100;
август 2023;980 775;0,0097;
сентябрь 2023;970 641;0,0090;
октябрь 2023;964 732;0,0080;
ноябрь 2023;826 710;0,0070;
декабрь 2023;706 762;0,0059;
январь 2024;705 532;0,0058;
февраль 2024;814 224;0,0072;
март 2024;916 209;0,0079;
апрель 2024;1 052 890;0,0097;
май 2024;1 145 739;0,0107;
июнь 2024;1 060 062;0,0113;
июль 2024;1 026 249;0,0110;
август 2024;936 593;0,0100;
сентябрь 2024;914 209;0,0092;
октябрь 2024;951 121;0,0084;
ноябрь 2024;871 132;0,0074;
декабрь 2024;839 890;0,0070;
январь 2025;818 807;0,0069;
февраль 2025;924 116;0,0080;
март 2025;1 036 509;0,0086;
апрель 2025;1 103 345;0,0096;
май 2025;1 108 823;0,0103;
июнь 2025;1 192 697;0,0112;
