Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фольга и бумага для запекания», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;20;0,00000025;
февраль 2018;19;0,00000024;
март 2018;18;0,00000021;
апрель 2018;15;0,00000019;
май 2018;10;0,00000013;
июнь 2018;14;0,00000020;
июль 2018;12;0,00000017;
август 2018;17;0,00000024;
сентябрь 2018;15;0,00000018;
октябрь 2018;33;0,00000035;
ноябрь 2018;28;0,00000032;
декабрь 2018;29;0,00000033;
январь 2019;27;0,00000030;
февраль 2019;30;0,00000035;
март 2019;16;0,00000018;
апрель 2019;18;0,00000021;
май 2019;12;0,00000015;
июнь 2019;17;0,00000023;
июль 2019;22;0,00000029;
август 2019;16;0,00000022;
сентябрь 2019;22;0,00000027;
октябрь 2019;36;0,00000040;
ноябрь 2019;28;0,00000031;
декабрь 2019;50;0,00000053;
январь 2020;41;0,00000042;
февраль 2020;32;0,00000034;
март 2020;40;0,00000040;
апрель 2020;41;0,00000034;
май 2020;44;0,00000041;
июнь 2020;32;0,00000035;
июль 2020;24;0,00000028;
август 2020;26;0,00000031;
сентябрь 2020;46;0,00000048;
октябрь 2020;41;0,00000038;
ноябрь 2020;56;0,00000048;
декабрь 2020;47;0,00000042;
январь 2021;54;0,00000051;
февраль 2021;38;0,00000038;
март 2021;36;0,00000033;
апрель 2021;23;0,00000021;
май 2021;38;0,00000036;
июнь 2021;33;0,00000033;
июль 2021;56;0,00000057;
август 2021;44;0,00000043;
сентябрь 2021;35;0,00000032;
октябрь 2021;56;0,00000049;
ноябрь 2021;61;0,00000052;
декабрь 2021;102;0,00000086;
январь 2022;65;0,00000054;
февраль 2022;50;0,00000042;
март 2022;43;0,00000033;
апрель 2022;36;0,00000030;
май 2022;31;0,00000025;
июнь 2022;28;0,00000026;
июль 2022;31;0,00000029;
август 2022;40;0,00000037;
сентябрь 2022;35;0,00000029;
октябрь 2022;49;0,00000039;
ноябрь 2022;54;0,00000042;
декабрь 2022;88;0,00000069;
январь 2023;53;0,00000042;
февраль 2023;59;0,00000051;
март 2023;46;0,00000036;
апрель 2023;48;0,00000041;
май 2023;45;0,00000039;
июнь 2023;26;0,00000025;
июль 2023;39;0,00000038;
август 2023;36;0,00000035;
сентябрь 2023;31;0,00000028;
октябрь 2023;49;0,00000041;
ноябрь 2023;38;0,00000032;
декабрь 2023;70;0,00000058;
январь 2024;63;0,00000052;
февраль 2024;59;0,00000052;
март 2024;46;0,00000039;
апрель 2024;44;0,00000040;
май 2024;37;0,00000034;
июнь 2024;33;0,00000035;
июль 2024;45;0,00000048;
август 2024;38;0,00000040;
сентябрь 2024;37;0,00000037;
октябрь 2024;47;0,00000041;
ноябрь 2024;49;0,00000042;
декабрь 2024;89;0,00000074;
январь 2025;74;0,00000062;
февраль 2025;38;0,00000033;
март 2025;52;0,00000043;
апрель 2025;74;0,00000064;
май 2025;42;0,00000039;
июнь 2025;54;0,00000051;
