Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Краски для внутренних работ», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;13 001;0,00016;
февраль 2018;14 022;0,00018;
март 2018;17 014;0,00020;
апрель 2018;18 756;0,00024;
май 2018;20 548;0,00027;
июнь 2018;21 763;0,00031;
июль 2018;23 411;0,00033;
август 2018;22 932;0,00032;
сентябрь 2018;18 374;0,00023;
октябрь 2018;19 733;0,00021;
ноябрь 2018;16 729;0,00019;
декабрь 2018;13 684;0,00016;
январь 2019;13 447;0,00015;
февраль 2019;15 981;0,00019;
март 2019;19 178;0,00021;
апрель 2019;23 002;0,00027;
май 2019;22 486;0,00028;
июнь 2019;22 723;0,00031;
июль 2019;25 376;0,00034;
август 2019;23 139;0,00031;
сентябрь 2019;19 694;0,00025;
октябрь 2019;19 439;0,00021;
ноябрь 2019;18 268;0,00020;
декабрь 2019;17 897;0,00019;
январь 2020;18 745;0,00019;
февраль 2020;19 611;0,00021;
март 2020;22 714;0,00023;
апрель 2020;29 880;0,00025;
май 2020;35 130;0,00032;
июнь 2020;32 230;0,00036;
июль 2020;31 422;0,00037;
август 2020;29 266;0,00034;
сентябрь 2020;23 592;0,00024;
октябрь 2020;24 774;0,00023;
ноябрь 2020;25 053;0,00021;
декабрь 2020;22 218;0,00020;
январь 2021;21 360;0,00020;
февраль 2021;23 057;0,00023;
март 2021;27 587;0,00025;
апрель 2021;33 557;0,00031;
май 2021;32 455;0,00031;
июнь 2021;34 918;0,00035;
июль 2021;34 581;0,00035;
август 2021;36 413;0,00036;
сентябрь 2021;29 643;0,00027;
октябрь 2021;26 861;0,00023;
ноябрь 2021;28 055;0,00024;
декабрь 2021;23 014;0,00019;
январь 2022;23 539;0,00019;
февраль 2022;25 358;0,00021;
март 2022;33 355;0,00026;
апрель 2022;34 911;0,00029;
май 2022;35 917;0,00030;
июнь 2022;37 859;0,00035;
июль 2022;37 394;0,00035;
август 2022;36 708;0,00034;
сентябрь 2022;26 166;0,00022;
октябрь 2022;24 939;0,00020;
ноябрь 2022;25 706;0,00020;
декабрь 2022;20 073;0,00015;
январь 2023;20 023;0,00016;
февраль 2023;22 939;0,00020;
март 2023;28 013;0,00022;
апрель 2023;28 521;0,00024;
май 2023;30 739;0,00027;
июнь 2023;33 902;0,00033;
июль 2023;33 977;0,00033;
август 2023;30 992;0,00030;
сентябрь 2023;27 239;0,00025;
октябрь 2023;28 506;0,00023;
ноябрь 2023;24 693;0,00021;
декабрь 2023;18 418;0,00015;
январь 2024;18 984;0,00015;
февраль 2024;22 143;0,00019;
март 2024;25 248;0,00021;
апрель 2024;29 926;0,00027;
май 2024;28 396;0,00026;
июнь 2024;28 692;0,00030;
июль 2024;30 525;0,00032;
август 2024;28 175;0,00030;
сентябрь 2024;23 844;0,00024;
октябрь 2024;23 320;0,00020;
ноябрь 2024;22 009;0,00018;
декабрь 2024;18 935;0,00015;
январь 2025;19 959;0,00016;
февраль 2025;20 835;0,00018;
март 2025;23 948;0,00019;
апрель 2025;24 763;0,00021;
май 2025;25 526;0,00023;
июнь 2025;29 231;0,00027;
