Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Штакетник», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;40 054;0,00051;
февраль 2018;44 423;0,00057;
март 2018;71 369;0,00084;
апрель 2018;140 616;0,00185;
май 2018;199 561;0,00265;
июнь 2018;147 898;0,00213;
июль 2018;123 794;0,00177;
август 2018;116 615;0,00165;
сентябрь 2018;96 567;0,00121;
октябрь 2018;87 882;0,00095;
ноябрь 2018;46 319;0,00054;
декабрь 2018;28 332;0,00033;
январь 2019;39 106;0,00044;
февраль 2019;48 532;0,00057;
март 2019;86 254;0,00098;
апрель 2019;166 479;0,00201;
май 2019;203 763;0,00257;
июнь 2019;149 741;0,00206;
июль 2019;128 221;0,00174;
август 2019;103 095;0,00141;
сентябрь 2019;91 807;0,00116;
октябрь 2019;78 121;0,00088;
ноябрь 2019;54 155;0,00061;
декабрь 2019;52 716;0,00056;
январь 2020;75 858;0,00078;
февраль 2020;73 851;0,00080;
март 2020;121 959;0,00124;
апрель 2020;204 296;0,00171;
май 2020;312 971;0,00291;
июнь 2020;234 146;0,00262;
июль 2020;185 127;0,00219;
август 2020;149 303;0,00178;
сентябрь 2020;127 418;0,00134;
октябрь 2020;115 218;0,00107;
ноябрь 2020;81 214;0,00070;
декабрь 2020;55 536;0,00050;
январь 2021;64 335;0,00061;
февраль 2021;72 816;0,00072;
март 2021;104 209;0,00095;
апрель 2021;222 926;0,00206;
май 2021;275 141;0,00266;
июнь 2021;226 481;0,00228;
июль 2021;194 777;0,00200;
август 2021;174 951;0,00174;
сентябрь 2021;132 350;0,00123;
октябрь 2021;123 246;0,00108;
ноябрь 2021;89 432;0,00077;
декабрь 2021;58 696;0,00049;
январь 2022;68 686;0,00057;
февраль 2022;82 092;0,00069;
март 2022;126 792;0,00099;
апрель 2022;222 916;0,00186;
май 2022;315 363;0,00264;
июнь 2022;232 449;0,00216;
июль 2022;198 330;0,00190;
август 2022;175 890;0,00163;
сентябрь 2022;123 521;0,00105;
октябрь 2022;101 288;0,00081;
ноябрь 2022;71 872;0,00056;
декабрь 2022;43 597;0,00034;
январь 2023;61 879;0,00050;
февраль 2023;70 745;0,00061;
март 2023;127 395;0,00102;
апрель 2023;226 339;0,00196;
май 2023;268 216;0,00237;
июнь 2023;209 258;0,00204;
июль 2023;187 138;0,00185;
август 2023;159 949;0,00159;
сентябрь 2023;141 520;0,00131;
октябрь 2023;118 881;0,00099;
ноябрь 2023;75 380;0,00064;
декабрь 2023;41 804;0,00035;
январь 2024;58 137;0,00048;
февраль 2024;79 499;0,00070;
март 2024;124 925;0,00108;
апрель 2024;248 651;0,00229;
май 2024;268 469;0,00252;
июнь 2024;210 076;0,00224;
июль 2024;189 550;0,00203;
август 2024;162 995;0,00174;
сентябрь 2024;143 900;0,00144;
октябрь 2024;116 901;0,00104;
ноябрь 2024;85 192;0,00073;
декабрь 2024;58 432;0,00048;
январь 2025;77 057;0,00064;
февраль 2025;86 553;0,00075;
март 2025;159 907;0,00133;
апрель 2025;227 504;0,00199;
май 2025;277 980;0,00260;
июнь 2025;286 110;0,00271;
