Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Керамогранит большеформатный», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;55;0,00000070;
февраль 2018;61;0,00000078;
март 2018;78;0,00000092;
апрель 2018;48;0,00000063;
май 2018;97;0,00000129;
июнь 2018;84;0,00000121;
июль 2018;90;0,00000128;
август 2018;82;0,00000116;
сентябрь 2018;97;0,00000122;
октябрь 2018;83;0,00000090;
ноябрь 2018;93;0,00000109;
декабрь 2018;126;0,00000147;
январь 2019;120;0,00000136;
февраль 2019;135;0,00000160;
март 2019;159;0,00000181;
апрель 2019;156;0,00000188;
май 2019;120;0,00000151;
июнь 2019;82;0,00000113;
июль 2019;163;0,00000221;
август 2019;125;0,00000171;
сентябрь 2019;130;0,00000165;
октябрь 2019;149;0,00000168;
ноябрь 2019;162;0,00000182;
декабрь 2019;169;0,00000182;
январь 2020;141;0,00000145;
февраль 2020;194;0,00000211;
март 2020;189;0,00000192;
апрель 2020;180;0,00000150;
май 2020;191;0,00000178;
июнь 2020;222;0,00000248;
июль 2020;189;0,00000224;
август 2020;234;0,00000279;
сентябрь 2020;271;0,00000285;
октябрь 2020;217;0,00000201;
ноябрь 2020;268;0,00000233;
декабрь 2020;230;0,00000208;
январь 2021;195;0,00000186;
февраль 2021;232;0,00000232;
март 2021;332;0,00000304;
апрель 2021;239;0,00000221;
май 2021;230;0,00000222;
июнь 2021;262;0,00000264;
июль 2021;270;0,00000278;
август 2021;289;0,00000288;
сентябрь 2021;230;0,00000214;
октябрь 2021;291;0,00000255;
ноябрь 2021;387;0,00000333;
декабрь 2021;310;0,00000261;
январь 2022;308;0,00000258;
февраль 2022;384;0,00000325;
март 2022;316;0,00000247;
апрель 2022;318;0,00000266;
май 2022;283;0,00000237;
июнь 2022;263;0,00000245;
июль 2022;227;0,00000217;
август 2022;325;0,00000301;
сентябрь 2022;268;0,00000229;
октябрь 2022;253;0,00000204;
ноябрь 2022;338;0,00000267;
декабрь 2022;257;0,00000204;
январь 2023;288;0,00000233;
февраль 2023;311;0,00000272;
март 2023;389;0,00000312;
апрель 2023;263;0,00000227;
май 2023;286;0,00000252;
июнь 2023;276;0,00000269;
июль 2023;304;0,00000301;
август 2023;234;0,00000232;
сентябрь 2023;277;0,00000257;
октябрь 2023;360;0,00000301;
ноябрь 2023;292;0,00000248;
декабрь 2023;214;0,00000179;
январь 2024;238;0,00000197;
февраль 2024;291;0,00000259;
март 2024;303;0,00000262;
апрель 2024;311;0,00000286;
май 2024;280;0,00000262;
июнь 2024;183;0,00000195;
июль 2024;436;0,00000468;
август 2024;219;0,00000234;
сентябрь 2024;210;0,00000211;
октябрь 2024;216;0,00000192;
ноябрь 2024;214;0,00000184;
декабрь 2024;258;0,00000215;
январь 2025;328;0,00000276;
февраль 2025;234;0,00000205;
март 2025;278;0,00000231;
апрель 2025;198;0,00000173;
май 2025;221;0,00000207;
июнь 2025;232;0,00000219;
