Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Удлинители на катушке», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;8 031;0,000103;
февраль 2018;9 358;0,000120;
март 2018;11 006;0,000130;
апрель 2018;12 472;0,000164;
май 2018;17 191;0,000228;
июнь 2018;15 548;0,000224;
июль 2018;13 841;0,000197;
август 2018;12 621;0,000178;
сентябрь 2018;11 074;0,000139;
октябрь 2018;12 952;0,000140;
ноябрь 2018;10 687;0,000125;
декабрь 2018;8 299;0,000097;
январь 2019;8 784;0,000099;
февраль 2019;10 596;0,000126;
март 2019;11 941;0,000135;
апрель 2019;13 957;0,000168;
май 2019;16 819;0,000212;
июнь 2019;16 016;0,000220;
июль 2019;13 918;0,000189;
август 2019;12 402;0,000170;
сентябрь 2019;11 704;0,000148;
октябрь 2019;11 792;0,000133;
ноябрь 2019;11 317;0,000127;
декабрь 2019;10 652;0,000114;
январь 2020;10 606;0,000109;
февраль 2020;12 502;0,000135;
март 2020;12 330;0,000125;
апрель 2020;12 633;0,000105;
май 2020;23 083;0,000215;
июнь 2020;24 350;0,000273;
июль 2020;20 351;0,000241;
август 2020;15 908;0,000189;
сентябрь 2020;14 541;0,000153;
октябрь 2020;14 398;0,000133;
ноябрь 2020;14 583;0,000127;
декабрь 2020;14 434;0,000130;
январь 2021;13 177;0,000126;
февраль 2021;15 243;0,000152;
март 2021;17 142;0,000157;
апрель 2021;21 685;0,000201;
май 2021;25 797;0,000250;
июнь 2021;27 788;0,000280;
июль 2021;23 536;0,000242;
август 2021;21 361;0,000213;
сентябрь 2021;18 892;0,000176;
октябрь 2021;16 459;0,000144;
ноябрь 2021;16 610;0,000143;
декабрь 2021;16 114;0,000135;
январь 2022;14 478;0,000121;
февраль 2022;15 450;0,000130;
март 2022;17 928;0,000140;
апрель 2022;20 774;0,000173;
май 2022;27 506;0,000230;
июнь 2022;29 742;0,000277;
июль 2022;22 029;0,000211;
август 2022;20 143;0,000186;
сентябрь 2022;15 740;0,000134;
октябрь 2022;15 729;0,000127;
ноябрь 2022;17 429;0,000138;
декабрь 2022;14 704;0,000116;
январь 2023;14 016;0,000113;
февраль 2023;15 320;0,000134;
март 2023;18 491;0,000148;
апрель 2023;20 753;0,000179;
май 2023;25 233;0,000223;
июнь 2023;22 722;0,000221;
июль 2023;19 995;0,000198;
август 2023;19 092;0,000190;
сентябрь 2023;16 599;0,000154;
октябрь 2023;18 322;0,000153;
ноябрь 2023;17 480;0,000148;
декабрь 2023;16 273;0,000136;
январь 2024;17 125;0,000142;
февраль 2024;18 473;0,000164;
март 2024;18 379;0,000159;
апрель 2024;23 732;0,000218;
май 2024;25 763;0,000241;
июнь 2024;24 073;0,000257;
июль 2024;22 168;0,000238;
август 2024;19 179;0,000205;
сентябрь 2024;16 738;0,000168;
октябрь 2024;18 049;0,000160;
ноябрь 2024;17 118;0,000147;
декабрь 2024;15 753;0,000131;
январь 2025;15 316;0,000129;
февраль 2025;16 851;0,000147;
март 2025;18 469;0,000154;
апрель 2025;20 390;0,000178;
май 2025;23 982;0,000224;
июнь 2025;23 902;0,000226;
