Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Погонаж», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;9 534;0,000122;
февраль 2018;9 729;0,000125;
март 2018;11 177;0,000132;
апрель 2018;9 487;0,000125;
май 2018;10 692;0,000142;
июнь 2018;9 473;0,000136;
июль 2018;10 842;0,000155;
август 2018;10 628;0,000150;
сентябрь 2018;10 383;0,000131;
октябрь 2018;11 964;0,000129;
ноябрь 2018;10 567;0,000124;
декабрь 2018;9 141;0,000106;
январь 2019;9 736;0,000110;
февраль 2019;9 842;0,000117;
март 2019;10 527;0,000119;
апрель 2019;10 269;0,000124;
май 2019;9 972;0,000126;
июнь 2019;9 265;0,000127;
июль 2019;10 124;0,000137;
август 2019;9 673;0,000133;
сентябрь 2019;10 249;0,000130;
октябрь 2019;9 760;0,000110;
ноябрь 2019;9 783;0,000110;
декабрь 2019;8 926;0,000096;
январь 2020;10 034;0,000103;
февраль 2020;10 739;0,000116;
март 2020;9 684;0,000098;
апрель 2020;9 973;0,000083;
май 2020;14 920;0,000139;
июнь 2020;12 528;0,000140;
июль 2020;12 081;0,000143;
август 2020;11 067;0,000131;
сентябрь 2020;10 837;0,000114;
октябрь 2020;11 433;0,000106;
ноябрь 2020;11 764;0,000102;
декабрь 2020;10 346;0,000093;
январь 2021;10 627;0,000101;
февраль 2021;11 358;0,000113;
март 2021;12 112;0,000111;
апрель 2021;13 208;0,000122;
май 2021;12 362;0,000119;
июнь 2021;12 907;0,000130;
июль 2021;12 464;0,000128;
август 2021;13 577;0,000135;
сентябрь 2021;12 376;0,000115;
октябрь 2021;11 924;0,000104;
ноябрь 2021;12 451;0,000107;
декабрь 2021;11 498;0,000097;
январь 2022;11 606;0,000097;
февраль 2022;12 621;0,000106;
март 2022;13 532;0,000106;
апрель 2022;12 737;0,000106;
май 2022;13 157;0,000110;
июнь 2022;13 363;0,000124;
июль 2022;12 938;0,000124;
август 2022;13 436;0,000124;
сентябрь 2022;11 656;0,000099;
октябрь 2022;11 673;0,000094;
ноябрь 2022;12 958;0,000102;
декабрь 2022;10 768;0,000085;
январь 2023;10 726;0,000087;
февраль 2023;11 612;0,000101;
март 2023;13 215;0,000106;
апрель 2023;12 015;0,000104;
май 2023;12 466;0,000110;
июнь 2023;12 254;0,000119;
июль 2023;12 712;0,000126;
август 2023;12 228;0,000121;
сентябрь 2023;11 521;0,000107;
октябрь 2023;11 735;0,000098;
ноябрь 2023;11 308;0,000096;
декабрь 2023;9 489;0,000079;
январь 2024;9 974;0,000082;
февраль 2024;11 441;0,000101;
март 2024;11 384;0,000098;
апрель 2024;12 536;0,000115;
май 2024;12 349;0,000115;
июнь 2024;11 678;0,000125;
июль 2024;12 444;0,000133;
август 2024;11 244;0,000120;
сентябрь 2024;10 866;0,000109;
октябрь 2024;12 121;0,000107;
ноябрь 2024;12 284;0,000105;
декабрь 2024;11 074;0,000092;
январь 2025;12 057;0,000101;
февраль 2025;12 621;0,000110;
март 2025;13 223;0,000110;
апрель 2025;12 899;0,000113;
май 2025;12 674;0,000118;
июнь 2025;13 493;0,000127;
