Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Маркировка кабелей», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;12 491;0,00016;
февраль 2018;14 826;0,00019;
март 2018;15 459;0,00018;
апрель 2018;15 491;0,00020;
май 2018;14 733;0,00019;
июнь 2018;15 416;0,00022;
июль 2018;14 622;0,00020;
август 2018;14 888;0,00021;
сентябрь 2018;16 373;0,00020;
октябрь 2018;19 867;0,00021;
ноябрь 2018;17 142;0,00020;
декабрь 2018;14 960;0,00017;
январь 2019;13 834;0,00015;
февраль 2019;16 243;0,00019;
март 2019;17 449;0,00019;
апрель 2019;17 437;0,00021;
май 2019;14 474;0,00018;
июнь 2019;15 202;0,00020;
июль 2019;15 905;0,00021;
август 2019;15 192;0,00020;
сентябрь 2019;16 045;0,00020;
октябрь 2019;18 336;0,00020;
ноябрь 2019;17 608;0,00019;
декабрь 2019;17 222;0,00018;
январь 2020;16 978;0,00017;
февраль 2020;18 069;0,00019;
март 2020;17 103;0,00017;
апрель 2020;16 927;0,00014;
май 2020;18 573;0,00017;
июнь 2020;18 854;0,00021;
июль 2020;16 127;0,00019;
август 2020;15 889;0,00018;
сентябрь 2020;18 856;0,00019;
октябрь 2020;20 298;0,00018;
ноябрь 2020;20 887;0,00018;
декабрь 2020;20 545;0,00018;
январь 2021;16 298;0,00015;
февраль 2021;18 847;0,00018;
март 2021;22 166;0,00020;
апрель 2021;22 681;0,00021;
май 2021;19 148;0,00018;
июнь 2021;22 066;0,00022;
июль 2021;17 976;0,00018;
август 2021;20 237;0,00020;
сентябрь 2021;22 021;0,00020;
октябрь 2021;22 826;0,00020;
ноябрь 2021;23 354;0,00020;
декабрь 2021;24 156;0,00020;
январь 2022;19 590;0,00016;
февраль 2022;21 969;0,00018;
март 2022;24 842;0,00019;
апрель 2022;25 158;0,00021;
май 2022;22 092;0,00018;
июнь 2022;23 871;0,00022;
июль 2022;20 157;0,00019;
август 2022;21 559;0,00020;
сентябрь 2022;21 833;0,00018;
октябрь 2022;22 847;0,00018;
ноябрь 2022;25 679;0,00020;
декабрь 2022;23 757;0,00018;
январь 2023;21 060;0,00017;
февраль 2023;22 510;0,00019;
март 2023;26 100;0,00020;
апрель 2023;23 492;0,00020;
май 2023;23 242;0,00020;
июнь 2023;23 005;0,00022;
июль 2023;20 628;0,00020;
август 2023;21 409;0,00021;
сентябрь 2023;21 921;0,00020;
октябрь 2023;25 663;0,00021;
ноябрь 2023;24 998;0,00021;
декабрь 2023;21 916;0,00018;
январь 2024;20 143;0,00016;
февраль 2024;22 298;0,00019;
март 2024;23 036;0,00019;
апрель 2024;22 495;0,00020;
май 2024;22 300;0,00020;
июнь 2024;21 038;0,00022;
июль 2024;20 375;0,00021;
август 2024;19 630;0,00020;
сентябрь 2024;21 986;0,00022;
октябрь 2024;26 573;0,00023;
ноябрь 2024;26 855;0,00023;
декабрь 2024;26 219;0,00021;
январь 2025;22 079;0,00018;
февраль 2025;26 668;0,00023;
март 2025;25 897;0,00021;
апрель 2025;25 039;0,00021;
май 2025;21 764;0,00020;
июнь 2025;23 782;0,00022;
