Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Панели смыва», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;989;0,000012;
февраль 2018;935;0,000012;
март 2018;1 066;0,000012;
апрель 2018;881;0,000011;
май 2018;921;0,000012;
июнь 2018;937;0,000013;
июль 2018;923;0,000013;
август 2018;1 127;0,000015;
сентябрь 2018;1 062;0,000013;
октябрь 2018;1 397;0,000015;
ноябрь 2018;1 303;0,000015;
декабрь 2018;1 055;0,000012;
январь 2019;1 128;0,000012;
февраль 2019;1 416;0,000016;
март 2019;1 543;0,000017;
апрель 2019;1 329;0,000016;
май 2019;1 300;0,000016;
июнь 2019;1 296;0,000017;
июль 2019;1 408;0,000019;
август 2019;1 359;0,000018;
сентябрь 2019;2 124;0,000026;
октябрь 2019;1 577;0,000017;
ноябрь 2019;1 676;0,000018;
декабрь 2019;1 517;0,000016;
январь 2020;2 147;0,000022;
февраль 2020;2 091;0,000022;
март 2020;2 034;0,000020;
апрель 2020;1 401;0,000011;
май 2020;1 734;0,000016;
июнь 2020;2 047;0,000022;
июль 2020;2 196;0,000026;
август 2020;2 015;0,000024;
сентябрь 2020;2 087;0,000021;
октябрь 2020;2 340;0,000021;
ноябрь 2020;2 893;0,000025;
декабрь 2020;2 523;0,000022;
январь 2021;2 371;0,000022;
февраль 2021;2 736;0,000027;
март 2021;2 879;0,000026;
апрель 2021;2 900;0,000026;
май 2021;2 871;0,000027;
июнь 2021;3 185;0,000032;
июль 2021;3 241;0,000033;
август 2021;3 518;0,000035;
сентябрь 2021;3 411;0,000031;
октябрь 2021;3 143;0,000027;
ноябрь 2021;3 922;0,000033;
декабрь 2021;3 948;0,000033;
январь 2022;3 864;0,000032;
февраль 2022;4 160;0,000035;
март 2022;5 953;0,000046;
апрель 2022;4 708;0,000039;
май 2022;4 089;0,000034;
июнь 2022;3 782;0,000035;
июль 2022;3 317;0,000031;
август 2022;3 627;0,000033;
сентябрь 2022;3 091;0,000026;
октябрь 2022;3 096;0,000025;
ноябрь 2022;4 057;0,000032;
декабрь 2022;3 777;0,000030;
январь 2023;3 629;0,000029;
февраль 2023;4 008;0,000035;
март 2023;4 916;0,000039;
апрель 2023;4 104;0,000035;
май 2023;4 416;0,000039;
июнь 2023;4 249;0,000041;
июль 2023;4 615;0,000045;
август 2023;4 811;0,000047;
сентябрь 2023;4 332;0,000040;
октябрь 2023;5 189;0,000043;
ноябрь 2023;4 999;0,000042;
декабрь 2023;4 459;0,000037;
январь 2024;4 611;0,000038;
февраль 2024;5 101;0,000045;
март 2024;5 157;0,000044;
апрель 2024;4 793;0,000044;
май 2024;4 548;0,000042;
июнь 2024;4 690;0,000050;
июль 2024;5 097;0,000054;
август 2024;4 699;0,000050;
сентябрь 2024;4 330;0,000043;
октябрь 2024;4 929;0,000043;
ноябрь 2024;5 305;0,000045;
декабрь 2024;5 072;0,000042;
январь 2025;4 715;0,000039;
февраль 2025;5 673;0,000049;
март 2025;5 852;0,000048;
апрель 2025;5 300;0,000046;
май 2025;4 514;0,000042;
июнь 2025;4 962;0,000047;
