Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Плинтусы для столешниц», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;11 873;0,00015;
февраль 2018;11 685;0,00015;
март 2018;13 008;0,00015;
апрель 2018;10 109;0,00013;
май 2018;9 499;0,00012;
июнь 2018;9 922;0,00014;
июль 2018;11 549;0,00016;
август 2018;13 631;0,00019;
сентябрь 2018;13 200;0,00016;
октябрь 2018;15 426;0,00016;
ноябрь 2018;14 543;0,00017;
декабрь 2018;13 773;0,00016;
январь 2019;14 331;0,00016;
февраль 2019;13 931;0,00016;
март 2019;14 195;0,00016;
апрель 2019;12 040;0,00014;
май 2019;10 749;0,00013;
июнь 2019;10 564;0,00014;
июль 2019;12 551;0,00017;
август 2019;13 806;0,00018;
сентябрь 2019;12 837;0,00016;
октябрь 2019;14 744;0,00016;
ноябрь 2019;15 987;0,00018;
декабрь 2019;17 647;0,00019;
январь 2020;17 380;0,00017;
февраль 2020;17 528;0,00019;
март 2020;15 383;0,00015;
апрель 2020;12 551;0,00010;
май 2020;15 567;0,00014;
июнь 2020;16 646;0,00018;
июль 2020;18 242;0,00021;
август 2020;19 808;0,00023;
сентябрь 2020;19 425;0,00020;
октябрь 2020;23 181;0,00021;
ноябрь 2020;26 172;0,00022;
декабрь 2020;26 600;0,00024;
январь 2021;24 660;0,00023;
февраль 2021;24 087;0,00024;
март 2021;25 486;0,00023;
апрель 2021;23 818;0,00022;
май 2021;20 911;0,00020;
июнь 2021;19 931;0,00020;
июль 2021;21 644;0,00022;
август 2021;27 124;0,00027;
сентябрь 2021;27 254;0,00025;
октябрь 2021;28 742;0,00025;
ноябрь 2021;32 168;0,00027;
декабрь 2021;32 051;0,00027;
январь 2022;30 680;0,00025;
февраль 2022;30 285;0,00025;
март 2022;31 670;0,00024;
апрель 2022;29 849;0,00024;
май 2022;25 646;0,00021;
июнь 2022;23 166;0,00021;
июль 2022;25 167;0,00024;
август 2022;27 243;0,00025;
сентябрь 2022;25 406;0,00021;
октябрь 2022;27 719;0,00022;
ноябрь 2022;31 788;0,00025;
декабрь 2022;30 241;0,00024;
январь 2023;29 240;0,00023;
февраль 2023;27 925;0,00024;
март 2023;30 269;0,00024;
апрель 2023;23 907;0,00020;
май 2023;22 563;0,00019;
июнь 2023;22 447;0,00021;
июль 2023;25 652;0,00025;
август 2023;25 883;0,00025;
сентябрь 2023;25 200;0,00023;
октябрь 2023;29 048;0,00024;
ноябрь 2023;32 132;0,00027;
декабрь 2023;31 181;0,00026;
январь 2024;31 248;0,00025;
февраль 2024;29 693;0,00026;
март 2024;30 337;0,00026;
апрель 2024;25 133;0,00023;
май 2024;23 003;0,00021;
июнь 2024;20 186;0,00021;
июль 2024;23 593;0,00025;
август 2024;25 867;0,00027;
сентябрь 2024;23 949;0,00024;
октябрь 2024;27 804;0,00024;
ноябрь 2024;30 764;0,00026;
декабрь 2024;32 204;0,00026;
январь 2025;31 616;0,00026;
февраль 2025;28 920;0,00025;
март 2025;28 465;0,00023;
апрель 2025;23 830;0,00020;
май 2025;20 882;0,00019;
июнь 2025;22 259;0,00021;
