Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пластиковые боксы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;7 088;0,000091;
февраль 2018;8 085;0,000104;
март 2018;8 982;0,000106;
апрель 2018;7 968;0,000105;
май 2018;7 282;0,000096;
июнь 2018;7 279;0,000104;
июль 2018;7 917;0,000113;
август 2018;8 181;0,000115;
сентябрь 2018;8 402;0,000106;
октябрь 2018;10 293;0,000111;
ноябрь 2018;8 894;0,000104;
декабрь 2018;7 427;0,000086;
январь 2019;8 111;0,000092;
февраль 2019;9 334;0,000111;
март 2019;9 546;0,000108;
апрель 2019;9 034;0,000109;
май 2019;7 783;0,000098;
июнь 2019;7 682;0,000105;
июль 2019;8 459;0,000115;
август 2019;8 094;0,000111;
сентябрь 2019;8 160;0,000103;
октябрь 2019;9 274;0,000104;
ноябрь 2019;9 026;0,000101;
декабрь 2019;8 376;0,000090;
январь 2020;9 039;0,000092;
февраль 2020;9 688;0,000105;
март 2020;9 061;0,000092;
апрель 2020;7 893;0,000066;
май 2020;9 161;0,000085;
июнь 2020;9 295;0,000104;
июль 2020;9 387;0,000111;
август 2020;9 579;0,000114;
сентябрь 2020;10 041;0,000105;
октябрь 2020;10 427;0,000096;
ноябрь 2020;10 889;0,000094;
декабрь 2020;10 589;0,000095;
январь 2021;9 507;0,000091;
февраль 2021;10 738;0,000107;
март 2021;12 198;0,000112;
апрель 2021;12 575;0,000116;
май 2021;10 938;0,000106;
июнь 2021;11 367;0,000114;
июль 2021;11 001;0,000113;
август 2021;12 659;0,000126;
сентябрь 2021;12 955;0,000120;
октябрь 2021;12 537;0,000110;
ноябрь 2021;13 281;0,000114;
декабрь 2021;13 006;0,000109;
январь 2022;12 259;0,000102;
февраль 2022;12 366;0,000104;
март 2022;13 097;0,000102;
апрель 2022;12 975;0,000108;
май 2022;12 818;0,000107;
июнь 2022;12 675;0,000118;
июль 2022;12 430;0,000119;
август 2022;13 386;0,000124;
сентябрь 2022;12 944;0,000110;
октябрь 2022;13 096;0,000105;
ноябрь 2022;14 366;0,000113;
декабрь 2022;11 884;0,000094;
январь 2023;11 866;0,000096;
февраль 2023;12 532;0,000109;
март 2023;14 597;0,000117;
апрель 2023;12 811;0,000110;
май 2023;12 803;0,000113;
июнь 2023;12 792;0,000124;
июль 2023;12 827;0,000127;
август 2023;13 079;0,000130;
сентябрь 2023;13 822;0,000128;
октябрь 2023;14 931;0,000125;
ноябрь 2023;14 327;0,000122;
декабрь 2023;11 875;0,000099;
январь 2024;12 473;0,000103;
февраль 2024;13 427;0,000119;
март 2024;14 228;0,000123;
апрель 2024;14 456;0,000133;
май 2024;13 598;0,000127;
июнь 2024;12 296;0,000131;
июль 2024;13 115;0,000140;
август 2024;12 768;0,000136;
сентябрь 2024;12 771;0,000128;
октябрь 2024;15 012;0,000133;
ноябрь 2024;14 521;0,000124;
декабрь 2024;13 026;0,000108;
январь 2025;13 407;0,000112;
февраль 2025;14 427;0,000126;
март 2025;13 984;0,000116;
апрель 2025;13 788;0,000121;
май 2025;12 219;0,000114;
июнь 2025;13 188;0,000124;
