Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Сидушки на стулья», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;8 597;0,000110;
февраль 2018;7 318;0,000094;
март 2018;7 709;0,000091;
апрель 2018;5 913;0,000078;
май 2018;5 317;0,000070;
июнь 2018;5 099;0,000073;
июль 2018;5 654;0,000080;
август 2018;6 483;0,000091;
сентябрь 2018;6 372;0,000080;
октябрь 2018;8 543;0,000092;
ноябрь 2018;8 207;0,000096;
декабрь 2018;8 322;0,000097;
январь 2019;9 636;0,000109;
февраль 2019;9 067;0,000108;
март 2019;8 687;0,000098;
апрель 2019;7 021;0,000084;
май 2019;6 021;0,000076;
июнь 2019;5 917;0,000081;
июль 2019;7 333;0,000099;
август 2019;7 880;0,000108;
сентябрь 2019;7 906;0,000100;
октябрь 2019;9 288;0,000104;
ноябрь 2019;10 139;0,000114;
декабрь 2019;10 810;0,000116;
январь 2020;12 304;0,000126;
февраль 2020;10 928;0,000118;
март 2020;10 334;0,000105;
апрель 2020;12 108;0,000101;
май 2020;10 713;0,000099;
июнь 2020;9 821;0,000110;
июль 2020;9 247;0,000109;
август 2020;9 212;0,000109;
сентябрь 2020;9 578;0,000100;
октябрь 2020;11 370;0,000105;
ноябрь 2020;14 142;0,000123;
декабрь 2020;14 311;0,000129;
январь 2021;14 869;0,000142;
февраль 2021;13 169;0,000131;
март 2021;13 756;0,000126;
апрель 2021;11 063;0,000102;
май 2021;9 730;0,000094;
июнь 2021;9 201;0,000092;
июль 2021;10 050;0,000103;
август 2021;11 009;0,000109;
сентябрь 2021;11 716;0,000109;
октябрь 2021;12 669;0,000111;
ноябрь 2021;14 462;0,000124;
декабрь 2021;14 115;0,000119;
январь 2022;16 050;0,000134;
февраль 2022;14 689;0,000124;
март 2022;15 133;0,000118;
апрель 2022;13 225;0,000110;
май 2022;12 178;0,000102;
июнь 2022;10 390;0,000096;
июль 2022;11 428;0,000109;
август 2022;11 781;0,000109;
сентябрь 2022;11 163;0,000095;
октябрь 2022;13 058;0,000105;
ноябрь 2022;15 173;0,000120;
декабрь 2022;14 033;0,000111;
январь 2023;14 964;0,000121;
февраль 2023;13 414;0,000117;
март 2023;13 464;0,000108;
апрель 2023;9 960;0,000086;
май 2023;9 431;0,000083;
июнь 2023;9 162;0,000089;
июль 2023;9 385;0,000093;
август 2023;9 733;0,000096;
сентябрь 2023;10 931;0,000101;
октябрь 2023;15 559;0,000130;
ноябрь 2023;15 641;0,000133;
декабрь 2023;14 584;0,000122;
январь 2024;15 397;0,000127;
февраль 2024;14 370;0,000127;
март 2024;12 991;0,000112;
апрель 2024;11 116;0,000102;
май 2024;10 710;0,000100;
июнь 2024;7 705;0,000082;
июль 2024;8 407;0,000090;
август 2024;8 806;0,000094;
сентябрь 2024;8 473;0,000085;
октябрь 2024;11 058;0,000098;
ноябрь 2024;12 842;0,000110;
декабрь 2024;12 826;0,000106;
январь 2025;14 474;0,000121;
февраль 2025;13 392;0,000117;
март 2025;12 176;0,000101;
апрель 2025;9 568;0,000083;
май 2025;8 354;0,000078;
июнь 2025;8 403;0,000079;
