Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Запчасти для генераторов», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 630;0,000046;
февраль 2018;3 506;0,000045;
март 2018;3 642;0,000043;
апрель 2018;3 081;0,000040;
май 2018;3 316;0,000044;
июнь 2018;3 067;0,000044;
июль 2018;3 503;0,000050;
август 2018;3 434;0,000048;
сентябрь 2018;3 339;0,000042;
октябрь 2018;4 356;0,000047;
ноябрь 2018;4 058;0,000047;
декабрь 2018;3 594;0,000042;
январь 2019;3 929;0,000044;
февраль 2019;3 778;0,000045;
март 2019;3 476;0,000039;
апрель 2019;3 266;0,000039;
май 2019;3 059;0,000038;
июнь 2019;3 034;0,000041;
июль 2019;3 131;0,000042;
август 2019;3 073;0,000042;
сентябрь 2019;3 140;0,000039;
октябрь 2019;3 184;0,000035;
ноябрь 2019;3 572;0,000040;
декабрь 2019;3 408;0,000036;
январь 2020;3 445;0,000035;
февраль 2020;3 344;0,000036;
март 2020;3 215;0,000032;
апрель 2020;2 788;0,000023;
май 2020;3 196;0,000029;
июнь 2020;3 496;0,000039;
июль 2020;3 863;0,000045;
август 2020;3 308;0,000039;
сентябрь 2020;3 403;0,000035;
октябрь 2020;3 618;0,000033;
ноябрь 2020;3 832;0,000033;
декабрь 2020;3 921;0,000035;
январь 2021;4 267;0,000040;
февраль 2021;3 587;0,000035;
март 2021;4 120;0,000037;
апрель 2021;4 099;0,000038;
май 2021;3 739;0,000036;
июнь 2021;3 979;0,000040;
июль 2021;3 854;0,000039;
август 2021;4 293;0,000042;
сентябрь 2021;4 217;0,000039;
октябрь 2021;4 212;0,000037;
ноябрь 2021;4 751;0,000040;
декабрь 2021;4 902;0,000041;
январь 2022;4 684;0,000039;
февраль 2022;3 997;0,000033;
март 2022;4 486;0,000035;
апрель 2022;3 702;0,000030;
май 2022;3 833;0,000032;
июнь 2022;3 960;0,000036;
июль 2022;4 084;0,000039;
август 2022;4 023;0,000037;
сентябрь 2022;3 668;0,000031;
октябрь 2022;4 029;0,000032;
ноябрь 2022;4 582;0,000036;
декабрь 2022;4 221;0,000033;
январь 2023;4 475;0,000036;
февраль 2023;4 012;0,000035;
март 2023;3 752;0,000030;
апрель 2023;3 245;0,000028;
май 2023;3 378;0,000029;
июнь 2023;3 175;0,000030;
июль 2023;3 550;0,000035;
август 2023;3 620;0,000036;
сентябрь 2023;3 117;0,000028;
октябрь 2023;3 679;0,000030;
ноябрь 2023;4 573;0,000038;
декабрь 2023;4 688;0,000039;
январь 2024;4 599;0,000038;
февраль 2024;3 785;0,000033;
март 2024;3 206;0,000027;
апрель 2024;3 233;0,000029;
май 2024;3 484;0,000032;
июнь 2024;3 074;0,000032;
июль 2024;3 750;0,000040;
август 2024;2 933;0,000031;
сентябрь 2024;2 808;0,000028;
октябрь 2024;3 195;0,000028;
ноябрь 2024;3 885;0,000033;
декабрь 2024;3 720;0,000031;
январь 2025;3 812;0,000032;
февраль 2025;3 418;0,000029;
март 2025;3 477;0,000029;
апрель 2025;3 213;0,000028;
май 2025;3 425;0,000032;
июнь 2025;2 847;0,000026;
