Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Инструмент для прочистки канализации», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;115;0,00000148;
февраль 2018;146;0,00000188;
март 2018;196;0,00000233;
апрель 2018;171;0,00000225;
май 2018;185;0,00000246;
июнь 2018;121;0,00000174;
июль 2018;138;0,00000197;
август 2018;94;0,00000133;
сентябрь 2018;93;0,00000117;
октябрь 2018;65;0,00000070;
ноябрь 2018;95;0,00000111;
декабрь 2018;137;0,00000160;
январь 2019;124;0,00000140;
февраль 2019;134;0,00000159;
март 2019;95;0,00000108;
апрель 2019;91;0,00000110;
май 2019;86;0,00000108;
июнь 2019;78;0,00000107;
июль 2019;112;0,00000152;
август 2019;128;0,00000176;
сентябрь 2019;120;0,00000152;
октябрь 2019;120;0,00000135;
ноябрь 2019;127;0,00000143;
декабрь 2019;88;0,00000094;
январь 2020;164;0,00000168;
февраль 2020;107;0,00000116;
март 2020;76;0,00000077;
апрель 2020;88;0,00000073;
май 2020;96;0,00000089;
июнь 2020;90;0,00000100;
июль 2020;92;0,00000109;
август 2020;96;0,00000114;
сентябрь 2020;105;0,00000110;
октябрь 2020;123;0,00000114;
ноябрь 2020;129;0,00000112;
декабрь 2020;158;0,00000142;
январь 2021;149;0,00000142;
февраль 2021;158;0,00000158;
март 2021;170;0,00000156;
апрель 2021;128;0,00000118;
май 2021;101;0,00000097;
июнь 2021;141;0,00000142;
июль 2021;110;0,00000113;
август 2021;147;0,00000146;
сентябрь 2021;143;0,00000133;
октябрь 2021;154;0,00000135;
ноябрь 2021;162;0,00000139;
декабрь 2021;180;0,00000151;
январь 2022;247;0,00000207;
февраль 2022;188;0,00000159;
март 2022;189;0,00000148;
апрель 2022;145;0,00000121;
май 2022;141;0,00000118;
июнь 2022;133;0,00000124;
июль 2022;140;0,00000134;
август 2022;176;0,00000163;
сентябрь 2022;149;0,00000127;
октябрь 2022;148;0,00000119;
ноябрь 2022;278;0,00000220;
декабрь 2022;210;0,00000166;
январь 2023;222;0,00000180;
февраль 2023;205;0,00000179;
март 2023;294;0,00000236;
апрель 2023;193;0,00000167;
май 2023;157;0,00000138;
июнь 2023;163;0,00000158;
июль 2023;137;0,00000135;
август 2023;163;0,00000162;
сентябрь 2023;173;0,00000160;
октябрь 2023;157;0,00000131;
ноябрь 2023;193;0,00000164;
декабрь 2023;205;0,00000171;
январь 2024;267;0,00000221;
февраль 2024;202;0,00000179;
март 2024;175;0,00000151;
апрель 2024;181;0,00000166;
май 2024;156;0,00000146;
июнь 2024;167;0,00000178;
июль 2024;140;0,00000150;
август 2024;136;0,00000145;
сентябрь 2024;143;0,00000143;
октябрь 2024;213;0,00000189;
ноябрь 2024;224;0,00000192;
декабрь 2024;273;0,00000227;
январь 2025;291;0,00000245;
февраль 2025;194;0,00000170;
март 2025;240;0,00000200;
апрель 2025;216;0,00000189;
май 2025;200;0,00000187;
июнь 2025;160;0,00000151;
