Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Разветвители электрические», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;370;0,0000047;
февраль 2018;299;0,0000038;
март 2018;360;0,0000042;
апрель 2018;407;0,0000053;
май 2018;354;0,0000047;
июнь 2018;361;0,0000052;
июль 2018;493;0,0000070;
август 2018;407;0,0000057;
сентябрь 2018;375;0,0000047;
октябрь 2018;696;0,0000075;
ноябрь 2018;593;0,0000069;
декабрь 2018;459;0,0000053;
январь 2019;424;0,0000048;
февраль 2019;401;0,0000047;
март 2019;424;0,0000048;
апрель 2019;357;0,0000043;
май 2019;466;0,0000058;
июнь 2019;418;0,0000057;
июль 2019;450;0,0000061;
август 2019;401;0,0000055;
сентябрь 2019;483;0,0000061;
октябрь 2019;575;0,0000064;
ноябрь 2019;583;0,0000065;
декабрь 2019;621;0,0000066;
январь 2020;581;0,0000059;
февраль 2020;609;0,0000066;
март 2020;558;0,0000056;
апрель 2020;546;0,0000045;
май 2020;727;0,0000067;
июнь 2020;572;0,0000064;
июль 2020;638;0,0000075;
август 2020;559;0,0000066;
сентябрь 2020;592;0,0000062;
октябрь 2020;702;0,0000065;
ноябрь 2020;788;0,0000068;
декабрь 2020;801;0,0000072;
январь 2021;695;0,0000066;
февраль 2021;666;0,0000066;
март 2021;732;0,0000067;
апрель 2021;1 231;0,0000114;
май 2021;771;0,0000074;
июнь 2021;796;0,0000080;
июль 2021;1 039;0,0000107;
август 2021;1 197;0,0000119;
сентябрь 2021;1 292;0,0000120;
октябрь 2021;1 372;0,0000120;
ноябрь 2021;1 348;0,0000116;
декабрь 2021;1 399;0,0000118;
январь 2022;1 438;0,0000120;
февраль 2022;1 099;0,0000093;
март 2022;982;0,0000077;
апрель 2022;919;0,0000076;
май 2022;923;0,0000077;
июнь 2022;847;0,0000079;
июль 2022;917;0,0000087;
август 2022;1 007;0,0000093;
сентябрь 2022;927;0,0000079;
октябрь 2022;997;0,0000080;
ноябрь 2022;1 309;0,0000103;
декабрь 2022;1 713;0,0000136;
январь 2023;1 123;0,0000091;
февраль 2023;997;0,0000087;
март 2023;1 179;0,0000094;
апрель 2023;938;0,0000081;
май 2023;1 145;0,0000101;
июнь 2023;1 051;0,0000102;
июль 2023;1 193;0,0000118;
август 2023;1 046;0,0000104;
сентябрь 2023;1 064;0,0000098;
октябрь 2023;1 230;0,0000103;
ноябрь 2023;2 178;0,0000185;
декабрь 2023;1 504;0,0000125;
январь 2024;1 365;0,0000113;
февраль 2024;1 083;0,0000096;
март 2024;1 057;0,0000091;
апрель 2024;934;0,0000086;
май 2024;940;0,0000088;
июнь 2024;958;0,0000102;
июль 2024;991;0,0000106;
август 2024;916;0,0000097;
сентябрь 2024;1 002;0,0000100;
октябрь 2024;1 138;0,0000101;
ноябрь 2024;1 236;0,0000106;
декабрь 2024;1 450;0,0000120;
январь 2025;1 394;0,0000117;
февраль 2025;1 230;0,0000107;
март 2025;1 230;0,0000102;
апрель 2025;1 113;0,0000097;
май 2025;1 156;0,0000108;
июнь 2025;1 060;0,0000100;
