Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Подложка рулонная», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;607;0,0000078;
февраль 2018;677;0,0000087;
март 2018;692;0,0000082;
апрель 2018;584;0,0000077;
май 2018;562;0,0000074;
июнь 2018;567;0,0000081;
июль 2018;627;0,0000089;
август 2018;657;0,0000093;
сентябрь 2018;651;0,0000082;
октябрь 2018;953;0,0000103;
ноябрь 2018;754;0,0000088;
декабрь 2018;742;0,0000086;
январь 2019;655;0,0000074;
февраль 2019;687;0,0000081;
март 2019;777;0,0000088;
апрель 2019;706;0,0000085;
май 2019;627;0,0000079;
июнь 2019;670;0,0000092;
июль 2019;847;0,0000115;
август 2019;693;0,0000095;
сентябрь 2019;714;0,0000090;
октябрь 2019;777;0,0000087;
ноябрь 2019;812;0,0000091;
декабрь 2019;772;0,0000083;
январь 2020;803;0,0000082;
февраль 2020;792;0,0000086;
март 2020;895;0,0000091;
апрель 2020;809;0,0000067;
май 2020;1 013;0,0000094;
июнь 2020;1 026;0,0000115;
июль 2020;872;0,0000103;
август 2020;973;0,0000116;
сентябрь 2020;852;0,0000089;
октябрь 2020;978;0,0000090;
ноябрь 2020;1 112;0,0000097;
декабрь 2020;924;0,0000083;
январь 2021;880;0,0000084;
февраль 2021;966;0,0000096;
март 2021;1 001;0,0000091;
апрель 2021;1 021;0,0000094;
май 2021;1 037;0,0000100;
июнь 2021;1 017;0,0000102;
июль 2021;977;0,0000100;
август 2021;1 137;0,0000113;
сентябрь 2021;1 052;0,0000098;
октябрь 2021;1 144;0,0000100;
ноябрь 2021;1 431;0,0000123;
декабрь 2021;1 251;0,0000105;
январь 2022;1 029;0,0000086;
февраль 2022;1 190;0,0000100;
март 2022;1 596;0,0000125;
апрель 2022;1 275;0,0000106;
май 2022;1 272;0,0000106;
июнь 2022;1 077;0,0000100;
июль 2022;1 194;0,0000114;
август 2022;1 136;0,0000105;
сентябрь 2022;1 165;0,0000099;
октябрь 2022;1 028;0,0000083;
ноябрь 2022;1 383;0,0000109;
декабрь 2022;1 283;0,0000101;
январь 2023;1 266;0,0000102;
февраль 2023;1 055;0,0000092;
март 2023;1 357;0,0000109;
апрель 2023;1 146;0,0000099;
май 2023;1 264;0,0000111;
июнь 2023;1 322;0,0000128;
июль 2023;1 388;0,0000137;
август 2023;1 403;0,0000139;
сентябрь 2023;1 360;0,0000126;
октябрь 2023;1 575;0,0000132;
ноябрь 2023;1 536;0,0000130;
декабрь 2023;1 346;0,0000112;
январь 2024;1 286;0,0000106;
февраль 2024;1 258;0,0000112;
март 2024;1 262;0,0000109;
апрель 2024;1 334;0,0000122;
май 2024;1 305;0,0000122;
июнь 2024;1 333;0,0000142;
июль 2024;1 266;0,0000136;
август 2024;1 167;0,0000124;
сентябрь 2024;1 165;0,0000117;
октябрь 2024;1 291;0,0000115;
ноябрь 2024;1 275;0,0000109;
декабрь 2024;1 238;0,0000103;
январь 2025;1 256;0,0000105;
февраль 2025;1 275;0,0000111;
март 2025;1 331;0,0000111;
апрель 2025;1 167;0,0000102;
май 2025;1 189;0,0000111;
июнь 2025;1 410;0,0000133;
