Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Наличники дверные», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;5 345;0,000068;
февраль 2018;5 584;0,000072;
март 2018;5 879;0,000069;
апрель 2018;5 073;0,000066;
май 2018;5 104;0,000067;
июнь 2018;5 026;0,000072;
июль 2018;5 591;0,000079;
август 2018;6 250;0,000088;
сентябрь 2018;5 817;0,000073;
октябрь 2018;7 284;0,000079;
ноябрь 2018;6 743;0,000079;
декабрь 2018;6 519;0,000076;
январь 2019;6 350;0,000072;
февраль 2019;6 383;0,000076;
март 2019;7 125;0,000081;
апрель 2019;5 850;0,000070;
май 2019;5 041;0,000063;
июнь 2019;5 177;0,000071;
июль 2019;6 143;0,000083;
август 2019;6 224;0,000085;
сентябрь 2019;6 055;0,000076;
октябрь 2019;6 736;0,000076;
ноябрь 2019;7 331;0,000082;
декабрь 2019;7 547;0,000081;
январь 2020;7 742;0,000079;
февраль 2020;7 761;0,000084;
март 2020;7 032;0,000071;
апрель 2020;6 888;0,000057;
май 2020;7 272;0,000067;
июнь 2020;7 888;0,000088;
июль 2020;9 187;0,000109;
август 2020;9 217;0,000109;
сентябрь 2020;8 668;0,000091;
октябрь 2020;10 222;0,000095;
ноябрь 2020;11 955;0,000104;
декабрь 2020;11 426;0,000103;
январь 2021;11 049;0,000105;
февраль 2021;10 142;0,000101;
март 2021;10 647;0,000097;
апрель 2021;9 259;0,000085;
май 2021;8 320;0,000080;
июнь 2021;8 481;0,000085;
июль 2021;10 745;0,000110;
август 2021;11 545;0,000115;
сентябрь 2021;10 483;0,000097;
октябрь 2021;11 059;0,000097;
ноябрь 2021;12 172;0,000105;
декабрь 2021;11 778;0,000099;
январь 2022;11 851;0,000099;
февраль 2022;10 582;0,000089;
март 2022;11 339;0,000088;
апрель 2022;10 731;0,000089;
май 2022;10 015;0,000083;
июнь 2022;9 806;0,000091;
июль 2022;10 476;0,000100;
август 2022;11 521;0,000106;
сентябрь 2022;9 808;0,000083;
октябрь 2022;11 091;0,000089;
ноябрь 2022;12 715;0,000100;
декабрь 2022;11 622;0,000092;
январь 2023;11 553;0,000093;
февраль 2023;11 900;0,000104;
март 2023;12 369;0,000099;
апрель 2023;10 248;0,000088;
май 2023;9 992;0,000088;
июнь 2023;9 737;0,000094;
июль 2023;11 317;0,000112;
август 2023;11 645;0,000115;
сентябрь 2023;11 097;0,000103;
октябрь 2023;13 063;0,000109;
ноябрь 2023;14 251;0,000121;
декабрь 2023;12 890;0,000107;
январь 2024;12 674;0,000105;
февраль 2024;12 633;0,000112;
март 2024;12 323;0,000106;
апрель 2024;11 199;0,000103;
май 2024;10 663;0,000100;
июнь 2024;10 004;0,000107;
июль 2024;11 355;0,000121;
август 2024;11 981;0,000128;
сентябрь 2024;11 222;0,000112;
октябрь 2024;13 489;0,000120;
ноябрь 2024;15 390;0,000132;
декабрь 2024;15 132;0,000126;
январь 2025;15 553;0,000131;
февраль 2025;15 102;0,000132;
март 2025;14 450;0,000120;
апрель 2025;12 426;0,000109;
май 2025;12 007;0,000112;
июнь 2025;12 665;0,000119;
