Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Пирометры», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;40 843;0,00052;
февраль 2018;45 753;0,00059;
март 2018;39 111;0,00046;
апрель 2018;29 889;0,00039;
май 2018;27 472;0,00036;
июнь 2018;25 772;0,00037;
июль 2018;25 652;0,00036;
август 2018;27 838;0,00039;
сентябрь 2018;30 770;0,00038;
октябрь 2018;45 191;0,00049;
ноябрь 2018;50 616;0,00059;
декабрь 2018;48 506;0,00056;
январь 2019;45 056;0,00051;
февраль 2019;44 854;0,00053;
март 2019;39 585;0,00045;
апрель 2019;33 916;0,00041;
май 2019;29 426;0,00037;
июнь 2019;27 587;0,00038;
июль 2019;27 038;0,00036;
август 2019;28 127;0,00038;
сентябрь 2019;33 751;0,00042;
октябрь 2019;44 956;0,00050;
ноябрь 2019;53 954;0,00060;
декабрь 2019;55 717;0,00060;
январь 2020;49 463;0,00050;
февраль 2020;62 970;0,00068;
март 2020;311 413;0,00316;
апрель 2020;139 726;0,00116;
май 2020;77 136;0,00071;
июнь 2020;60 776;0,00068;
июль 2020;45 780;0,00054;
август 2020;45 054;0,00053;
сентябрь 2020;57 613;0,00060;
октябрь 2020;66 529;0,00061;
ноябрь 2020;69 952;0,00061;
декабрь 2020;72 725;0,00065;
январь 2021;59 446;0,00056;
февраль 2021;62 261;0,00062;
март 2021;55 036;0,00050;
апрель 2021;45 507;0,00042;
май 2021;38 609;0,00037;
июнь 2021;43 071;0,00043;
июль 2021;38 439;0,00039;
август 2021;41 731;0,00041;
сентябрь 2021;48 893;0,00045;
октябрь 2021;54 415;0,00047;
ноябрь 2021;63 806;0,00055;
декабрь 2021;69 819;0,00058;
январь 2022;57 150;0,00047;
февраль 2022;51 506;0,00043;
март 2022;44 422;0,00034;
апрель 2022;40 945;0,00034;
май 2022;36 422;0,00030;
июнь 2022;37 423;0,00034;
июль 2022;32 325;0,00030;
август 2022;34 332;0,00031;
сентябрь 2022;38 744;0,00033;
октябрь 2022;45 123;0,00036;
ноябрь 2022;64 755;0,00051;
декабрь 2022;69 816;0,00055;
январь 2023;58 477;0,00047;
февраль 2023;50 461;0,00044;
март 2023;51 183;0,00041;
апрель 2023;40 168;0,00034;
май 2023;37 316;0,00032;
июнь 2023;34 835;0,00033;
июль 2023;30 708;0,00030;
август 2023;32 338;0,00032;
сентябрь 2023;37 636;0,00034;
октябрь 2023;53 868;0,00045;
ноябрь 2023;60 495;0,00051;
декабрь 2023;66 876;0,00056;
январь 2024;63 423;0,00052;
февраль 2024;53 078;0,00047;
март 2024;45 040;0,00039;
апрель 2024;40 163;0,00037;
май 2024;37 700;0,00035;
июнь 2024;32 384;0,00034;
июль 2024;32 075;0,00034;
август 2024;28 316;0,00030;
сентябрь 2024;31 896;0,00032;
октябрь 2024;46 949;0,00041;
ноябрь 2024;56 269;0,00048;
декабрь 2024;59 618;0,00049;
январь 2025;47 952;0,00040;
февраль 2025;54 270;0,00047;
март 2025;55 094;0,00045;
апрель 2025;42 826;0,00037;
май 2025;33 632;0,00031;
июнь 2025;34 746;0,00032;
