Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Газовые шланги», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;31 697;0,00040;
февраль 2018;32 273;0,00041;
март 2018;35 906;0,00042;
апрель 2018;33 277;0,00043;
май 2018;32 719;0,00043;
июнь 2018;32 810;0,00047;
июль 2018;35 130;0,00050;
август 2018;38 474;0,00054;
сентябрь 2018;39 056;0,00049;
октябрь 2018;55 416;0,00060;
ноябрь 2018;44 761;0,00052;
декабрь 2018;43 313;0,00050;
январь 2019;53 512;0,00060;
февраль 2019;46 267;0,00055;
март 2019;45 590;0,00051;
апрель 2019;43 264;0,00052;
май 2019;40 108;0,00050;
июнь 2019;39 797;0,00054;
июль 2019;45 410;0,00061;
август 2019;46 056;0,00063;
сентябрь 2019;45 117;0,00057;
октябрь 2019;50 137;0,00056;
ноябрь 2019;51 073;0,00057;
декабрь 2019;54 162;0,00058;
январь 2020;48 288;0,00049;
февраль 2020;47 527;0,00051;
март 2020;47 106;0,00047;
апрель 2020;40 980;0,00034;
май 2020;48 795;0,00045;
июнь 2020;48 990;0,00054;
июль 2020;52 192;0,00061;
август 2020;53 754;0,00064;
сентябрь 2020;56 106;0,00059;
октябрь 2020;61 130;0,00056;
ноябрь 2020;64 908;0,00056;
декабрь 2020;65 053;0,00058;
январь 2021;53 857;0,00051;
февраль 2021;55 170;0,00055;
март 2021;60 755;0,00055;
апрель 2021;61 752;0,00057;
май 2021;56 376;0,00054;
июнь 2021;58 622;0,00059;
июль 2021;62 811;0,00064;
август 2021;69 243;0,00069;
сентябрь 2021;75 485;0,00070;
октябрь 2021;73 044;0,00064;
ноябрь 2021;73 612;0,00063;
декабрь 2021;76 147;0,00064;
январь 2022;62 315;0,00052;
февраль 2022;57 969;0,00049;
март 2022;67 995;0,00053;
апрель 2022;69 261;0,00057;
май 2022;68 688;0,00057;
июнь 2022;65 323;0,00060;
июль 2022;65 866;0,00063;
август 2022;67 832;0,00062;
сентябрь 2022;67 763;0,00057;
октябрь 2022;70 242;0,00056;
ноябрь 2022;75 746;0,00060;
декабрь 2022;73 501;0,00058;
январь 2023;63 525;0,00051;
февраль 2023;66 912;0,00058;
март 2023;70 669;0,00056;
апрель 2023;64 721;0,00056;
май 2023;66 287;0,00058;
июнь 2023;66 278;0,00064;
июль 2023;70 258;0,00069;
август 2023;70 189;0,00069;
сентябрь 2023;73 825;0,00068;
октябрь 2023;88 274;0,00074;
ноябрь 2023;88 718;0,00075;
декабрь 2023;76 870;0,00064;
январь 2024;67 374;0,00055;
февраль 2024;64 401;0,00057;
март 2024;64 337;0,00055;
апрель 2024;65 185;0,00060;
май 2024;64 835;0,00060;
июнь 2024;60 257;0,00064;
июль 2024;66 467;0,00071;
август 2024;69 916;0,00074;
сентябрь 2024;68 110;0,00068;
октябрь 2024;80 218;0,00071;
ноябрь 2024;79 860;0,00068;
декабрь 2024;77 131;0,00064;
январь 2025;65 336;0,00055;
февраль 2025;68 834;0,00060;
март 2025;71 079;0,00059;
апрель 2025;64 678;0,00056;
май 2025;62 840;0,00058;
июнь 2025;67 372;0,00063;
