Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Сосуды для масла, соусов и специй», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 784;0,000022;
февраль 2018;2 030;0,000026;
март 2018;2 349;0,000027;
апрель 2018;1 456;0,000019;
май 2018;1 332;0,000017;
июнь 2018;1 269;0,000018;
июль 2018;1 226;0,000017;
август 2018;1 580;0,000022;
сентябрь 2018;1 683;0,000021;
октябрь 2018;2 258;0,000024;
ноябрь 2018;2 169;0,000025;
декабрь 2018;2 113;0,000024;
январь 2019;2 544;0,000028;
февраль 2019;2 617;0,000031;
март 2019;2 667;0,000030;
апрель 2019;1 948;0,000023;
май 2019;1 643;0,000020;
июнь 2019;1 532;0,000021;
июль 2019;1 701;0,000023;
август 2019;5 386;0,000074;
сентябрь 2019;3 962;0,000050;
октябрь 2019;3 864;0,000043;
ноябрь 2019;3 340;0,000037;
декабрь 2019;2 896;0,000031;
январь 2020;3 639;0,000037;
февраль 2020;3 242;0,000035;
март 2020;3 508;0,000035;
апрель 2020;5 692;0,000047;
май 2020;3 655;0,000034;
июнь 2020;1 814;0,000020;
июль 2020;1 737;0,000020;
август 2020;1 826;0,000021;
сентябрь 2020;1 766;0,000018;
октябрь 2020;2 412;0,000022;
ноябрь 2020;4 564;0,000039;
декабрь 2020;4 645;0,000042;
январь 2021;2 951;0,000028;
февраль 2021;3 889;0,000038;
март 2021;3 772;0,000034;
апрель 2021;2 570;0,000023;
май 2021;2 133;0,000020;
июнь 2021;1 665;0,000016;
июль 2021;1 579;0,000016;
август 2021;2 075;0,000020;
сентябрь 2021;1 781;0,000016;
октябрь 2021;2 463;0,000021;
ноябрь 2021;2 167;0,000018;
декабрь 2021;2 261;0,000019;
январь 2022;2 556;0,000021;
февраль 2022;4 688;0,000039;
март 2022;3 063;0,000024;
апрель 2022;2 283;0,000019;
май 2022;2 439;0,000020;
июнь 2022;2 196;0,000020;
июль 2022;1 921;0,000018;
август 2022;2 136;0,000019;
сентябрь 2022;1 973;0,000016;
октябрь 2022;2 752;0,000022;
ноябрь 2022;2 711;0,000021;
декабрь 2022;3 514;0,000027;
январь 2023;3 153;0,000025;
февраль 2023;4 637;0,000040;
март 2023;4 155;0,000033;
апрель 2023;2 731;0,000023;
май 2023;2 734;0,000024;
июнь 2023;2 069;0,000020;
июль 2023;2 072;0,000020;
август 2023;2 008;0,000019;
сентябрь 2023;2 147;0,000019;
октябрь 2023;3 083;0,000025;
ноябрь 2023;3 119;0,000026;
декабрь 2023;2 921;0,000024;
январь 2024;3 224;0,000026;
февраль 2024;5 080;0,000045;
март 2024;4 129;0,000035;
апрель 2024;3 126;0,000028;
май 2024;3 098;0,000029;
июнь 2024;1 964;0,000021;
июль 2024;1 807;0,000019;
август 2024;1 718;0,000018;
сентябрь 2024;2 076;0,000020;
октябрь 2024;2 514;0,000022;
ноябрь 2024;2 789;0,000023;
декабрь 2024;2 631;0,000021;
январь 2025;3 980;0,000033;
февраль 2025;6 217;0,000054;
март 2025;4 779;0,000039;
апрель 2025;2 752;0,000024;
май 2025;3 261;0,000030;
июнь 2025;2 056;0,000019;
