Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Доска террасная», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;44 311;0,00057;
февраль 2018;48 482;0,00062;
март 2018;67 344;0,00080;
апрель 2018;107 998;0,00142;
май 2018;173 252;0,00230;
июнь 2018;160 631;0,00231;
июль 2018;166 333;0,00237;
август 2018;158 255;0,00224;
сентябрь 2018;123 283;0,00155;
октябрь 2018;104 336;0,00113;
ноябрь 2018;62 664;0,00073;
декабрь 2018;34 871;0,00040;
январь 2019;42 753;0,00048;
февраль 2019;54 178;0,00064;
март 2019;84 741;0,00096;
апрель 2019;136 932;0,00165;
май 2019;170 611;0,00215;
июнь 2019;173 620;0,00239;
июль 2019;167 195;0,00227;
август 2019;137 662;0,00189;
сентябрь 2019;119 777;0,00152;
октябрь 2019;101 583;0,00114;
ноябрь 2019;75 088;0,00084;
декабрь 2019;61 011;0,00065;
январь 2020;62 218;0,00063;
февраль 2020;69 676;0,00075;
март 2020;103 311;0,00105;
апрель 2020;149 856;0,00125;
май 2020;259 638;0,00242;
июнь 2020;267 039;0,00299;
июль 2020;242 015;0,00287;
август 2020;201 358;0,00240;
сентябрь 2020;158 764;0,00167;
октябрь 2020;136 207;0,00126;
ноябрь 2020;99 972;0,00087;
декабрь 2020;74 228;0,00067;
январь 2021;70 284;0,00067;
февраль 2021;91 173;0,00091;
март 2021;118 448;0,00108;
апрель 2021;215 857;0,00200;
май 2021;276 632;0,00268;
июнь 2021;324 699;0,00327;
июль 2021;306 861;0,00316;
август 2021;302 662;0,00301;
сентябрь 2021;214 300;0,00200;
октябрь 2021;146 171;0,00128;
ноябрь 2021;110 131;0,00095;
декабрь 2021;72 876;0,00061;
январь 2022;74 116;0,00062;
февраль 2022;92 033;0,00077;
март 2022;140 792;0,00110;
апрель 2022;203 777;0,00170;
май 2022;276 191;0,00231;
июнь 2022;281 392;0,00262;
июль 2022;272 299;0,00261;
август 2022;256 212;0,00237;
сентябрь 2022;157 552;0,00134;
октябрь 2022;116 556;0,00094;
ноябрь 2022;82 674;0,00065;
декабрь 2022;51 574;0,00040;
январь 2023;61 222;0,00049;
февраль 2023;75 173;0,00065;
март 2023;126 967;0,00102;
апрель 2023;205 250;0,00177;
май 2023;260 456;0,00230;
июнь 2023;259 073;0,00252;
июль 2023;246 921;0,00244;
август 2023;224 355;0,00223;
сентябрь 2023;172 160;0,00160;
октябрь 2023;132 566;0,00111;
ноябрь 2023;86 980;0,00074;
декабрь 2023;49 456;0,00041;
январь 2024;61 595;0,00051;
февраль 2024;90 845;0,00080;
март 2024;137 873;0,00119;
апрель 2024;225 392;0,00207;
май 2024;277 735;0,00260;
июнь 2024;266 708;0,00285;
июль 2024;264 053;0,00283;
август 2024;230 018;0,00246;
сентябрь 2024;183 590;0,00184;
октябрь 2024;142 819;0,00127;
ноябрь 2024;105 239;0,00090;
декабрь 2024;86 711;0,00072;
январь 2025;104 462;0,00088;
февраль 2025;109 696;0,00096;
март 2025;182 271;0,00152;
апрель 2025;244 504;0,00214;
май 2025;291 394;0,00272;
июнь 2025;342 294;0,00324;
