Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Строительные вышки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;4 375;0,000056;
февраль 2018;4 999;0,000064;
март 2018;5 468;0,000065;
апрель 2018;5 649;0,000074;
май 2018;6 293;0,000083;
июнь 2018;6 719;0,000096;
июль 2018;7 373;0,000105;
август 2018;7 444;0,000105;
сентябрь 2018;6 765;0,000085;
октябрь 2018;7 679;0,000083;
ноябрь 2018;5 832;0,000068;
декабрь 2018;3 780;0,000044;
январь 2019;4 049;0,000045;
февраль 2019;4 716;0,000056;
март 2019;5 425;0,000061;
апрель 2019;5 346;0,000064;
май 2019;4 758;0,000060;
июнь 2019;4 832;0,000066;
июль 2019;4 892;0,000066;
август 2019;4 667;0,000064;
сентябрь 2019;4 507;0,000057;
октябрь 2019;4 613;0,000052;
ноябрь 2019;4 264;0,000048;
декабрь 2019;4 017;0,000043;
январь 2020;4 180;0,000042;
февраль 2020;4 586;0,000049;
март 2020;4 709;0,000047;
апрель 2020;4 204;0,000035;
май 2020;5 849;0,000054;
июнь 2020;5 989;0,000067;
июль 2020;6 202;0,000073;
август 2020;6 463;0,000077;
сентябрь 2020;6 382;0,000067;
октябрь 2020;5 759;0,000053;
ноябрь 2020;5 368;0,000046;
декабрь 2020;5 089;0,000046;
январь 2021;4 601;0,000044;
февраль 2021;5 318;0,000053;
март 2021;6 102;0,000056;
апрель 2021;7 200;0,000066;
май 2021;6 568;0,000063;
июнь 2021;7 701;0,000077;
июль 2021;7 523;0,000077;
август 2021;7 846;0,000078;
сентябрь 2021;7 585;0,000070;
октябрь 2021;6 621;0,000058;
ноябрь 2021;5 973;0,000051;
декабрь 2021;5 472;0,000046;
январь 2022;5 469;0,000045;
февраль 2022;6 181;0,000052;
март 2022;6 589;0,000051;
апрель 2022;6 539;0,000054;
май 2022;6 820;0,000057;
июнь 2022;7 307;0,000068;
июль 2022;7 713;0,000073;
август 2022;7 954;0,000073;
сентябрь 2022;6 610;0,000056;
октябрь 2022;5 404;0,000043;
ноябрь 2022;5 867;0,000046;
декабрь 2022;4 784;0,000038;
январь 2023;4 701;0,000038;
февраль 2023;5 401;0,000047;
март 2023;6 938;0,000055;
апрель 2023;7 273;0,000063;
май 2023;7 867;0,000069;
июнь 2023;9 381;0,000091;
июль 2023;8 550;0,000084;
август 2023;8 901;0,000088;
сентябрь 2023;8 579;0,000079;
октябрь 2023;9 346;0,000078;
ноябрь 2023;7 383;0,000062;
декабрь 2023;6 242;0,000052;
январь 2024;5 745;0,000047;
февраль 2024;7 183;0,000063;
март 2024;7 237;0,000062;
апрель 2024;8 216;0,000075;
май 2024;8 181;0,000076;
июнь 2024;7 603;0,000081;
июль 2024;7 935;0,000085;
август 2024;6 856;0,000073;
сентябрь 2024;7 563;0,000076;
октябрь 2024;7 212;0,000064;
ноябрь 2024;6 222;0,000053;
декабрь 2024;6 192;0,000051;
январь 2025;5 477;0,000046;
февраль 2025;7 176;0,000062;
март 2025;7 835;0,000065;
апрель 2025;6 728;0,000059;
май 2025;7 211;0,000067;
июнь 2025;8 506;0,000080;
