Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Фонари», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;1 270 076;0,016;
февраль 2018;1 404 388;0,018;
март 2018;1 476 554;0,017;
апрель 2018;1 456 599;0,019;
май 2018;1 638 563;0,021;
июнь 2018;1 703 825;0,024;
июль 2018;1 731 254;0,024;
август 2018;1 808 895;0,025;
сентябрь 2018;1 875 961;0,023;
октябрь 2018;2 019 900;0,021;
ноябрь 2018;1 772 537;0,020;
декабрь 2018;1 680 117;0,019;
январь 2019;1 635 035;0,018;
февраль 2019;1 651 172;0,019;
март 2019;1 627 253;0,018;
апрель 2019;1 607 209;0,019;
май 2019;1 528 504;0,019;
июнь 2019;1 345 656;0,018;
июль 2019;1 334 570;0,018;
август 2019;1 405 382;0,019;
сентябрь 2019;1 416 429;0,018;
октябрь 2019;1 641 358;0,018;
ноябрь 2019;1 691 154;0,019;
декабрь 2019;1 736 925;0,018;
январь 2020;1 696 673;0,017;
февраль 2020;1 700 653;0,018;
март 2020;1 556 899;0,015;
апрель 2020;1 834 745;0,015;
май 2020;1 656 324;0,015;
июнь 2020;1 455 080;0,016;
июль 2020;1 477 574;0,017;
август 2020;1 571 501;0,018;
сентябрь 2020;1 651 572;0,017;
октябрь 2020;2 002 840;0,018;
ноябрь 2020;2 058 716;0,017;
декабрь 2020;2 009 592;0,018;
январь 2021;1 781 334;0,017;
февраль 2021;1 859 606;0,018;
март 2021;1 875 006;0,017;
апрель 2021;1 821 347;0,016;
май 2021;1 651 347;0,016;
июнь 2021;1 617 615;0,016;
июль 2021;1 699 447;0,017;
август 2021;1 990 516;0,019;
сентябрь 2021;2 026 695;0,018;
октябрь 2021;2 178 299;0,019;
ноябрь 2021;2 315 069;0,019;
декабрь 2021;2 608 733;0,022;
январь 2022;2 561 764;0,021;
февраль 2022;2 529 497;0,021;
март 2022;2 153 260;0,016;
апрель 2022;2 212 971;0,018;
май 2022;2 083 641;0,017;
июнь 2022;1 886 850;0,017;
июль 2022;1 894 781;0,018;
август 2022;2 070 955;0,019;
сентябрь 2022;2 119 379;0,018;
октябрь 2022;2 480 397;0,020;
ноябрь 2022;2 518 580;0,019;
декабрь 2022;2 321 504;0,018;
январь 2023;2 248 475;0,018;
февраль 2023;2 045 489;0,017;
март 2023;2 154 508;0,017;
апрель 2023;1 957 058;0,016;
май 2023;1 862 664;0,016;
июнь 2023;1 674 498;0,016;
июль 2023;1 752 320;0,017;
август 2023;1 911 566;0,019;
сентябрь 2023;1 949 743;0,018;
октябрь 2023;2 277 560;0,019;
ноябрь 2023;2 319 185;0,019;
декабрь 2023;2 252 135;0,018;
январь 2024;2 248 016;0,018;
февраль 2024;2 178 406;0,019;
март 2024;2 036 100;0,017;
апрель 2024;1 946 647;0,017;
май 2024;1 854 527;0,017;
июнь 2024;1 610 560;0,017;
июль 2024;1 682 336;0,018;
август 2024;1 799 552;0,019;
сентябрь 2024;1 922 962;0,019;
октябрь 2024;2 348 149;0,020;
ноябрь 2024;2 415 726;0,020;
декабрь 2024;2 473 543;0,020;
январь 2025;2 374 919;0,020;
февраль 2025;2 265 654;0,019;
март 2025;2 251 648;0,018;
апрель 2025;2 040 046;0,017;
май 2025;1 924 170;0,018;
июнь 2025;2 043 710;0,019;
