Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Саморезы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;221 625;0,0028;
февраль 2018;242 189;0,0031;
март 2018;282 073;0,0033;
апрель 2018;288 828;0,0038;
май 2018;311 201;0,0041;
июнь 2018;310 351;0,0044;
июль 2018;324 283;0,0046;
август 2018;347 185;0,0049;
сентябрь 2018;337 566;0,0042;
октябрь 2018;382 445;0,0041;
ноябрь 2018;334 121;0,0039;
декабрь 2018;262 203;0,0030;
январь 2019;263 485;0,0029;
февраль 2019;288 821;0,0034;
март 2019;311 513;0,0035;
апрель 2019;345 086;0,0041;
май 2019;339 953;0,0042;
июнь 2019;349 036;0,0048;
июль 2019;376 892;0,0051;
август 2019;361 823;0,0049;
сентябрь 2019;346 747;0,0044;
октябрь 2019;371 547;0,0041;
ноябрь 2019;331 043;0,0037;
декабрь 2019;307 635;0,0033;
январь 2020;308 236;0,0031;
февраль 2020;329 500;0,0035;
март 2020;359 159;0,0036;
апрель 2020;423 379;0,0035;
май 2020;487 636;0,0045;
июнь 2020;480 471;0,0053;
июль 2020;472 459;0,0056;
август 2020;467 321;0,0055;
сентябрь 2020;455 677;0,0047;
октябрь 2020;465 718;0,0043;
ноябрь 2020;445 042;0,0038;
декабрь 2020;390 135;0,0035;
январь 2021;335 954;0,0032;
февраль 2021;356 424;0,0035;
март 2021;435 231;0,0039;
апрель 2021;504 424;0,0046;
май 2021;503 850;0,0048;
июнь 2021;534 444;0,0053;
июль 2021;538 919;0,0055;
август 2021;577 028;0,0057;
сентябрь 2021;534 840;0,0049;
октябрь 2021;521 372;0,0045;
ноябрь 2021;515 239;0,0044;
декабрь 2021;454 885;0,0038;
январь 2022;416 984;0,0034;
февраль 2022;437 064;0,0037;
март 2022;538 809;0,0042;
апрель 2022;604 927;0,0050;
май 2022;637 504;0,0053;
июнь 2022;635 811;0,0059;
июль 2022;634 468;0,0060;
август 2022;652 442;0,0060;
сентябрь 2022;583 488;0,0049;
октябрь 2022;564 589;0,0045;
ноябрь 2022;561 676;0,0044;
декабрь 2022;465 328;0,0036;
январь 2023;438 260;0,0035;
февраль 2023;465 299;0,0040;
март 2023;574 455;0,0046;
апрель 2023;608 433;0,0052;
май 2023;665 259;0,0058;
июнь 2023;665 526;0,0064;
июль 2023;693 796;0,0068;
август 2023;686 965;0,0068;
сентябрь 2023;641 465;0,0059;
октябрь 2023;665 794;0,0055;
ноябрь 2023;604 280;0,0051;
декабрь 2023;501 371;0,0042;
январь 2024;489 895;0,0040;
февраль 2024;551 444;0,0049;
март 2024;609 607;0,0052;
апрель 2024;705 120;0,0064;
май 2024;732 680;0,0068;
июнь 2024;682 080;0,0073;
июль 2024;737 706;0,0079;
август 2024;716 614;0,0076;
сентябрь 2024;689 806;0,0069;
октябрь 2024;727 805;0,0064;
ноябрь 2024;679 093;0,0058;
декабрь 2024;614 543;0,0051;
январь 2025;575 275;0,0048;
февраль 2025;620 669;0,0054;
март 2025;686 424;0,0057;
апрель 2025;735 633;0,0064;
май 2025;742 244;0,0069;
июнь 2025;810 290;0,0076;
