Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Краски для садовых деревьев», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;355;0,0000045;
февраль 2018;690;0,0000089;
март 2018;1 765;0,0000209;
апрель 2018;4 598;0,0000606;
май 2018;1 667;0,0000221;
июнь 2018;578;0,0000083;
июль 2018;432;0,0000061;
август 2018;659;0,0000093;
сентябрь 2018;1 620;0,0000204;
октябрь 2018;3 262;0,0000353;
ноябрь 2018;1 195;0,0000140;
декабрь 2018;306;0,0000035;
январь 2019;431;0,0000048;
февраль 2019;965;0,0000115;
март 2019;2 839;0,0000323;
апрель 2019;5 680;0,0000687;
май 2019;1 373;0,0000173;
июнь 2019;451;0,0000062;
июль 2019;418;0,0000056;
август 2019;673;0,0000092;
сентябрь 2019;1 784;0,0000226;
октябрь 2019;3 043;0,0000343;
ноябрь 2019;1 361;0,0000153;
декабрь 2019;410;0,0000044;
январь 2020;563;0,0000057;
февраль 2020;1 119;0,0000121;
март 2020;4 216;0,0000429;
апрель 2020;5 522;0,0000462;
май 2020;2 533;0,0000236;
июнь 2020;875;0,0000098;
июль 2020;602;0,0000071;
август 2020;817;0,0000097;
сентябрь 2020;2 454;0,0000258;
октябрь 2020;4 416;0,0000410;
ноябрь 2020;3 062;0,0000267;
декабрь 2020;2 124;0,0000192;
январь 2021;2 046;0,0000196;
февраль 2021;2 124;0,0000212;
март 2021;4 616;0,0000424;
апрель 2021;9 423;0,0000874;
май 2021;2 842;0,0000275;
июнь 2021;1 054;0,0000106;
июль 2021;787;0,0000081;
август 2021;1 207;0,0000120;
сентябрь 2021;2 764;0,0000258;
октябрь 2021;5 505;0,0000484;
ноябрь 2021;2 765;0,0000238;
декабрь 2021;687;0,0000057;
январь 2022;717;0,0000060;
февраль 2022;1 686;0,0000142;
март 2022;4 461;0,0000349;
апрель 2022;11 161;0,0000933;
май 2022;5 210;0,0000436;
июнь 2022;1 270;0,0000118;
июль 2022;980;0,0000093;
август 2022;1 330;0,0000123;
сентябрь 2022;3 248;0,0000277;
октябрь 2022;6 108;0,0000493;
ноябрь 2022;2 796;0,0000221;
декабрь 2022;499;0,0000039;
январь 2023;908;0,0000073;
февраль 2023;1 522;0,0000133;
март 2023;7 142;0,0000574;
апрель 2023;13 905;0,0001204;
май 2023;3 473;0,0000307;
июнь 2023;1 431;0,0000139;
июль 2023;852;0,0000084;
август 2023;1 346;0,0000133;
сентябрь 2023;3 806;0,0000353;
октябрь 2023;6 005;0,0000503;
ноябрь 2023;3 547;0,0000302;
декабрь 2023;880;0,0000073;
январь 2024;1 035;0,0000085;
февраль 2024;2 193;0,0000195;
март 2024;7 193;0,0000623;
апрель 2024;12 583;0,0001159;
май 2024;3 628;0,0000340;
июнь 2024;1 140;0,0000122;
июль 2024;988;0,0000106;
август 2024;1 234;0,0000131;
сентябрь 2024;3 177;0,0000319;
октябрь 2024;5 542;0,0000493;
ноябрь 2024;2 078;0,0000178;
декабрь 2024;526;0,0000043;
январь 2025;904;0,0000076;
февраль 2025;1 711;0,0000149;
март 2025;9 669;0,0000806;
апрель 2025;9 214;0,0000808;
май 2025;3 057;0,0000286;
июнь 2025;1 102;0,0000104;
