Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Комплектующие для лестниц», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;3 381;0,000043;
февраль 2018;3 011;0,000038;
март 2018;3 805;0,000045;
апрель 2018;3 092;0,000040;
май 2018;2 971;0,000039;
июнь 2018;2 930;0,000042;
июль 2018;3 460;0,000049;
август 2018;4 315;0,000061;
сентябрь 2018;2 985;0,000037;
октябрь 2018;3 566;0,000038;
ноябрь 2018;3 432;0,000040;
декабрь 2018;2 639;0,000030;
январь 2019;3 221;0,000036;
февраль 2019;3 167;0,000037;
март 2019;3 414;0,000038;
апрель 2019;3 045;0,000036;
май 2019;2 714;0,000034;
июнь 2019;2 814;0,000038;
июль 2019;3 160;0,000042;
август 2019;2 543;0,000034;
сентябрь 2019;2 462;0,000031;
октябрь 2019;2 873;0,000032;
ноябрь 2019;3 394;0,000038;
декабрь 2019;2 885;0,000031;
январь 2020;3 574;0,000036;
февраль 2020;3 091;0,000033;
март 2020;2 870;0,000029;
апрель 2020;2 384;0,000019;
май 2020;3 014;0,000028;
июнь 2020;2 839;0,000031;
июль 2020;2 711;0,000032;
август 2020;2 681;0,000031;
сентябрь 2020;2 460;0,000025;
октябрь 2020;2 515;0,000023;
ноябрь 2020;3 474;0,000030;
декабрь 2020;3 445;0,000031;
январь 2021;3 419;0,000032;
февраль 2021;3 450;0,000034;
март 2021;3 205;0,000029;
апрель 2021;3 244;0,000030;
май 2021;2 578;0,000024;
июнь 2021;2 845;0,000028;
июль 2021;3 198;0,000032;
август 2021;3 509;0,000035;
сентябрь 2021;3 190;0,000029;
октябрь 2021;3 075;0,000027;
ноябрь 2021;3 733;0,000032;
декабрь 2021;3 222;0,000027;
январь 2022;3 691;0,000030;
февраль 2022;3 332;0,000028;
март 2022;3 491;0,000027;
апрель 2022;2 870;0,000024;
май 2022;2 677;0,000022;
июнь 2022;2 503;0,000023;
июль 2022;2 365;0,000022;
август 2022;2 250;0,000020;
сентябрь 2022;2 090;0,000017;
октябрь 2022;1 995;0,000016;
ноябрь 2022;2 334;0,000018;
декабрь 2022;2 162;0,000017;
январь 2023;2 352;0,000019;
февраль 2023;2 428;0,000021;
март 2023;2 528;0,000020;
апрель 2023;2 083;0,000018;
май 2023;2 095;0,000018;
июнь 2023;2 008;0,000019;
июль 2023;2 131;0,000021;
август 2023;2 063;0,000020;
сентябрь 2023;1 809;0,000016;
октябрь 2023;1 899;0,000015;
ноябрь 2023;2 094;0,000017;
декабрь 2023;1 595;0,000013;
январь 2024;1 892;0,000015;
февраль 2024;2 018;0,000017;
март 2024;2 034;0,000017;
апрель 2024;1 845;0,000017;
май 2024;1 815;0,000017;
июнь 2024;1 833;0,000019;
июль 2024;1 889;0,000020;
август 2024;1 605;0,000017;
сентябрь 2024;1 508;0,000015;
октябрь 2024;1 466;0,000013;
ноябрь 2024;1 643;0,000014;
декабрь 2024;1 494;0,000012;
январь 2025;2 102;0,000017;
февраль 2025;1 745;0,000015;
март 2025;1 667;0,000013;
апрель 2025;1 530;0,000013;
май 2025;1 189;0,000011;
июнь 2025;1 340;0,000012;
