Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Зеркала косметические», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;10 567;0,000136;
февраль 2018;11 420;0,000147;
март 2018;13 990;0,000166;
апрель 2018;7 690;0,000101;
май 2018;6 719;0,000089;
июнь 2018;7 278;0,000104;
июль 2018;8 190;0,000117;
август 2018;9 109;0,000129;
сентябрь 2018;9 273;0,000117;
октябрь 2018;12 341;0,000133;
ноябрь 2018;12 022;0,000141;
декабрь 2018;16 848;0,000197;
январь 2019;11 832;0,000134;
февраль 2019;13 311;0,000158;
март 2019;16 055;0,000182;
апрель 2019;8 669;0,000104;
май 2019;7 181;0,000090;
июнь 2019;6 915;0,000095;
июль 2019;8 182;0,000111;
август 2019;8 973;0,000123;
сентябрь 2019;9 196;0,000116;
октябрь 2019;10 843;0,000122;
ноябрь 2019;12 428;0,000140;
декабрь 2019;19 678;0,000212;
январь 2020;14 913;0,000153;
февраль 2020;15 667;0,000170;
март 2020;15 063;0,000153;
апрель 2020;8 659;0,000072;
май 2020;10 317;0,000096;
июнь 2020;8 956;0,000100;
июль 2020;10 196;0,000121;
август 2020;10 179;0,000121;
сентябрь 2020;10 716;0,000112;
октябрь 2020;12 253;0,000113;
ноябрь 2020;14 738;0,000128;
декабрь 2020;21 282;0,000192;
январь 2021;15 179;0,000145;
февраль 2021;16 199;0,000162;
март 2021;17 825;0,000163;
апрель 2021;10 559;0,000097;
май 2021;9 517;0,000092;
июнь 2021;9 710;0,000097;
июль 2021;10 562;0,000108;
август 2021;11 975;0,000119;
сентябрь 2021;12 380;0,000115;
октябрь 2021;13 132;0,000115;
ноябрь 2021;14 757;0,000127;
декабрь 2021;20 427;0,000172;
январь 2022;14 949;0,000125;
февраль 2022;14 571;0,000123;
март 2022;14 283;0,000112;
апрель 2022;11 208;0,000093;
май 2022;10 042;0,000084;
июнь 2022;9 629;0,000089;
июль 2022;9 842;0,000094;
август 2022;11 781;0,000109;
сентябрь 2022;11 274;0,000096;
октябрь 2022;11 309;0,000091;
ноябрь 2022;12 824;0,000101;
декабрь 2022;16 546;0,000131;
январь 2023;12 557;0,000101;
февраль 2023;12 480;0,000109;
март 2023;14 152;0,000113;
апрель 2023;8 573;0,000074;
май 2023;8 602;0,000076;
июнь 2023;8 493;0,000082;
июль 2023;9 140;0,000090;
август 2023;10 632;0,000105;
сентябрь 2023;10 569;0,000098;
октябрь 2023;14 012;0,000117;
ноябрь 2023;13 719;0,000116;
декабрь 2023;15 288;0,000128;
январь 2024;13 025;0,000108;
февраль 2024;13 251;0,000118;
март 2024;12 679;0,000109;
апрель 2024;9 351;0,000086;
май 2024;9 478;0,000088;
июнь 2024;6 825;0,000073;
июль 2024;7 643;0,000082;
август 2024;8 061;0,000086;
сентябрь 2024;7 641;0,000076;
октябрь 2024;8 316;0,000074;
ноябрь 2024;9 732;0,000083;
декабрь 2024;11 599;0,000096;
январь 2025;10 481;0,000088;
февраль 2025;9 640;0,000084;
март 2025;9 601;0,000080;
апрель 2025;7 449;0,000065;
май 2025;6 502;0,000060;
июнь 2025;7 443;0,000070;
