Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Заклепки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;103 982;0,0013;
февраль 2018;118 240;0,0015;
март 2018;122 810;0,0014;
апрель 2018;122 065;0,0016;
май 2018;118 626;0,0015;
июнь 2018;108 815;0,0015;
июль 2018;112 171;0,0016;
август 2018;117 352;0,0016;
сентябрь 2018;122 279;0,0015;
октябрь 2018;148 257;0,0016;
ноябрь 2018;131 794;0,0015;
декабрь 2018;120 888;0,0014;
январь 2019;115 466;0,0013;
февраль 2019;126 708;0,0015;
март 2019;140 639;0,0016;
апрель 2019;138 430;0,0016;
май 2019;122 171;0,0015;
июнь 2019;117 922;0,0016;
июль 2019;128 885;0,0017;
август 2019;123 213;0,0016;
сентябрь 2019;122 635;0,0015;
октябрь 2019;148 064;0,0016;
ноябрь 2019;133 876;0,0015;
декабрь 2019;132 326;0,0014;
январь 2020;132 652;0,0013;
февраль 2020;144 165;0,0015;
март 2020;143 207;0,0014;
апрель 2020;155 197;0,0012;
май 2020;162 498;0,0015;
июнь 2020;160 006;0,0017;
июль 2020;144 687;0,0017;
август 2020;139 981;0,0016;
сентябрь 2020;153 666;0,0016;
октябрь 2020;168 932;0,0015;
ноябрь 2020;170 804;0,0014;
декабрь 2020;162 433;0,0014;
январь 2021;148 322;0,0014;
февраль 2021;154 648;0,0015;
март 2021;185 383;0,0017;
апрель 2021;188 851;0,0017;
май 2021;169 007;0,0016;
июнь 2021;175 542;0,0017;
июль 2021;162 833;0,0016;
август 2021;172 623;0,0017;
сентябрь 2021;178 976;0,0016;
октябрь 2021;184 624;0,0016;
ноябрь 2021;193 275;0,0016;
декабрь 2021;188 062;0,0015;
январь 2022;175 500;0,0014;
февраль 2022;184 248;0,0015;
март 2022;196 341;0,0015;
апрель 2022;210 337;0,0017;
май 2022;209 133;0,0017;
июнь 2022;209 650;0,0019;
июль 2022;191 170;0,0018;
август 2022;197 937;0,0018;
сентябрь 2022;191 092;0,0016;
октябрь 2022;199 983;0,0016;
ноябрь 2022;210 489;0,0016;
декабрь 2022;217 364;0,0017;
январь 2023;184 981;0,0015;
февраль 2023;201 962;0,0017;
март 2023;233 357;0,0018;
апрель 2023;223 003;0,0019;
май 2023;217 945;0,0019;
июнь 2023;209 100;0,0020;
июль 2023;199 875;0,0019;
август 2023;200 214;0,0019;
сентябрь 2023;204 892;0,0019;
октябрь 2023;221 991;0,0018;
ноябрь 2023;215 083;0,0018;
декабрь 2023;207 731;0,0017;
январь 2024;196 170;0,0016;
февраль 2024;221 211;0,0019;
март 2024;231 852;0,0020;
апрель 2024;237 441;0,0021;
май 2024;225 185;0,0021;
июнь 2024;203 046;0,0021;
июль 2024;205 492;0,0022;
август 2024;200 884;0,0021;
сентябрь 2024;201 659;0,0020;
октябрь 2024;235 100;0,0020;
ноябрь 2024;241 213;0,0020;
декабрь 2024;231 198;0,0019;
январь 2025;214 168;0,0018;
февраль 2025;234 182;0,0020;
март 2025;251 035;0,0020;
апрель 2025;246 805;0,0021;
май 2025;223 833;0,0020;
июнь 2025;238 264;0,0022;
