Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Трубы для теплого пола», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;25 276;0,00032;
февраль 2018;25 078;0,00032;
март 2018;26 559;0,00031;
апрель 2018;23 669;0,00031;
май 2018;24 127;0,00032;
июнь 2018;25 519;0,00036;
июль 2018;26 035;0,00037;
август 2018;28 707;0,00040;
сентябрь 2018;28 128;0,00035;
октябрь 2018;26 950;0,00029;
ноябрь 2018;20 633;0,00024;
декабрь 2018;19 359;0,00022;
январь 2019;23 932;0,00027;
февраль 2019;24 748;0,00029;
март 2019;25 875;0,00029;
апрель 2019;24 652;0,00029;
май 2019;25 315;0,00032;
июнь 2019;25 443;0,00035;
июль 2019;29 338;0,00039;
август 2019;28 306;0,00038;
сентябрь 2019;30 686;0,00039;
октябрь 2019;28 164;0,00031;
ноябрь 2019;24 901;0,00028;
декабрь 2019;22 016;0,00023;
январь 2020;28 048;0,00028;
февраль 2020;27 409;0,00029;
март 2020;31 132;0,00031;
апрель 2020;30 154;0,00025;
май 2020;34 569;0,00032;
июнь 2020;32 304;0,00036;
июль 2020;31 560;0,00037;
август 2020;34 367;0,00040;
сентябрь 2020;34 304;0,00036;
октябрь 2020;35 772;0,00033;
ноябрь 2020;35 362;0,00030;
декабрь 2020;34 461;0,00031;
январь 2021;35 001;0,00033;
февраль 2021;34 800;0,00034;
март 2021;37 978;0,00034;
апрель 2021;39 444;0,00036;
май 2021;38 314;0,00037;
июнь 2021;42 925;0,00043;
июль 2021;43 054;0,00044;
август 2021;48 886;0,00048;
сентябрь 2021;49 258;0,00045;
октябрь 2021;43 735;0,00038;
ноябрь 2021;40 542;0,00034;
декабрь 2021;38 660;0,00032;
январь 2022;43 034;0,00036;
февраль 2022;45 113;0,00038;
март 2022;81 518;0,00063;
апрель 2022;49 527;0,00041;
май 2022;48 178;0,00040;
июнь 2022;45 643;0,00042;
июль 2022;45 995;0,00044;
август 2022;47 886;0,00044;
сентябрь 2022;44 564;0,00038;
октябрь 2022;38 715;0,00031;
ноябрь 2022;39 178;0,00031;
декабрь 2022;33 799;0,00026;
январь 2023;38 519;0,00031;
февраль 2023;36 507;0,00031;
март 2023;38 760;0,00031;
апрель 2023;36 419;0,00031;
май 2023;40 857;0,00036;
июнь 2023;42 746;0,00041;
июль 2023;44 303;0,00043;
август 2023;44 997;0,00044;
сентябрь 2023;44 595;0,00041;
октябрь 2023;45 773;0,00038;
ноябрь 2023;39 973;0,00034;
декабрь 2023;34 392;0,00028;
январь 2024;39 818;0,00033;
февраль 2024;37 070;0,00033;
март 2024;37 639;0,00032;
апрель 2024;34 698;0,00031;
май 2024;38 435;0,00036;
июнь 2024;35 420;0,00037;
июль 2024;38 454;0,00041;
август 2024;39 069;0,00041;
сентябрь 2024;39 406;0,00039;
октябрь 2024;40 976;0,00036;
ноябрь 2024;36 001;0,00030;
декабрь 2024;33 627;0,00028;
январь 2025;36 923;0,00031;
февраль 2025;37 049;0,00032;
март 2025;34 989;0,00029;
апрель 2025;33 562;0,00029;
май 2025;34 999;0,00032;
июнь 2025;38 481;0,00036;
