Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Защелки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;110 454;0,0014;
февраль 2018;110 785;0,0014;
март 2018;122 528;0,0014;
апрель 2018;111 517;0,0014;
май 2018;109 611;0,0014;
июнь 2018;107 462;0,0015;
июль 2018;116 079;0,0016;
август 2018;121 128;0,0017;
сентябрь 2018;122 454;0,0015;
октябрь 2018;149 685;0,0016;
ноябрь 2018;136 308;0,0016;
декабрь 2018;130 325;0,0015;
январь 2019;129 791;0,0014;
февраль 2019;134 166;0,0015;
март 2019;139 809;0,0015;
апрель 2019;133 701;0,0016;
май 2019;124 991;0,0015;
июнь 2019;121 581;0,0016;
июль 2019;134 533;0,0018;
август 2019;133 045;0,0018;
сентябрь 2019;130 935;0,0016;
октябрь 2019;143 804;0,0016;
ноябрь 2019;147 909;0,0016;
декабрь 2019;146 920;0,0015;
январь 2020;155 425;0,0015;
февраль 2020;153 463;0,0016;
март 2020;149 294;0,0015;
апрель 2020;145 689;0,0012;
май 2020;166 067;0,0015;
июнь 2020;165 957;0,0018;
июль 2020;164 480;0,0019;
август 2020;161 818;0,0019;
сентябрь 2020;166 348;0,0017;
октябрь 2020;181 386;0,0016;
ноябрь 2020;191 349;0,0016;
декабрь 2020;181 895;0,0016;
январь 2021;176 903;0,0016;
февраль 2021;177 368;0,0017;
март 2021;194 022;0,0017;
апрель 2021;193 326;0,0017;
май 2021;181 603;0,0017;
июнь 2021;182 184;0,0018;
июль 2021;183 801;0,0018;
август 2021;196 971;0,0019;
сентябрь 2021;201 198;0,0018;
октябрь 2021;199 775;0,0017;
ноябрь 2021;215 393;0,0018;
декабрь 2021;214 198;0,0018;
январь 2022;213 768;0,0017;
февраль 2022;197 365;0,0016;
март 2022;219 400;0,0017;
апрель 2022;225 090;0,0018;
май 2022;226 380;0,0018;
июнь 2022;215 100;0,0020;
июль 2022;220 449;0,0021;
август 2022;222 556;0,0020;
сентябрь 2022;205 479;0,0017;
октябрь 2022;225 072;0,0018;
ноябрь 2022;241 196;0,0019;
декабрь 2022;222 377;0,0017;
январь 2023;229 195;0,0018;
февраль 2023;214 064;0,0018;
март 2023;240 732;0,0019;
апрель 2023;221 504;0,0019;
май 2023;220 262;0,0019;
июнь 2023;213 910;0,0020;
июль 2023;221 712;0,0021;
август 2023;223 140;0,0022;
сентябрь 2023;215 034;0,0019;
октябрь 2023;251 960;0,0021;
ноябрь 2023;251 115;0,0021;
декабрь 2023;232 051;0,0019;
январь 2024;243 643;0,0020;
февраль 2024;236 348;0,0021;
март 2024;242 998;0,0021;
апрель 2024;235 458;0,0021;
май 2024;233 587;0,0021;
июнь 2024;213 819;0,0022;
июль 2024;229 213;0,0024;
август 2024;225 752;0,0024;
сентябрь 2024;223 197;0,0022;
октябрь 2024;253 290;0,0022;
ноябрь 2024;264 322;0,0022;
декабрь 2024;256 459;0,0021;
январь 2025;256 780;0,0021;
февраль 2025;256 286;0,0022;
март 2025;263 281;0,0021;
апрель 2025;249 534;0,0021;
май 2025;236 713;0,0022;
июнь 2025;250 532;0,0023;
