Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Перфораторы», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;337 598;0,0043;
февраль 2018;360 586;0,0046;
март 2018;390 345;0,0046;
апрель 2018;341 042;0,0045;
май 2018;352 102;0,0046;
июнь 2018;369 501;0,0053;
июль 2018;405 060;0,0057;
август 2018;423 564;0,0060;
сентябрь 2018;418 912;0,0052;
октябрь 2018;486 554;0,0052;
ноябрь 2018;437 997;0,0051;
декабрь 2018;404 710;0,0047;
январь 2019;405 445;0,0046;
февраль 2019;438 315;0,0052;
март 2019;439 646;0,0050;
апрель 2019;419 097;0,0050;
май 2019;378 263;0,0047;
июнь 2019;379 602;0,0052;
июль 2019;427 708;0,0058;
август 2019;428 555;0,0058;
сентябрь 2019;449 865;0,0057;
октябрь 2019;453 190;0,0051;
ноябрь 2019;452 388;0,0050;
декабрь 2019;452 029;0,0048;
январь 2020;459 029;0,0047;
февраль 2020;492 454;0,0053;
март 2020;471 175;0,0047;
апрель 2020;416 277;0,0034;
май 2020;494 457;0,0046;
июнь 2020;506 803;0,0056;
июль 2020;523 734;0,0062;
август 2020;528 988;0,0063;
сентябрь 2020;517 596;0,0054;
октябрь 2020;569 367;0,0052;
ноябрь 2020;596 958;0,0052;
декабрь 2020;549 765;0,0049;
январь 2021;514 690;0,0049;
февраль 2021;529 558;0,0052;
март 2021;552 300;0,0050;
апрель 2021;533 986;0,0049;
май 2021;504 731;0,0048;
июнь 2021;543 200;0,0054;
июль 2021;578 468;0,0059;
август 2021;634 005;0,0063;
сентябрь 2021;623 239;0,0058;
октябрь 2021;624 097;0,0054;
ноябрь 2021;642 082;0,0055;
декабрь 2021;607 356;0,0051;
январь 2022;580 966;0,0048;
февраль 2022;591 039;0,0050;
март 2022;662 816;0,0051;
апрель 2022;612 106;0,0051;
май 2022;604 355;0,0050;
июнь 2022;582 585;0,0054;
июль 2022;596 916;0,0057;
август 2022;642 446;0,0059;
сентябрь 2022;565 150;0,0048;
октябрь 2022;583 765;0,0047;
ноябрь 2022;614 889;0,0048;
декабрь 2022;546 088;0,0043;
январь 2023;538 884;0,0043;
февраль 2023;565 831;0,0049;
март 2023;604 257;0,0048;
апрель 2023;539 318;0,0046;
май 2023;558 967;0,0049;
июнь 2023;588 005;0,0057;
июль 2023;582 313;0,0057;
август 2023;607 283;0,0060;
сентябрь 2023;596 813;0,0055;
октябрь 2023;688 490;0,0057;
ноябрь 2023;649 216;0,0055;
декабрь 2023;545 304;0,0045;
январь 2024;547 625;0,0045;
февраль 2024;597 472;0,0053;
март 2024;577 428;0,0050;
апрель 2024;550 166;0,0050;
май 2024;555 682;0,0052;
июнь 2024;515 537;0,0055;
июль 2024;552 446;0,0059;
август 2024;534 201;0,0057;
сентябрь 2024;514 748;0,0051;
октябрь 2024;568 852;0,0050;
ноябрь 2024;577 864;0,0049;
декабрь 2024;541 547;0,0045;
январь 2025;534 389;0,0045;
февраль 2025;554 233;0,0048;
март 2025;554 416;0,0046;
апрель 2025;522 882;0,0045;
май 2025;499 851;0,0046;
июнь 2025;536 561;0,0050;
