Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Тепловые пушки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;181 653;0,00233;
февраль 2018;132 440;0,00170;
март 2018;91 701;0,00109;
апрель 2018;53 988;0,00071;
май 2018;51 726;0,00068;
июнь 2018;40 668;0,00058;
июль 2018;39 990;0,00057;
август 2018;54 421;0,00077;
сентябрь 2018;99 791;0,00125;
октябрь 2018;159 978;0,00173;
ноябрь 2018;207 094;0,00243;
декабрь 2018;181 923;0,00212;
январь 2019;139 693;0,00158;
февраль 2019;103 958;0,00123;
март 2019;59 358;0,00067;
апрель 2019;44 978;0,00054;
май 2019;31 098;0,00039;
июнь 2019;24 670;0,00034;
июль 2019;37 313;0,00050;
август 2019;59 751;0,00082;
сентябрь 2019;117 671;0,00149;
октябрь 2019;148 363;0,00167;
ноябрь 2019;234 092;0,00263;
декабрь 2019;168 007;0,00181;
январь 2020;117 744;0,00121;
февраль 2020;95 316;0,00103;
март 2020;60 163;0,00061;
апрель 2020;53 064;0,00044;
май 2020;48 613;0,00045;
июнь 2020;36 073;0,00040;
июль 2020;35 578;0,00042;
август 2020;51 070;0,00060;
сентябрь 2020;100 924;0,00106;
октябрь 2020;159 529;0,00148;
ноябрь 2020;261 009;0,00227;
декабрь 2020;316 912;0,00286;
январь 2021;271 397;0,00260;
февраль 2021;217 348;0,00217;
март 2021;101 361;0,00093;
апрель 2021;66 395;0,00061;
май 2021;44 716;0,00043;
июнь 2021;40 885;0,00041;
июль 2021;47 114;0,00048;
август 2021;71 900;0,00071;
сентябрь 2021;201 496;0,00188;
октябрь 2021;191 649;0,00168;
ноябрь 2021;269 486;0,00232;
декабрь 2021;350 762;0,00296;
январь 2022;208 790;0,00175;
февраль 2022;120 998;0,00102;
март 2022;98 770;0,00077;
апрель 2022;73 058;0,00061;
май 2022;72 899;0,00061;
июнь 2022;42 415;0,00039;
июль 2022;42 196;0,00040;
август 2022;67 761;0,00062;
сентябрь 2022;161 189;0,00137;
октябрь 2022;181 712;0,00146;
ноябрь 2022;334 922;0,00265;
декабрь 2022;319 143;0,00253;
январь 2023;253 235;0,00205;
февраль 2023;120 177;0,00105;
март 2023;79 307;0,00063;
апрель 2023;52 624;0,00045;
май 2023;54 447;0,00048;
июнь 2023;45 198;0,00044;
июль 2023;41 222;0,00040;
август 2023;71 276;0,00070;
сентябрь 2023;113 223;0,00105;
октябрь 2023;244 241;0,00204;
ноябрь 2023;277 980;0,00236;
декабрь 2023;390 149;0,00326;
январь 2024;323 985;0,00268;
февраль 2024;142 244;0,00126;
март 2024;79 292;0,00068;
апрель 2024;55 997;0,00051;
май 2024;69 333;0,00065;
июнь 2024;37 801;0,00040;
июль 2024;43 907;0,00047;
август 2024;62 600;0,00066;
сентябрь 2024;101 093;0,00101;
октябрь 2024;199 301;0,00177;
ноябрь 2024;238 631;0,00205;
декабрь 2024;228 435;0,00190;
январь 2025;132 601;0,00111;
февраль 2025;137 598;0,00120;
март 2025;68 388;0,00057;
апрель 2025;51 845;0,00045;
май 2025;47 632;0,00044;
июнь 2025;35 402;0,00033;
