Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «Душевые уголки», по месяцам, 01.01.2018 — 30.06.2025, все регионы, все устройства
январь 2018;40 823;0,00052;
февраль 2018;40 139;0,00051;
март 2018;44 494;0,00052;
апрель 2018;39 594;0,00052;
май 2018;44 231;0,00058;
июнь 2018;49 688;0,00071;
июль 2018;69 415;0,00099;
август 2018;67 275;0,00095;
сентябрь 2018;50 973;0,00064;
октябрь 2018;59 430;0,00064;
ноябрь 2018;56 239;0,00066;
декабрь 2018;43 897;0,00051;
январь 2019;60 078;0,00068;
февраль 2019;73 533;0,00087;
март 2019;105 193;0,00119;
апрель 2019;82 003;0,00099;
май 2019;69 388;0,00087;
июнь 2019;62 996;0,00086;
июль 2019;70 965;0,00096;
август 2019;60 128;0,00082;
сентябрь 2019;57 752;0,00073;
октябрь 2019;66 037;0,00074;
ноябрь 2019;67 818;0,00076;
декабрь 2019;105 368;0,00113;
январь 2020;102 803;0,00105;
февраль 2020;59 918;0,00065;
март 2020;64 078;0,00065;
апрель 2020;51 317;0,00042;
май 2020;63 884;0,00059;
июнь 2020;73 545;0,00082;
июль 2020;73 466;0,00087;
август 2020;69 049;0,00082;
сентябрь 2020;67 166;0,00070;
октябрь 2020;71 582;0,00066;
ноябрь 2020;76 548;0,00066;
декабрь 2020;63 424;0,00057;
январь 2021;71 136;0,00068;
февраль 2021;67 269;0,00067;
март 2021;73 243;0,00067;
апрель 2021;70 653;0,00065;
май 2021;67 126;0,00065;
июнь 2021;70 179;0,00070;
июль 2021;79 895;0,00082;
август 2021;78 895;0,00078;
сентябрь 2021;81 432;0,00076;
октябрь 2021;71 345;0,00062;
ноябрь 2021;76 009;0,00065;
декабрь 2021;67 252;0,00056;
январь 2022;74 906;0,00062;
февраль 2022;72 034;0,00060;
март 2022;87 559;0,00068;
апрель 2022;66 331;0,00055;
май 2022;66 104;0,00055;
июнь 2022;61 885;0,00057;
июль 2022;67 597;0,00064;
август 2022;67 203;0,00062;
сентябрь 2022;55 348;0,00047;
октябрь 2022;55 895;0,00045;
ноябрь 2022;64 300;0,00050;
декабрь 2022;52 817;0,00041;
январь 2023;56 964;0,00046;
февраль 2023;54 622;0,00047;
март 2023;63 201;0,00050;
апрель 2023;57 427;0,00049;
май 2023;60 285;0,00053;
июнь 2023;65 376;0,00063;
июль 2023;70 768;0,00070;
август 2023;71 885;0,00071;
сентябрь 2023;64 136;0,00059;
октябрь 2023;75 104;0,00062;
ноябрь 2023;76 731;0,00065;
декабрь 2023;58 245;0,00048;
январь 2024;66 283;0,00054;
февраль 2024;73 693;0,00065;
март 2024;78 140;0,00067;
апрель 2024;65 602;0,00060;
май 2024;70 137;0,00065;
июнь 2024;68 790;0,00073;
июль 2024;75 441;0,00081;
август 2024;68 576;0,00073;
сентябрь 2024;60 081;0,00060;
октябрь 2024;65 454;0,00058;
ноябрь 2024;70 419;0,00060;
декабрь 2024;61 948;0,00051;
январь 2025;69 993;0,00058;
февраль 2025;67 350;0,00059;
март 2025;65 911;0,00054;
апрель 2025;61 607;0,00054;
май 2025;60 638;0,00056;
июнь 2025;72 335;0,00068;
